nia,k,mip,greedy,best
2,1,,,
2,2,,,
3,1,,,
3,2,,,
5,1,,,
5,2,,,
6,1,,,
6,2,,,
21,1,,,
21,2,,,
22,1,,,
22,2,,,
24,1,,,
24,2,,,
25,1,,,
25,2,,,
154,1,,,
154,2,,,
155,1,,,
155,2,,,
27,1,,,
27,2,,,
28,1,,,
28,2,,,
43,1,,,
43,2,,,
44,1,,,
44,2,,,
55,1,,,
55,2,,,
61,1,,,
61,2,,,
72,1,,,
72,2,,,
85,1,,,
85,2,,,
91,1,,,
91,2,,,
110,1,,,
110,2,,,
111,1,,,
111,2,,,
112,1,,,
112,2,,,
113,1,,,
113,2,,,
115,1,,,
115,2,,,
121,1,,,
121,2,,,
124,1,,,
124,2,,,
125,1,,,
125,2,,,
135,1,,,
135,2,,,
136,1,,,
136,2,,,
141,1,,,
141,2,,,
142,1,,,
142,2,,,
138,1,,,
138,2,,,
139,1,,,
139,2,,,
