nia,n,m,grocery,res,school,healthcare,m+n
2,365,9.0,,,,,374.0
3,242,9.0,,,,,251.0
5,156,32.0,5.0,4.0,6.0,2.0,188.0
6,319,9.0,,,,,328.0
21,215,9.0,,,,,224.0
22,218,54.0,9.0,16.0,5.0,9.0,272.0
24,264,9.0,,,,,273.0
25,408,71.0,15.0,10.0,11.0,14.0,479.0
154,320,9.0,,,,,329.0
155,319,9.0,,,,,328.0
27,407,200.0,26.0,43.0,10.0,14.0,607.0
28,148,9.0,,,,,157.0
43,246,83.0,5.0,6.0,4.0,2.0,329.0
44,65,9.0,,,,,74.0
55,39,9.0,,,,,48.0
61,103,9.0,,,,,112.0
72,60,9.0,,,,,69.0
85,137,9.0,,,,,146.0
91,209,9.0,,,,,218.0
110,207,9.0,,,,,216.0
111,384,9.0,,,,,393.0
112,96,9.0,,,,,105.0
113,228,9.0,,,,,237.0
115,151,9.0,,,,,160.0
121,150,23.0,3.0,1.0,4.0,6.0,173.0
124,213,9.0,,,,,222.0
125,145,9.0,,,,,154.0
135,368,9.0,,,,,377.0
136,538,9.0,,,,,547.0
141,574,51.0,18.0,6.0,8.0,10.0,625.0
142,420,81.0,16.0,18.0,9.0,10.0,501.0
138,240,66.0,9.0,14.0,6.0,9.0,306.0
139,163,53.0,13.0,7.0,5.0,11.0,216.0
