,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant
0,0,23,2,127,existing,449.15304346443685,0,23,2,105,existing,555.5741140057755,0,23,2,189,existing,522.9861198260751,0,26,2,27,existing,609.5562648159448,0,10,2,98,allocated,618.0226843132607,0,21,2,220,allocated,1274.765816557106,0,9,2,85,allocated,983.1695789238306
1,1,23,3,127,existing,436.0806049135866,1,23,3,105,existing,579.7191272928347,1,23,3,189,existing,509.9136812752248,1,26,3,27,existing,596.4838262650945,1,10,3,98,allocated,604.9502457624105,1,9,3,85,allocated,970.0971403729804,1,21,3,220,allocated,1261.693378006256
2,2,23,4,127,existing,880.0866572995908,2,23,4,105,existing,387.80041158206336,2,23,4,98,allocated,1048.9562981484148,2,10,4,98,allocated,1048.9562981484148,2,26,4,27,existing,1143.8631350853946,2,9,4,85,allocated,1492.5360017308874,2,21,4,220,allocated,1662.6534036330008
3,3,23,5,127,existing,742.723636040165,3,23,5,105,existing,250.43739032263753,3,23,5,98,allocated,911.5932768889891,3,10,5,98,allocated,911.5932768889891,3,26,5,27,existing,1006.5001138259688,3,21,5,220,allocated,1525.290382373575,3,9,5,85,allocated,1355.1729804714616
4,4,23,6,127,existing,649.7517255562436,4,23,6,105,existing,681.5612645256076,4,23,6,189,existing,691.7147009985899,4,26,6,27,existing,810.1549469077515,4,10,6,98,allocated,818.6213664050675,4,21,6,220,allocated,1475.3644986489128,4,9,6,85,allocated,1183.7682610156373
5,5,23,8,127,existing,240.50159278754,5,23,8,105,existing,384.1401151667881,5,23,8,189,existing,314.3346691491782,5,26,8,27,existing,400.9048141390479,5,10,8,98,allocated,409.37123363636397,5,9,8,85,allocated,774.5181282469338,5,21,8,220,allocated,1066.1143658802093
6,6,0,9,11,allocated,257.10194125789565,6,0,9,186,allocated,377.0863281943799,6,0,9,189,existing,239.27050027981502,6,26,9,27,existing,443.8200212143769,6,10,9,98,allocated,508.7687444711919,6,9,9,85,allocated,856.2103081813193,6,21,9,220,allocated,1165.5118767150373
7,7,0,10,11,allocated,246.4581002798724,7,0,10,33,allocated,227.56510474984188,7,0,10,98,allocated,201.49599775833929,7,10,10,98,allocated,201.49599775833929,7,9,10,85,allocated,401.17965063787926,7,26,10,27,existing,473.4519693000191,7,21,10,220,allocated,756.3788232619759
8,8,16,12,157,allocated,288.51399605121725,8,16,12,238,existing,252.38815626625956,8,16,12,137,allocated,131.67797867365692,8,21,12,220,allocated,256.5779345523621,8,9,12,85,allocated,621.6135649244618,8,26,12,27,existing,1443.1028937605279,8,10,12,98,allocated,945.423214224567
9,9,16,13,157,allocated,201.23438869628274,9,16,13,238,existing,165.10854891132504,9,16,13,220,allocated,169.29832719742757,9,21,13,220,allocated,169.29832719742757,9,9,13,85,allocated,534.3339575695272,9,10,13,98,allocated,858.1436068696325,9,26,13,27,existing,1355.8232864055935
