,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant
0,0,29,0,83,existing,80.05386965803375,0,29,0,182,allocated,448.7165592745225,0,29,0,0,allocated,0.0,0,32,0,1,existing,106.47580486763157,0,33,0,84,existing,356.35643088791187,0,31,0,84,existing,356.35643088791187,0,34,0,84,existing,356.35643088791187,0,35,0,56,existing,746.71300035538,0,8,0,59,allocated,660.5904912476391,0,16,0,123,allocated,384.3628230521105,0,13,0,92,allocated,811.1747824997769
1,1,18,2,131,allocated,426.4891595645412,1,18,2,154,allocated,540.527128108111,1,18,2,127,allocated,423.95993833267687,1,8,2,59,allocated,556.7006523614792,1,32,2,1,existing,1109.2763101801693,1,33,2,84,existing,1359.1569362004495,1,16,2,123,allocated,1356.4689510018025,1,34,2,84,existing,1359.1569362004495,1,31,2,84,existing,1359.1569362004495,1,35,2,56,existing,1749.5135056679178,1,13,2,92,allocated,1989.724731172826
2,2,18,4,131,allocated,422.14013870044033,2,18,4,154,allocated,370.59094292917985,2,18,4,154,allocated,370.59094292917985,2,8,4,59,allocated,726.6368375404105,2,32,4,1,existing,1279.2124953591006,2,34,4,84,existing,1529.0931213793808,2,16,4,123,allocated,1526.4051361807337,2,31,4,84,existing,1529.0931213793808,2,33,4,84,existing,1529.0931213793808,2,35,4,56,existing,1919.449690846849,2,13,4,92,allocated,2159.6609163517574
3,3,18,5,131,allocated,497.33518905351264,3,18,5,154,allocated,295.3958925761075,3,18,5,154,allocated,295.3958925761075,3,8,5,59,allocated,801.8318878934828,3,32,5,1,existing,1354.4075457121728,3,31,5,84,existing,1604.288171732453,3,16,5,123,allocated,1601.6001865338058,3,13,5,92,allocated,2234.8559667048294,3,35,5,56,existing,1994.644741199921,3,34,5,84,existing,1604.288171732453,3,33,5,84,existing,1604.288171732453
4,4,6,7,49,allocated,831.951014478147,4,6,7,128,existing,541.7553550955084,4,6,7,92,allocated,762.2998660209415,4,13,7,92,allocated,762.2998660209415,4,8,7,59,allocated,971.7008766403667,4,16,7,123,allocated,1209.1768848253419,4,32,7,1,existing,1476.5684146499677,4,34,7,84,existing,1726.449040670248,4,31,7,84,existing,1726.449040670248,4,33,7,84,existing,1726.449040670248,4,35,7,56,existing,1821.872229569307
5,5,23,8,148,allocated,210.57490972081493,5,23,8,148,allocated,210.57490972081493,5,23,8,148,allocated,210.57490972081493,5,35,8,56,existing,561.9548165757989,5,34,8,84,existing,841.8370090441891,5,31,8,84,existing,841.8370090441891,5,33,8,84,existing,841.8370090441891,5,8,8,59,allocated,1645.832321444477,5,32,8,1,existing,1091.7176350644695,5,16,8,123,allocated,1044.0935410437128,5,13,8,92,allocated,879.2940060685255
6,6,23,9,148,allocated,271.65101437418633,6,23,9,148,allocated,271.65101437418633,6,23,9,148,allocated,271.65101437418633,6,35,9,56,existing,623.0309212291702,6,33,9,84,existing,902.9131136975606,6,34,9,84,existing,902.9131136975606,6,31,9,84,existing,902.9131136975606,6,8,9,59,allocated,1706.9084260978484,6,32,9,1,existing,1152.793739717841,6,16,9,123,allocated,1105.1696456970842,6,13,9,92,allocated,940.3701107218968
7,7,6,10,49,allocated,720.3459671694329,7,6,10,182,allocated,358.0478197273759,7,6,10,175,existing,347.0168604010453,7,16,10,123,allocated,432.89704430964105,7,8,10,59,allocated,507.32723466662213,7,32,10,1,existing,700.2885741342668,7,13,10,92,allocated,941.1389801101491,7,31,10,84,existing,950.1692001545472,7,35,10,56,existing,1340.525769622015,7,34,10,84,existing,950.1692001545472,7,33,10,84,existing,950.1692001545472
8,8,6,11,49,allocated,684.4483049125405,8,6,11,182,allocated,393.94548198426844,8,6,11,175,existing,382.9145226579378,8,16,11,123,allocated,468.7947065665336,8,8,11,59,allocated,543.2248969235146,8,13,11,92,allocated,905.2413178532566,8,32,11,1,existing,736.1862363911594,8,35,11,56,existing,1376.4234318789076,8,33,11,84,existing,986.0668624114397,8,34,11,84,existing,986.0668624114397,8,31,11,84,existing,986.0668624114397
9,9,23,12,148,allocated,446.54423712177214,9,23,12,148,allocated,446.54423712177214,9,23,12,148,allocated,446.54423712177214,9,35,12,56,existing,563.7606982564023,9,31,12,84,existing,843.6428907247928,9,33,12,84,existing,843.6428907247928,9,34,12,84,existing,843.6428907247928,9,32,12,1,existing,1093.523516745073,9,8,12,59,allocated,1647.6382031250805,9,13,12,92,allocated,1130.7944192141981,9,16,12,123,allocated,1295.5939541893856
