,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant,8_assign_from_var_id_restaurant,8_assign_to_var_id_restaurant,8_assign_from_node_id_restaurant,8_assign_to_node_id_restaurant,8_assign_type_restaurant,8_dist_restaurant,9_assign_from_var_id_restaurant,9_assign_to_var_id_restaurant,9_assign_from_node_id_restaurant,9_assign_to_node_id_restaurant,9_assign_type_restaurant,9_dist_restaurant
0,0,59,0,126,existing,774.1531632099952,0,59,0,95,existing,329.96926744259144,0,59,0,277,allocated,248.28665675130804,0,64,0,323,existing,749.5152811160201,0,66,0,126,existing,774.1531632099952,0,67,0,126,existing,774.1531632099952,0,63,0,193,existing,776.3876072892197,0,74,0,26,existing,1252.782697127345,0,65,0,315,existing,862.9902771804354,0,68,0,278,existing,978.4189789167292,0,75,0,26,existing,1252.782697127345,0,71,0,26,existing,1252.782697127345,0,73,0,26,existing,1252.782697127345
1,1,57,1,193,existing,665.3346508604185,1,57,1,95,existing,441.0222238713926,1,57,1,12,allocated,226.6555262544834,1,64,1,323,existing,638.4623246872189,1,63,1,193,existing,665.3346508604185,1,67,1,126,existing,885.2061196387965,1,65,1,315,existing,751.9373207516342,1,74,1,26,existing,1363.835653556146,1,68,1,278,existing,1089.4719353455303,1,71,1,26,existing,1363.835653556146,1,66,1,126,existing,885.2061196387965,1,75,1,26,existing,1363.835653556146,1,73,1,26,existing,1363.835653556146
2,2,59,2,126,existing,587.626207266401,2,59,2,180,existing,256.516117218503,2,59,2,300,allocated,161.923657354685,2,67,2,126,existing,587.626207266401,2,66,2,126,existing,587.626207266401,2,72,2,26,existing,672.2282026804937,2,73,2,26,existing,672.2282026804937,2,74,2,26,existing,672.2282026804937,2,71,2,26,existing,672.2282026804937,2,75,2,26,existing,672.2282026804937,2,68,2,278,existing,745.5166965217973,2,78,2,318,existing,910.1659730270565,2,77,2,318,existing,910.1659730270565
3,3,58,3,126,existing,531.2831395840765,3,58,3,180,existing,312.85918490082753,3,58,3,300,allocated,218.26672503700954,3,67,3,126,existing,531.2831395840765,3,66,3,126,existing,531.2831395840765,3,68,3,278,existing,689.1736288394727,3,73,3,26,existing,728.5712703628183,3,71,3,26,existing,728.5712703628183,3,75,3,26,existing,728.5712703628183,3,72,3,26,existing,728.5712703628183,3,74,3,26,existing,728.5712703628183,3,76,3,318,existing,966.509040709381,3,77,3,318,existing,966.509040709381
4,4,55,4,193,existing,266.210334520228,4,55,4,144,existing,87.85301919854606,4,55,4,335,allocated,237.67717047744833,4,63,4,193,existing,266.210334520228,4,64,4,323,existing,293.08266069342756,4,66,4,126,existing,1348.765320921538,4,65,4,315,existing,406.5576567578428,4,75,4,26,existing,1783.3944907923283,4,68,4,278,existing,1509.0307725817124,4,67,4,126,existing,1348.765320921538,4,71,4,26,existing,1783.3944907923283,4,72,4,26,existing,1783.3944907923283,4,74,4,26,existing,1783.3944907923283
5,5,57,5,193,existing,212.93832831659384,5,57,5,144,existing,300.6570752479669,5,57,5,117,allocated,82.70798723510472,5,63,5,193,existing,212.93832831659384,5,64,5,323,existing,239.81065448979342,5,66,5,126,existing,1560.0964806758743,5,65,5,315,existing,353.28565055420864,5,73,5,26,existing,1994.7256505466646,5,68,5,278,existing,1720.3619323360488,5,67,5,126,existing,1560.0964806758743,5,72,5,26,existing,1994.7256505466646,5,75,5,26,existing,1994.7256505466646,5,71,5,26,existing,1994.7256505466646
6,6,56,6,193,existing,358.8520668621476,6,56,6,144,existing,380.8958604674067,6,56,6,98,allocated,159.79740973931428,6,63,6,193,existing,358.8520668621476,6,64,6,323,existing,385.7243930353472,6,66,6,126,existing,1706.010219221428,6,65,6,315,existing,499.1993890997624,6,75,6,26,existing,2140.6393890922186,6,68,6,278,existing,1866.2756708816028,6,73,6,26,existing,2140.6393890922186,6,67,6,126,existing,1706.010219221428,6,71,6,26,existing,2140.6393890922186,6,72,6,26,existing,2140.6393890922186
7,7,59,11,126,existing,549.4300680196553,7,59,11,95,existing,322.9440316923947,7,59,11,277,allocated,23.563561560968125,7,67,11,126,existing,549.4300680196553,7,66,11,126,existing,549.4300680196553,7,64,11,323,existing,774.6410854838208,7,68,11,278,existing,753.6958837263892,7,63,11,193,existing,800.854843415002,7,71,11,26,existing,1028.059601937005,7,72,11,26,existing,1028.059601937005,7,65,11,315,existing,888.116081548236,7,74,11,26,existing,1028.059601937005,7,75,11,26,existing,1028.059601937005
8,8,55,12,193,existing,438.6791246059352,8,55,12,252,existing,309.00646722248865,8,55,12,12,allocated,0.0,8,64,12,323,existing,411.8067984327356,8,63,12,193,existing,438.6791246059352,8,65,12,315,existing,525.2817944971508,8,66,12,126,existing,912.2643550707405,8,73,12,26,existing,1390.8938889880903,8,68,12,278,existing,1116.5301707774745,8,67,12,126,existing,912.2643550707405,8,74,12,26,existing,1390.8938889880903,8,75,12,26,existing,1390.8938889880903,8,72,12,26,existing,1390.8938889880903
9,9,55,13,193,existing,471.50341890087185,9,55,13,252,existing,339.2018359218866,9,55,13,335,allocated,442.9702548580922,9,63,13,193,existing,471.50341890087185,9,64,13,323,existing,498.37574507407146,9,65,13,315,existing,611.8507411384867,9,66,13,126,existing,1472.6059534141648,9,67,13,126,existing,1472.6059534141648,9,73,13,26,existing,1907.235123284955,9,74,13,26,existing,1907.235123284955,9,68,13,278,existing,1632.8714050743392,9,75,13,26,existing,1907.235123284955,9,72,13,26,existing,1907.235123284955
10,10,56,14,193,existing,424.4446017791971,10,56,14,252,existing,292.14301880021185,10,56,14,335,allocated,395.91143773641744,10,63,14,193,existing,424.4446017791971,10,64,14,323,existing,451.31692795239667,10,65,14,315,existing,564.7919240168119,10,67,14,126,existing,1425.54713629249,10,75,14,26,existing,1860.1763061632803,10,68,14,278,existing,1585.8125879526644,10,73,14,26,existing,1860.1763061632803,10,66,14,126,existing,1425.54713629249,10,71,14,26,existing,1860.1763061632803,10,72,14,26,existing,1860.1763061632803
11,11,55,15,193,existing,376.0280494447619,11,55,15,252,existing,243.72646646577664,11,55,15,335,allocated,347.49488540198223,11,63,15,193,existing,376.0280494447619,11,64,15,323,existing,402.90037561796146,11,65,15,315,existing,516.3753716823767,11,67,15,126,existing,1377.1305839580548,11,68,15,278,existing,1537.3960356182292,11,66,15,126,existing,1377.1305839580548,11,73,15,26,existing,1811.759753828845,11,74,15,26,existing,1811.759753828845,11,75,15,26,existing,1811.759753828845,11,72,15,26,existing,1811.759753828845
12,12,57,16,193,existing,1104.287948171775,12,57,16,144,existing,1009.0945279473768,12,57,16,98,allocated,787.9960772192843,12,63,16,193,existing,1104.287948171775,12,64,16,323,existing,1131.1602743449744,12,65,16,315,existing,1244.6352704093895,12,67,16,126,existing,2445.712868067461,12,68,16,278,existing,2605.9783197276356,12,73,16,26,existing,2880.3420379382515,12,74,16,26,existing,2880.3420379382515,12,66,16,126,existing,2445.712868067461,12,72,16,26,existing,2880.3420379382515,12,75,16,26,existing,2880.3420379382515
13,13,56,17,193,existing,1075.429691073536,13,56,17,144,existing,980.236270849138,13,56,17,98,allocated,759.1378201210455,13,63,17,193,existing,1075.429691073536,13,64,17,323,existing,1102.3020172467357,13,67,17,126,existing,2416.8546109692224,13,65,17,315,existing,1215.7770133111508,13,66,17,126,existing,2416.8546109692224,13,74,17,26,existing,2851.4837808400125,13,75,17,26,existing,2851.4837808400125,13,68,17,278,existing,2577.1200626293967,13,71,17,26,existing,2851.4837808400125,13,73,17,26,existing,2851.4837808400125
14,14,56,18,193,existing,622.1563662124414,14,56,18,144,existing,644.2001598177006,14,56,18,98,allocated,423.10170908960816,14,63,18,193,existing,622.1563662124414,14,64,18,323,existing,649.028692385641,14,66,18,126,existing,1969.3145185717221,14,65,18,315,existing,762.5036884500562,14,74,18,26,existing,2403.943688442512,14,68,18,278,existing,2129.5799702318964,14,67,18,126,existing,1969.3145185717221,14,72,18,26,existing,2403.943688442512,14,75,18,26,existing,2403.943688442512,14,71,18,26,existing,2403.943688442512
15,15,57,19,193,existing,573.4851281033584,15,57,19,144,existing,595.5289217086176,15,57,19,98,allocated,374.4304709805252,15,63,19,193,existing,573.4851281033584,15,64,19,323,existing,600.357454276558,15,65,19,315,existing,713.8324503409733,15,67,19,126,existing,1920.643280462639,15,71,19,26,existing,2355.2724503334293,15,72,19,26,existing,2355.2724503334293,15,66,19,126,existing,1920.643280462639,15,68,19,278,existing,2080.9087321228135,15,75,19,26,existing,2355.2724503334293,15,73,19,26,existing,2355.2724503334293
16,16,57,20,193,existing,517.9085487826449,16,57,20,144,existing,539.952342387904,16,57,20,98,allocated,318.85389165981155,16,63,20,193,existing,517.9085487826449,16,64,20,323,existing,544.7808749558444,16,65,20,315,existing,658.2558710202597,16,67,20,126,existing,1865.0667011419255,16,66,20,126,existing,1865.0667011419255,16,72,20,26,existing,2299.6958710127155,16,68,20,278,existing,2025.3321528021,16,75,20,26,existing,2299.6958710127155,16,73,20,26,existing,2299.6958710127155,16,74,20,26,existing,2299.6958710127155
17,17,57,21,193,existing,620.759056382018,17,57,21,144,existing,642.8028499872772,17,57,21,98,allocated,421.7043992591847,17,63,21,193,existing,620.759056382018,17,64,21,323,existing,647.6313825552176,17,65,21,315,existing,761.1063786196328,17,67,21,126,existing,1967.9172087412985,17,71,21,26,existing,2402.546378612089,17,66,21,126,existing,1967.9172087412985,17,74,21,26,existing,2402.546378612089,17,68,21,278,existing,2128.182660401473,17,72,21,26,existing,2402.546378612089,17,75,21,26,existing,2402.546378612089
18,18,55,22,193,existing,821.0390640597004,18,55,22,144,existing,858.2852224827524,18,55,22,209,allocated,252.46355457784125,18,63,22,193,existing,821.0390640597004,18,64,22,323,existing,847.9113902329,18,65,22,315,existing,961.3863862973153,18,67,22,126,existing,2168.197216418981,18,68,22,278,existing,2328.4626680791553,18,66,22,126,existing,2168.197216418981,18,73,22,26,existing,2602.826386289771,18,72,22,26,existing,2602.826386289771,18,71,22,26,existing,2602.826386289771,18,75,22,26,existing,2602.826386289771
19,19,56,23,193,existing,739.53851268168,19,56,23,252,existing,871.8400956606652,19,56,23,209,allocated,170.96300319982083,19,63,23,193,existing,739.53851268168,19,64,23,323,existing,766.4108388548796,19,65,23,315,existing,879.8858349192949,19,67,23,126,existing,2086.6966650409604,19,68,23,278,existing,2246.962116701135,19,71,23,26,existing,2521.325834911751,19,75,23,26,existing,2521.325834911751,19,66,23,126,existing,2086.6966650409604,19,74,23,26,existing,2521.325834911751,19,73,23,26,existing,2521.325834911751
