,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant
0,0,25,2,196,allocated,841.6233061132343,0,25,2,20,allocated,825.202836966756,0,25,2,20,allocated,825.202836966756,0,23,2,189,allocated,934.0025091819563,0,16,2,121,allocated,1096.7723113256957,0,27,2,131,existing,1890.1692316865224,0,16,2,121,allocated,1096.7723113256957,0,28,2,131,existing,1890.1692316865224
1,1,25,4,196,allocated,1039.3907942395676,1,25,4,20,allocated,607.0441143728799,1,25,4,20,allocated,607.0441143728799,1,23,4,189,allocated,1131.7699973082897,1,16,4,121,allocated,1294.539799452029,1,16,4,121,allocated,1294.539799452029,1,28,4,131,existing,2087.9367198128557,1,27,4,131,existing,2087.9367198128557
2,2,10,5,93,allocated,342.8027825921196,2,10,5,94,allocated,414.59604473884724,2,10,5,93,allocated,342.8027825921196,2,23,5,189,allocated,750.760123532735,2,16,5,121,allocated,1322.2150144037823,2,16,5,121,allocated,1322.2150144037823,2,28,5,131,existing,1663.371564270038,2,27,5,131,existing,1663.371564270038
3,3,10,6,93,allocated,435.6540782782235,3,10,6,94,allocated,507.4473404249511,3,10,6,93,allocated,435.6540782782235,3,23,6,189,allocated,657.9088278466311,3,16,6,121,allocated,1229.3637187176782,3,16,6,121,allocated,1229.3637187176782,3,28,6,131,existing,1756.2228599561417,3,27,6,131,existing,1756.2228599561417
4,4,7,7,73,allocated,367.328225029303,4,7,7,121,existing,82.39683371943602,4,7,7,121,allocated,82.39683371943602,4,16,7,121,allocated,82.39683371943602,4,16,7,121,allocated,82.39683371943602,4,27,7,131,existing,1155.2848067387754,4,23,7,189,allocated,745.981533938214,4,28,7,131,existing,1155.2848067387754
5,5,7,8,73,allocated,245.1185336407805,5,7,8,72,existing,48.42078524908231,5,7,8,8,allocated,0.0,5,16,8,121,allocated,204.6065251079585,5,16,8,121,allocated,204.6065251079585,5,23,8,189,allocated,868.1912253267365,5,27,8,131,existing,1277.494498127298,5,28,8,131,existing,1277.494498127298
6,6,26,9,132,existing,743.2532885098879,6,26,9,9,allocated,0.0,6,26,9,9,allocated,0.0,6,16,9,121,allocated,499.13285641797427,6,16,9,121,allocated,499.13285641797427,6,27,9,131,existing,573.7551166013653,6,28,9,131,existing,573.7551166013653,6,23,9,189,allocated,944.0640725166967
7,7,25,10,196,allocated,736.9223096363346,7,25,10,9,allocated,149.64768388584085,7,25,10,9,allocated,149.64768388584085,7,16,10,121,allocated,349.4851725321334,7,16,10,121,allocated,349.4851725321334,7,27,10,131,existing,723.4028004872062,7,28,10,131,existing,723.4028004872062,7,23,10,189,allocated,794.4163886308559
8,8,7,11,73,allocated,762.8499337564019,8,7,11,20,allocated,314.12020315846985,8,7,11,20,allocated,314.12020315846985,8,16,11,121,allocated,1008.8725102236731,8,16,11,121,allocated,1008.8725102236731,8,23,11,189,allocated,1157.0495233329586,8,28,11,131,existing,2081.7604832430125,8,27,11,131,existing,2081.7604832430125
9,9,7,12,73,allocated,609.6592559298099,9,7,12,20,allocated,160.9295253318779,9,7,12,20,allocated,160.9295253318779,9,16,12,121,allocated,855.681832397081,9,16,12,121,allocated,855.681832397081,9,23,12,189,allocated,1041.955625777598,9,28,12,131,existing,1928.5698054164204,9,27,12,131,existing,1928.5698054164204
10,10,25,13,196,allocated,493.12514862159253,10,25,13,20,allocated,344.64388153254083,10,25,13,20,allocated,344.64388153254083,10,23,13,189,allocated,870.7399427828161,10,16,13,121,allocated,966.678837916545,10,16,13,121,allocated,966.678837916545,10,27,13,131,existing,1820.9133268158287,10,28,13,131,existing,1820.9133268158287
11,11,25,14,196,allocated,622.2735158631264,11,25,14,20,allocated,215.49551429100694,11,25,14,20,allocated,215.49551429100694,11,16,14,121,allocated,910.2478213562101,11,16,14,121,allocated,910.2478213562101,11,23,14,189,allocated,999.88831002435,11,27,14,131,existing,1793.7082904115623,11,28,14,131,existing,1793.7082904115623
12,12,7,15,73,allocated,452.9326190013024,12,7,15,73,existing,452.9326190013024,12,7,15,15,allocated,0.0,12,16,15,121,allocated,902.6576777500413,12,16,15,121,allocated,902.6576777500413,12,28,15,131,existing,1507.2155938347125,12,27,15,131,existing,1507.2155938347125,12,23,15,189,allocated,1566.2423779688193
13,13,7,16,73,allocated,377.60888805126825,13,7,16,73,existing,377.60888805126825,13,7,16,15,allocated,75.32373095003412,13,16,16,121,allocated,827.3339468000072,13,16,16,121,allocated,827.3339468000072,13,27,16,131,existing,1582.5393247847467,13,23,16,189,allocated,1490.9186470187851,13,28,16,131,existing,1582.5393247847467
14,14,7,17,73,allocated,385.6196142149283,14,7,17,73,existing,385.6196142149283,14,7,17,17,allocated,0.0,14,16,17,121,allocated,835.3446729636672,14,16,17,121,allocated,835.3446729636672,14,27,17,131,existing,1364.3179969677808,14,28,17,131,existing,1364.3179969677808,14,23,17,189,allocated,1498.9293731824453
15,15,7,18,73,allocated,465.82556920018675,15,7,18,73,existing,465.82556920018675,15,7,18,18,allocated,0.0,15,16,18,121,allocated,915.5506279489257,15,16,18,121,allocated,915.5506279489257,15,28,18,131,existing,1444.5239519530392,15,27,18,131,existing,1444.5239519530392,15,23,18,189,allocated,1579.1353281677036
16,16,25,19,196,allocated,786.8074950055571,16,25,19,20,allocated,591.9830284171493,16,25,19,20,allocated,591.9830284171493,16,23,19,189,allocated,879.1866980742791,16,16,19,121,allocated,1041.9565002180186,16,16,19,121,allocated,1041.9565002180186,16,27,19,131,existing,1835.3534205788455,16,28,19,131,existing,1835.3534205788455
17,17,7,20,73,allocated,448.72973059793196,17,7,20,20,allocated,0.0,17,7,20,20,allocated,0.0,17,16,20,121,allocated,694.7523070652032,17,16,20,121,allocated,694.7523070652032,17,23,20,189,allocated,1048.4317957252447,17,27,20,131,existing,1767.6402800845426,17,28,20,131,existing,1767.6402800845426
18,18,10,21,93,allocated,559.6408753427386,18,10,21,94,allocated,631.4341374894661,18,10,21,93,allocated,559.6408753427386,18,23,21,189,allocated,1193.2119313679057,18,16,21,121,allocated,1425.5335408867793,18,27,21,131,existing,1880.2096570206568,18,16,21,121,allocated,1425.5335408867793,18,28,21,131,existing,1880.2096570206568
19,19,10,22,93,allocated,504.86585418552454,19,10,22,94,allocated,576.6591163322521,19,10,22,93,allocated,504.86585418552454,19,23,22,189,allocated,1138.4369102106916,19,16,22,121,allocated,1370.7585197295653,19,28,22,131,existing,1825.4346358634425,19,16,22,121,allocated,1370.7585197295653,19,27,22,131,existing,1825.4346358634425
20,20,25,23,196,allocated,308.7758601911055,20,25,23,121,existing,446.68335951567667,20,25,23,196,allocated,308.7758601911055,20,16,23,121,allocated,446.68335951567667,20,16,23,121,allocated,446.68335951567667,20,27,23,131,existing,1300.9178484149606,20,23,23,189,allocated,540.948655824236,20,28,23,131,existing,1300.9178484149606
21,21,25,24,196,allocated,391.0788916198936,21,25,24,20,allocated,425.1801084722207,21,25,24,196,allocated,391.0788916198936,21,16,24,121,allocated,528.9863909444648,21,16,24,121,allocated,528.9863909444648,21,27,24,131,existing,1383.2208798437487,21,23,24,189,allocated,623.2516872530241,21,28,24,131,existing,1383.2208798437487
22,22,25,25,196,allocated,471.19803682359986,22,25,25,20,allocated,345.06096326851434,22,25,25,20,allocated,345.06096326851434,22,16,25,121,allocated,609.105536148171,22,16,25,121,allocated,609.105536148171,22,23,25,189,allocated,703.3708324567303,22,28,25,131,existing,1463.3400250474551,22,27,25,131,existing,1463.3400250474551
23,23,7,26,73,allocated,528.6263821144651,23,7,26,20,allocated,442.23653469430997,23,7,26,20,allocated,442.23653469430997,23,16,26,121,allocated,510.3018888027342,23,16,26,121,allocated,510.3018888027342,23,28,26,131,existing,1364.536377702018,23,23,26,189,allocated,634.0349978334294,23,27,26,131,existing,1364.536377702018
24,24,7,27,73,allocated,445.22874889695106,24,7,27,20,allocated,358.83890147679597,24,7,27,20,allocated,358.83890147679597,24,16,27,121,allocated,593.6995220202481,24,16,27,121,allocated,593.6995220202481,24,27,27,131,existing,1447.9340109195318,24,23,27,189,allocated,717.4326310509433,24,28,27,131,existing,1447.9340109195318
25,25,7,28,73,allocated,563.8238366956391,25,7,28,20,allocated,115.09410609770705,25,7,28,20,allocated,115.09410609770705,25,16,28,121,allocated,809.8464131629103,25,16,28,121,allocated,809.8464131629103,25,23,28,189,allocated,933.3376896275377,25,27,28,131,existing,1693.3068822182622,25,28,28,131,existing,1693.3068822182622
26,26,25,29,196,allocated,321.4309192691474,26,25,29,121,existing,284.65970195510937,26,25,29,121,allocated,284.65970195510937,26,16,29,121,allocated,284.65970195510937,26,16,29,121,allocated,284.65970195510937,26,27,29,131,existing,1138.8941908543934,26,23,29,189,allocated,378.92499826366867,26,28,29,131,existing,1138.8941908543934
27,27,10,30,93,allocated,1046.3219812352913,27,10,30,20,allocated,769.4565165426682,27,10,30,20,allocated,769.4565165426682,27,23,30,189,allocated,1363.7591028810425,27,16,30,121,allocated,1464.2088236078712,27,27,30,131,existing,2319.9258253856087,27,16,30,121,allocated,1464.2088236078712,27,28,30,131,existing,2319.9258253856087
28,28,7,31,73,allocated,1039.398661202813,28,7,31,20,allocated,590.6689306048809,28,7,31,20,allocated,590.6689306048809,28,23,31,189,allocated,1174.6703297898262,28,16,31,121,allocated,1285.421237670084,28,27,31,131,existing,2130.8370522943924,28,16,31,121,allocated,1285.421237670084,28,28,31,131,existing,2130.8370522943924
29,29,10,32,93,allocated,81.58580858247714,29,10,32,94,allocated,153.37907072920476,29,10,32,93,allocated,81.58580858247714,29,23,32,189,allocated,715.1568646076441,29,16,32,121,allocated,1276.0684928004193,29,16,32,121,allocated,1276.0684928004193,29,28,32,131,existing,1402.1545902603953,29,27,32,131,existing,1402.1545902603953
30,30,10,33,93,allocated,166.6865983233667,30,10,33,94,allocated,238.4798604700943,30,10,33,93,allocated,166.6865983233667,30,23,33,189,allocated,630.0560748667546,30,16,33,121,allocated,1190.9677030595299,30,27,33,131,existing,1487.2553800012852,30,16,33,121,allocated,1190.9677030595299,30,28,33,131,existing,1487.2553800012852
31,31,10,34,93,allocated,464.92616847145433,31,10,34,94,allocated,536.719430618182,31,10,34,93,allocated,464.92616847145433,31,23,34,189,allocated,528.8165443373857,31,16,34,121,allocated,899.0847820644549,31,16,34,121,allocated,899.0847820644549,31,28,34,131,existing,1502.3596392390739,31,27,34,131,existing,1502.3596392390739
32,32,25,35,196,allocated,550.5493935482982,32,25,35,94,allocated,623.7491647688644,32,25,35,189,allocated,435.4301610336905,32,23,35,189,allocated,435.4301610336905,32,16,35,121,allocated,805.6983987607597,32,27,35,131,existing,1408.9732559353788,32,16,35,121,allocated,805.6983987607597,32,28,35,131,existing,1408.9732559353788
33,33,26,37,132,existing,425.8175104575909,33,26,37,9,allocated,389.227734957243,33,26,37,110,allocated,227.8329035075962,33,27,37,131,existing,288.2343017095375,33,28,37,131,existing,288.2343017095375,33,16,37,121,allocated,848.4259772816197,33,16,37,121,allocated,848.4259772816197,33,23,37,189,allocated,1293.357193380342
34,34,26,38,132,existing,327.3007522915327,34,26,38,9,allocated,519.6594562837703,34,26,38,110,allocated,97.40118218106888,34,28,38,131,existing,157.80258038301014,34,27,38,131,existing,157.80258038301014,34,16,38,121,allocated,978.857698608147,34,16,38,121,allocated,978.857698608147,34,23,38,189,allocated,1376.9281352938142
35,35,26,39,132,existing,408.74434900547783,35,26,39,9,allocated,438.21585956982517,35,26,39,110,allocated,178.84477889501397,35,27,39,131,existing,239.24617709695525,35,28,39,131,existing,239.24617709695525,35,16,39,121,allocated,897.414101894202,35,16,39,121,allocated,897.414101894202,35,23,39,189,allocated,1342.3453179929243
36,36,7,41,73,allocated,435.23300594124237,36,7,41,20,allocated,13.496724656689658,36,7,41,20,allocated,13.496724656689658,36,16,41,121,allocated,681.2555824085135,36,16,41,121,allocated,681.2555824085135,36,27,41,131,existing,1754.143555427853,36,23,41,189,allocated,1061.9285203819345,36,28,41,131,existing,1754.143555427853
