,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant
0,0,30,2,205,allocated,680.4876711763307,0,30,2,35,existing,235.29705533074252,0,4,2,41,allocated,128.3120688199266,0,3,2,35,allocated,235.29705533074252,0,92,2,281,existing,948.7922703560524,0,88,2,336,existing,1337.3012593640804,0,91,2,241,existing,1642.4445144589822,0,90,2,241,existing,1642.4445144589822,0,89,2,253,existing,2132.0719054188685,0,93,2,147,existing,1614.4161431729513
1,1,30,3,205,allocated,768.4892262089114,1,30,3,35,existing,323.2986103633233,1,4,3,41,allocated,216.31362385250736,1,3,3,35,allocated,323.2986103633233,1,88,3,336,existing,1249.2997043314995,1,92,3,281,existing,985.654166615293,1,90,3,241,existing,1554.4429594264016,1,91,3,241,existing,1554.4429594264016,1,93,3,147,existing,1526.4145881403706,1,89,3,253,existing,2044.0703503862874
2,2,30,4,205,allocated,735.9345817600588,2,30,4,289,allocated,195.1752520017032,2,92,4,281,existing,467.629982580337,2,3,4,35,allocated,1034.875248132991,2,4,4,41,allocated,1141.860234643807,2,88,4,336,existing,2100.9692109380303,2,89,4,253,existing,2895.739856992818,2,93,4,147,existing,2378.0840947469014,2,91,4,241,existing,2406.1124660329324,2,90,4,241,existing,2406.1124660329324
3,3,30,5,205,allocated,667.0330201495673,3,30,5,289,allocated,126.27369039121169,3,92,5,281,existing,398.7284209698455,3,3,5,35,allocated,965.9736865224995,3,88,5,336,existing,2032.0676493275391,3,4,5,41,allocated,1072.9586730333153,3,90,5,241,existing,2337.2109044224408,3,89,5,253,existing,2826.838295382327,3,91,5,241,existing,2337.2109044224408,3,93,5,147,existing,2309.18253313641
4,4,23,6,163,allocated,754.4327088603624,4,23,6,220,existing,375.9941252415341,4,92,6,281,existing,844.5781631423531,4,3,6,35,allocated,1076.1731684455244,4,4,6,41,allocated,1183.1581549563405,4,88,6,336,existing,2477.9173915000465,4,93,6,147,existing,2755.0322753089176,4,89,6,253,existing,3272.6880375548344,4,90,6,241,existing,2783.0606465949486,4,91,6,241,existing,2783.0606465949486
5,5,84,7,353,existing,810.7185764967384,5,84,7,220,existing,435.1060919722819,5,92,7,281,existing,785.4661964116053,5,3,7,35,allocated,1135.2851351762722,5,4,7,41,allocated,1242.2701216870882,5,88,7,336,existing,2418.8054247692985,5,93,7,147,existing,2695.9203085781696,5,90,7,241,existing,2723.9486798642006,5,89,7,253,existing,3213.5760708240864,5,91,7,241,existing,2723.9486798642006
6,6,23,8,163,allocated,620.9022257463309,6,23,8,220,existing,242.46364212750254,6,3,8,35,allocated,942.6426853314929,6,92,8,281,existing,978.1086462563846,6,4,8,41,allocated,1049.627671842309,6,88,8,336,existing,2462.670955058318,6,93,8,147,existing,2739.7858388671893,6,89,8,253,existing,3257.441601113106,6,91,8,241,existing,2767.8142101532203,6,90,8,241,existing,2767.8142101532203
7,7,84,9,353,existing,656.0398630697124,7,84,9,220,existing,567.3586916436742,7,92,9,281,existing,940.1449098386311,7,3,9,35,allocated,1267.5377348476645,7,4,9,41,allocated,1374.5227213584806,7,88,9,336,existing,2573.4841381963247,7,89,9,253,existing,3368.2547842511126,7,93,9,147,existing,2850.599022005196,7,90,9,241,existing,2878.627393291227,7,91,9,241,existing,2878.627393291227
8,8,84,10,353,existing,691.6005821107061,8,84,10,220,existing,554.2240863583141,8,92,10,281,existing,904.5841907976375,8,3,10,35,allocated,1254.4031295623045,8,4,10,41,allocated,1361.3881160731205,8,88,10,336,existing,2537.923419155331,8,89,10,253,existing,3332.694065210119,8,90,10,241,existing,2843.066674250233,8,91,10,241,existing,2843.066674250233,8,93,10,147,existing,2815.038302964202
9,9,23,11,163,allocated,714.8297254781489,9,23,11,220,existing,336.39114185932056,9,3,11,35,allocated,1036.5701850633109,9,92,11,281,existing,1072.0361459882026,9,88,11,336,existing,2556.598454790136,9,4,11,41,allocated,1143.555171574127,9,90,11,241,existing,2861.7417098850383,9,91,11,241,existing,2861.7417098850383,9,93,11,147,existing,2833.7133385990073,9,89,11,253,existing,3351.369100844924
10,10,23,12,163,allocated,754.2226875668487,10,23,12,220,existing,388.5607352171859,10,92,12,281,existing,702.3644782027918,10,3,12,35,allocated,925.7016848231967,10,4,12,41,allocated,1032.6866713340128,10,88,12,336,existing,2335.7037065604854,10,93,12,147,existing,2612.8185903693566,10,89,12,253,existing,3130.4743526152733,10,90,12,241,existing,2640.8469616553875,10,91,12,241,existing,2640.8469616553875
11,11,23,13,163,allocated,809.7803898086122,11,23,13,289,allocated,374.35204538239464,11,92,13,281,existing,646.8067759610284,11,3,13,35,allocated,981.2593870649603,11,88,13,336,existing,2280.1460043187217,11,4,13,41,allocated,1088.2443735757763,11,93,13,147,existing,2557.260888127593,11,91,13,241,existing,2585.2892594136238,11,89,13,253,existing,3074.9166503735096,11,90,13,241,existing,2585.2892594136238
12,12,30,14,205,allocated,643.1004900098145,12,30,14,289,allocated,398.29755435969764,12,92,14,281,existing,565.4453532994942,12,3,14,35,allocated,659.5822397252725,12,88,14,336,existing,2118.0362248179435,12,4,14,41,allocated,722.0478556472639,12,90,14,241,existing,2423.179479912845,12,93,14,147,existing,2395.151108626814,12,89,14,253,existing,2912.8068708727315,12,91,14,241,existing,2423.179479912845
13,13,30,15,205,allocated,703.4314959636745,13,30,15,289,allocated,337.96654840583767,13,92,15,281,existing,610.4212789844715,13,3,15,35,allocated,719.9132456791326,13,4,15,41,allocated,782.378861601124,13,88,15,336,existing,2178.3672307718034,13,89,15,253,existing,2973.1378768265913,13,91,15,241,existing,2483.5104858667055,13,90,15,241,existing,2483.5104858667055,13,93,15,147,existing,2455.4821145806745
14,14,23,16,163,allocated,426.5430644648151,14,23,16,220,existing,432.2921610312544,14,3,16,35,allocated,1011.1219556989081,14,4,16,41,allocated,1118.106942209724,14,92,16,281,existing,1271.9420096461713,14,88,16,336,existing,2531.1502254257334,14,93,16,147,existing,2808.265109234604,14,91,16,241,existing,2836.293480520635,14,89,16,253,existing,3325.9208714805213,14,90,16,241,existing,2836.293480520635
