,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant
0,0,35,1,115,existing,868.5030041247298,0,35,1,250,existing,983.1243549776436,0,35,1,22,allocated,574.9847455248461,0,40,1,171,existing,977.9341441170504,0,39,1,171,existing,977.9341441170504,0,37,1,12,existing,1006.9146919912301,0,38,1,12,existing,1006.9146919912301,0,21,1,162,allocated,1654.7834702804848,0,19,1,151,allocated,2159.2513974978265,0,16,1,135,allocated,1903.6408054529788
1,1,35,4,115,existing,603.9435583097965,1,35,4,102,existing,433.2014336426379,1,35,4,143,allocated,89.20345938555396,1,40,4,171,existing,713.374698302117,1,39,4,171,existing,713.374698302117,1,38,4,12,existing,782.3486297307599,1,37,4,12,existing,782.3486297307599,1,19,4,151,allocated,2329.2049546199273,1,16,4,135,allocated,2073.5943625750797,1,21,4,162,allocated,1999.7179692637937
2,2,35,5,115,existing,490.17657357033966,2,35,5,102,existing,319.4344489031811,2,35,5,143,allocated,202.97044412501077,2,39,5,171,existing,599.6077135626603,2,40,5,171,existing,599.6077135626603,2,37,5,12,existing,668.5816449913029,2,38,5,12,existing,668.5816449913029,2,19,5,151,allocated,2215.4379698804705,2,16,5,135,allocated,1959.8273778356229,2,21,5,162,allocated,1885.950984524337
3,3,33,9,38,existing,636.4356033746617,3,33,9,36,allocated,583.8002164975144,3,33,9,150,existing,407.1442383687144,3,16,9,135,allocated,498.1931395475232,3,19,9,151,allocated,566.2078989224688,3,37,9,12,existing,1423.5527310342595,3,21,9,162,allocated,763.8521512066984,3,39,9,171,existing,1446.309569180997,3,38,9,12,existing,1423.5527310342595,3,40,9,171,existing,1446.309569180997
4,4,34,12,12,existing,0.0,4,34,12,250,existing,23.79033701358653,4,34,12,12,allocated,0.0,4,37,12,12,existing,0.0,4,38,12,12,existing,0.0,4,40,12,171,existing,68.97393142864277,4,39,12,171,existing,68.97393142864277,4,21,12,162,allocated,1217.3693395330338,4,16,12,135,allocated,1291.24573284432,4,19,12,151,allocated,1546.8563248891674
5,5,34,13,12,existing,93.80152292968648,5,34,13,250,existing,117.59185994327302,5,34,13,12,allocated,93.80152292968648,5,38,13,12,existing,93.80152292968648,5,37,13,12,existing,93.80152292968648,5,40,13,171,existing,162.77545435832926,5,39,13,171,existing,162.77545435832926,5,21,13,162,allocated,1123.5678166033472,5,19,13,151,allocated,1453.054801959481,5,16,13,135,allocated,1197.4442099146336
6,6,35,17,115,existing,210.50943288302145,6,35,17,250,existing,325.1307837359352,6,35,17,17,allocated,0.0,6,39,17,171,existing,319.94057287534207,6,40,17,171,existing,319.94057287534207,6,38,17,12,existing,348.9211207495217,6,37,17,12,existing,348.9211207495217,6,19,17,151,allocated,1810.1984673594532,6,21,17,162,allocated,1398.11954224255,6,16,17,135,allocated,1554.5878753146058
7,7,36,20,20,existing,0.0,7,36,20,137,existing,338.07101010912845,7,36,20,151,allocated,90.1627753672023,7,19,20,151,allocated,90.1627753672023,7,16,20,135,allocated,345.77336741205,7,21,20,162,allocated,611.4323790712252,7,37,20,12,existing,1637.0191002563697,7,38,20,12,existing,1637.0191002563697,7,39,20,171,existing,1705.9930316850127,7,40,20,171,existing,1705.9930316850127
8,8,36,21,20,existing,256.06777368721885,8,36,21,137,existing,82.00323642190959,8,36,21,151,allocated,330.7277650540444,8,19,21,151,allocated,330.7277650540444,8,16,21,135,allocated,586.3383570988921,8,38,21,12,existing,1785.407671536892,8,21,21,162,allocated,851.9973687580673,8,40,21,171,existing,1854.381602965535,8,39,21,171,existing,1854.381602965535,8,37,21,12,existing,1785.407671536892
9,9,10,27,72,allocated,443.4922011671108,9,10,27,218,allocated,299.698777463797,9,10,27,160,allocated,216.98476659289815,9,16,27,135,allocated,1190.263477272933,9,19,27,151,allocated,1258.2782366478784,9,38,27,12,existing,1390.190323686712,9,37,27,12,existing,1390.190323686712,9,21,27,162,allocated,1455.9224889321083,9,39,27,171,existing,1412.9471618334494,9,40,27,171,existing,1412.9471618334494
