,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant
0,0,77,0,368,existing,71.24366018691816,0,77,0,277,existing,529.6016990301786,0,77,0,358,allocated,48.09257462781473,0,81,0,27,existing,1243.8541212673547,0,82,0,419,existing,264.3621153233852
1,1,77,1,368,existing,50.79959502001224,1,77,1,277,existing,509.1576338632727,1,77,1,358,allocated,27.648509460908798,1,82,1,419,existing,243.91805015647924,1,81,1,27,existing,1264.2981864342607
2,2,74,2,252,existing,327.02856094049116,2,74,2,157,existing,439.012457617027,2,74,2,68,allocated,117.89630376028143,2,82,2,419,existing,1634.0242977589155,2,81,2,27,existing,1760.470455419173
3,3,74,3,252,existing,402.61499854527295,3,74,3,157,existing,363.42602001224515,3,74,3,68,allocated,42.309866155499584,3,82,3,419,existing,1558.437860154134,3,81,3,27,existing,1684.8840178143914
4,4,74,4,252,existing,1175.3935896171733,4,74,4,157,existing,687.6106177873564,4,74,4,75,allocated,635.2503327019543,4,81,4,27,existing,909.2624941826556,4,82,4,419,existing,1876.2789561659404
5,5,80,5,284,existing,1252.2912619534516,5,80,5,157,existing,703.8439898614644,5,80,5,28,allocated,436.76283748268503,5,81,5,27,existing,619.2293047283233,5,82,5,419,existing,1587.8585718568702
6,6,77,6,368,existing,129.88931025054868,6,77,6,277,existing,588.2473490938091,6,77,6,358,allocated,106.73822469144524,6,82,6,419,existing,323.00776538701564,6,81,6,27,existing,1197.8167803518375
7,7,79,9,256,existing,724.7690944027202,7,79,9,10,existing,94.27221558358637,7,79,9,91,allocated,149.92746405440968,7,82,9,419,existing,1181.9251327694533,7,81,9,27,existing,1957.2700009577238
8,8,79,10,256,existing,741.4084734344026,8,79,10,10,existing,0.0,8,79,10,91,allocated,244.19967963799604,8,82,10,419,existing,1276.1973483530396,8,81,10,27,existing,2051.54221654131
9,9,79,11,256,existing,636.4082977916974,9,79,11,311,existing,485.2150836211471,9,79,11,311,allocated,485.2150836211471,9,82,11,419,existing,920.9099203749262,9,81,11,27,existing,2055.616160650401
10,10,79,12,256,existing,545.9439535923582,10,79,12,311,existing,394.7507394218079,10,79,12,311,allocated,394.7507394218079,10,82,12,419,existing,830.445576175587,10,81,12,27,existing,1965.1518164510617
11,11,79,13,256,existing,786.2915729847577,11,79,13,311,existing,101.46657198137214,11,79,13,311,allocated,101.46657198137214,11,82,13,419,existing,873.253434864935,11,81,13,27,existing,2205.499435843461
12,12,79,14,256,existing,808.8214178283868,12,79,14,311,existing,123.99641682500133,12,79,14,311,allocated,123.99641682500133,12,82,14,419,existing,895.7832797085641,12,81,14,27,existing,2228.0292806870902
13,13,80,15,284,existing,1083.846435422958,13,80,15,277,existing,748.2225496874264,13,80,15,328,allocated,214.61196898876503,13,81,15,27,existing,494.7942676917618,13,82,15,419,existing,1419.4137453263766
14,14,80,16,284,existing,932.8303772380348,14,80,16,277,existing,597.2064915025034,14,80,16,328,allocated,63.59591080384187,14,81,16,27,existing,343.7782095068386,14,82,16,419,existing,1268.3976871414534
15,15,79,17,256,existing,879.9726798087112,15,79,17,10,existing,472.50060359715826,15,79,17,319,allocated,175.27585034423706,15,82,17,419,existing,1463.0665919540822,15,81,17,27,existing,2255.561647175395
16,16,79,18,256,existing,789.701414278703,16,79,18,10,existing,562.7718691271664,16,79,18,319,existing,85.00458481422893,16,82,18,419,existing,1372.7953264240741,16,81,18,27,existing,2165.290381645387
17,17,76,19,106,existing,973.438410805291,17,76,19,10,existing,744.2767123721576,17,76,19,260,allocated,461.1983087892449,17,82,19,419,existing,1804.6291147323577,17,81,19,27,existing,2579.9739829206283
18,18,76,20,106,existing,984.2783812991471,18,76,20,10,existing,733.4367418783015,18,76,20,260,allocated,472.0382792831009,18,82,20,419,existing,1793.7891442385016,18,81,20,27,existing,2569.134012426772
19,19,78,22,419,existing,981.1502594689932,19,78,22,189,existing,481.9156226194321,19,78,22,153,allocated,151.42981963770274,19,82,22,419,existing,981.1502594689932,19,81,22,27,existing,2429.3819745272863
20,20,76,23,106,existing,425.46062824624414,20,76,23,401,existing,503.04227648043377,20,76,23,23,allocated,0.0,20,82,23,419,existing,1086.722370702003,20,81,23,27,existing,1862.0672388902738
21,21,80,25,284,existing,650.0329576682157,21,80,25,10,existing,284.6752997803542,21,80,25,204,allocated,237.68963611610917,21,82,25,419,existing,991.5220485726854,21,81,25,27,existing,1766.866916760956
22,22,79,26,256,existing,627.9182654581837,22,79,26,10,existing,203.97285069621785,22,79,26,91,allocated,234.5976737020773,22,82,26,419,existing,1072.2244976568218,22,81,26,27,existing,1847.5693658450923
23,23,80,27,284,existing,1172.6489266873214,23,80,27,277,existing,837.0250409517898,23,80,27,27,allocated,0.0,23,81,27,27,existing,0.0,23,82,27,419,existing,1508.21623659074
24,24,77,29,368,existing,422.87253252850934,24,77,29,277,existing,312.7175760937288,24,77,29,141,allocated,407.61499701591936,24,82,29,419,existing,615.9909876649763,24,81,29,27,existing,1149.7426170455187
25,25,78,30,419,existing,649.1962299664573,25,78,30,277,existing,561.953914486784,25,78,30,56,allocated,360.0697368747401,25,82,30,419,existing,649.1962299664573,25,81,30,27,existing,1358.880287151742
26,26,74,32,252,existing,524.5788564180867,26,74,32,157,existing,708.618579715298,26,74,32,68,allocated,387.50242585855244,26,82,32,419,existing,1899.3053970943436,26,81,32,27,existing,2027.2336449576092
27,27,76,33,106,existing,196.5144420661661,27,76,33,401,existing,939.3852564674004,27,76,33,149,existing,91.03596664288712,27,82,33,419,existing,1523.0653506889696,27,81,33,27,existing,2298.4102188772404
28,28,76,34,106,existing,296.8995990870238,28,76,34,10,existing,948.0363748528895,28,76,34,149,existing,191.4211236637448,28,82,34,419,existing,1622.436311155013,28,81,34,27,existing,2397.781179343284
29,29,79,35,256,existing,842.5043551892891,29,79,35,189,existing,543.4079819059779,29,79,35,319,allocated,160.78476383732738,29,82,35,419,existing,1127.0059777725178,29,81,35,27,existing,2261.712218047993
30,30,79,36,256,existing,939.5171584628324,30,79,36,189,existing,446.3951786324345,30,79,36,319,allocated,257.7975671108707,30,82,36,419,existing,1224.0187810460611,30,81,36,27,existing,2358.7250213215366
31,31,76,37,106,existing,597.2033121560721,31,76,37,10,existing,917.0173214094929,31,76,37,149,existing,491.7248367327931,31,82,37,419,existing,1784.6404515917488,31,81,37,27,existing,2559.9853197800194
32,32,76,38,106,existing,605.9345240014018,32,76,38,10,existing,908.2861095641633,32,76,38,149,existing,500.4560485781227,32,82,38,419,existing,1775.9092397464192,32,81,38,27,existing,2551.2541079346897
33,33,79,39,256,existing,788.9586877644645,33,79,39,10,existing,568.8520393247934,33,79,39,319,existing,239.76972078612394,33,82,39,419,existing,1377.0067148403164,33,81,39,27,existing,2164.547655131148
34,34,79,40,256,existing,711.9474830356362,34,79,40,10,existing,491.84083459596513,34,79,40,319,allocated,162.75851605729574,34,82,40,419,existing,1299.9955101114883,34,81,40,27,existing,2087.53645040232
35,35,76,41,106,existing,887.761283731883,35,76,41,10,existing,604.7460051805288,35,76,41,91,allocated,360.5463255425327,35,82,41,419,existing,1665.0984075407289,35,81,41,27,existing,2440.4432757289997
36,36,76,42,106,existing,958.362426644346,36,76,42,10,existing,675.3471480929917,36,76,42,91,allocated,431.14746845499565,36,82,42,419,existing,1735.699550453192,36,81,42,27,existing,2511.0444186414625
37,37,76,43,106,existing,919.7792479036084,37,76,43,10,existing,797.9358752738402,37,76,43,260,allocated,407.53914588756226,37,82,43,419,existing,1858.2882776340402,37,81,43,27,existing,2633.633145822311
38,38,76,44,106,existing,959.3895195038649,38,76,44,10,existing,758.3256036735837,38,76,44,260,allocated,447.14941748781877,38,82,44,419,existing,1818.6780060337837,38,81,44,27,existing,2594.0228742220543
39,39,76,45,106,existing,1175.0401365874116,39,76,45,10,existing,890.2057500876836,39,76,45,260,allocated,284.7547065906621,39,82,45,419,existing,1950.5581524478837,39,81,45,27,existing,2725.903020636154
40,40,76,46,106,existing,1032.250356412874,40,76,46,10,existing,724.5840482373955,40,76,46,249,allocated,160.61694862168486,40,82,46,419,existing,1784.9364505975957,40,81,46,27,existing,2560.2813187858665
41,41,79,47,256,existing,1067.9952751267674,41,79,47,311,existing,383.170274123382,41,79,47,311,allocated,383.170274123382,41,82,47,419,existing,1154.9571370069448,41,81,47,27,existing,2487.203137985471
42,42,79,48,256,existing,996.1333293192256,42,79,48,189,existing,503.0113494888277,42,79,48,319,allocated,314.41373796726384,42,82,48,419,existing,1280.6349519024543,42,81,48,27,existing,2415.3411921779298
43,43,80,50,284,existing,549.961309969905,43,80,50,401,existing,256.2458070093133,43,80,50,50,allocated,0.0,43,82,50,419,existing,891.4504008743748,43,81,50,27,existing,1616.9449314223664
44,44,79,51,256,existing,676.8124026004772,44,79,51,311,existing,525.619188429927,44,79,51,311,allocated,525.619188429927,44,82,51,419,existing,961.3140251837061,44,81,51,27,existing,2096.020265459181
45,45,79,52,256,existing,688.6692366536597,45,79,52,311,existing,537.4760224831095,45,79,52,319,existing,532.6031005525141,45,82,52,419,existing,973.1708592368886,45,81,52,27,existing,2107.8770995123637
46,46,77,53,368,existing,187.13168114936386,46,77,53,277,existing,541.8408465144694,46,77,53,368,existing,187.13168114936386,46,82,53,419,existing,380.2501362858309,46,81,53,27,existing,1378.8658874662592
47,47,78,55,419,existing,605.1838672338048,47,78,55,311,existing,815.8365608150449,47,78,55,56,allocated,316.0573741420875,47,82,55,419,existing,605.1838672338048,47,81,55,27,existing,1840.1493400562777
48,48,78,56,419,existing,483.9845512040095,48,78,56,277,existing,920.629221734396,48,78,56,56,allocated,0.0,48,82,56,419,existing,483.9845512040095,48,81,56,27,existing,1718.9500240264822
49,49,78,58,419,existing,640.3438217355917,49,78,58,277,existing,1076.988492265978,49,78,58,58,allocated,0.0,49,82,58,419,existing,640.3438217355917,49,81,58,27,existing,1875.3092945580643
50,50,78,61,419,existing,655.6269288028049,50,78,61,277,existing,1092.2715993331913,50,78,61,61,allocated,0.0,50,82,61,419,existing,655.6269288028049,50,81,61,27,existing,1890.5924016252775
51,51,78,62,419,existing,688.0793815006436,51,78,62,277,existing,1124.72405203103,51,78,62,61,allocated,32.452452697838815,51,82,62,419,existing,688.0793815006436,51,81,62,27,existing,1923.0448543231164
52,52,78,63,419,existing,745.5892376457655,52,78,63,311,existing,717.5526330287215,52,78,63,56,allocated,456.4627445540482,52,82,63,419,existing,745.5892376457655,52,81,63,27,existing,1980.5547104682382
53,53,78,64,419,existing,814.1372669497916,53,78,64,311,existing,596.924638333351,53,78,64,7,allocated,409.7182247810041,53,82,64,419,existing,814.1372669497916,53,81,64,27,existing,2091.4058464620016
54,54,76,65,106,existing,179.5627369029954,54,76,65,401,existing,752.9096806692547,54,76,65,149,existing,95.43960915525851,54,82,65,419,existing,1336.589774890824,54,81,65,27,existing,2111.9346430790947
55,55,76,66,106,existing,279.893920491267,55,76,66,401,existing,648.608984235411,55,76,66,168,allocated,105.55650647639412,55,82,66,419,existing,1232.2890784569802,55,81,66,27,existing,2007.633946645251
56,56,79,67,256,existing,846.5867651458366,56,79,67,10,existing,105.17829171143403,56,79,67,91,allocated,349.3779713494301,56,82,67,419,existing,1381.3756400644736,56,81,67,27,existing,2156.7205082527444
57,57,74,68,252,existing,444.92486470077256,57,74,68,157,existing,321.11615385674554,57,74,68,68,allocated,0.0,57,82,68,419,existing,1516.127993998634,57,81,68,27,existing,1642.5741516588919
58,58,74,69,252,existing,500.3459745971361,58,74,69,157,existing,376.5372637531091,58,74,69,69,allocated,0.0,58,82,69,419,existing,1571.5491038949976,58,81,69,27,existing,1697.9952615552552
59,59,79,70,256,existing,1190.8603879788548,59,79,70,10,existing,603.4688160170273,59,79,70,249,allocated,324.3159539071346,59,82,70,419,existing,1778.9084150547067,59,81,70,27,existing,2566.4493553455386
60,60,79,71,256,existing,1115.7216685902747,60,79,71,10,existing,528.3300966284471,60,79,71,249,allocated,249.17723451855446,60,82,71,419,existing,1703.7696956661266,60,81,71,27,existing,2491.3106359569583
61,61,80,72,284,existing,219.36593643801237,61,80,72,401,existing,441.4461557282871,61,80,72,161,allocated,7.8703538420634604,61,82,72,419,existing,560.8550273424822,61,81,72,27,existing,1336.1998955307529
62,62,78,73,419,existing,614.0127374555613,62,78,73,311,existing,231.69669446212947,62,78,73,7,allocated,209.5936952867737,62,82,73,419,existing,614.0127374555613,62,81,73,27,existing,2091.155691304753
63,63,78,74,419,existing,577.0514529384973,63,78,74,311,existing,194.73540994506556,63,78,74,7,allocated,172.6324107697098,63,82,74,419,existing,577.0514529384973,63,81,74,27,existing,2054.1944067876893
64,64,74,75,252,existing,547.325896579707,64,74,75,157,existing,221.2784007396524,64,74,75,75,allocated,0.0,64,82,75,419,existing,1256.3549109361325,64,81,75,27,existing,1542.7363985417987
65,65,74,76,252,existing,333.03058788828747,65,74,76,401,existing,353.3404998531375,65,74,76,76,allocated,0.0,65,82,76,419,existing,1042.059602244713,65,81,76,27,existing,1714.0396242661905
66,66,78,85,419,existing,859.6794205362112,66,78,85,189,existing,355.3259202922794,66,78,85,153,allocated,317.64862665083064,66,82,85,419,existing,859.6794205362112,66,81,85,27,existing,2306.5468809065096
67,67,78,86,419,existing,920.2217789086405,67,78,86,189,existing,270.3588142842255,67,78,86,229,allocated,322.12197880459,67,82,86,419,existing,920.2217789086405,67,81,86,27,existing,2367.089239278939
68,68,80,87,284,existing,1050.3156994201395,68,80,87,157,existing,501.0777812263344,68,80,87,98,allocated,348.327013454292,68,81,87,27,existing,937.4847228910829,68,82,87,419,existing,1385.883009323558
69,69,80,88,284,existing,1067.9410440231295,69,80,88,157,existing,518.7031258293244,69,80,88,98,allocated,365.952358057282,69,81,88,27,existing,955.110067494073,69,82,88,419,existing,1403.5083539265481
70,70,80,89,284,existing,504.0210518267026,70,80,89,401,existing,156.79104033959692,70,80,89,210,allocated,31.218044150951727,70,82,89,419,existing,845.5101427311724,70,81,89,27,existing,1517.49016475265
71,71,76,91,106,existing,791.0023288286526,71,76,91,10,existing,244.19967963799604,71,76,91,91,allocated,0.0,71,82,91,419,existing,1306.8221713588991,71,81,91,27,existing,2082.1670395471697
72,72,74,92,252,existing,954.6018049064951,72,74,92,157,existing,190.70160534156884,72,74,92,157,allocated,190.70160534156884,72,81,92,27,existing,1137.9945847957206,72,82,92,419,existing,1379.6604063731365
73,73,74,93,252,existing,892.4605446647656,73,74,93,157,existing,126.41952610724746,73,74,93,157,allocated,126.41952610724746,73,81,93,27,existing,1202.276664030042,73,82,93,419,existing,1321.431366249136
74,74,74,95,252,existing,1042.254934007398,74,74,95,157,existing,554.4719621775812,74,74,95,75,allocated,502.11167709217904,74,81,95,27,existing,1042.401149792431,74,82,95,419,existing,1743.1403005561651
75,75,74,96,252,existing,818.8528714902639,75,74,96,157,existing,326.45053875780013,75,74,96,75,allocated,274.09025367239803,75,81,96,27,existing,1270.422573212212,75,82,96,419,existing,1515.4093397893678
76,76,80,97,284,existing,888.3972138349744,76,80,97,157,existing,339.15929564116936,76,80,97,98,allocated,186.40852786912697,76,81,97,27,existing,982.2987021609767,76,82,97,419,existing,1223.964523738393
77,77,80,98,284,existing,706.6937624664276,77,80,98,157,existing,152.75076777204242,77,80,98,98,allocated,0.0,77,82,98,419,existing,1042.2610723698463,77,81,98,27,existing,1168.7072300301038
78,78,74,99,252,existing,628.3666965531797,78,74,99,157,existing,137.67432200433836,78,74,99,75,allocated,83.60407873531405,78,82,99,419,existing,1332.686162146227,78,81,99,27,existing,1459.1323198064847
79,79,76,100,106,existing,377.9815017199338,79,76,100,10,existing,657.2205067467148,79,76,100,168,allocated,203.64408770506094,79,82,100,419,existing,1330.376659685647,79,81,100,27,existing,2105.7215278739177
80,80,76,101,106,existing,475.2149903415957,80,76,101,10,existing,559.987018125053,80,76,101,168,allocated,300.87757632672276,80,82,101,419,existing,1427.6101483073087,80,81,101,27,existing,2202.9550164955795
81,81,77,102,368,existing,910.3640199745621,81,77,102,277,existing,397.8060226683384,81,77,102,77,allocated,173.69833229765777,81,81,102,27,existing,786.6156828787668,81,82,102,419,existing,1103.482475111029
82,82,77,103,368,existing,923.7157161523672,82,77,103,277,existing,411.1577188461435,82,77,103,77,allocated,188.71675276557008,82,81,103,27,existing,801.6341033466792,82,82,103,419,existing,1116.834171288834
83,83,79,104,256,existing,480.7575609370368,83,79,104,10,existing,260.6509124973657,83,79,104,319,existing,388.11983929396587,83,82,104,419,existing,1068.805588012889,83,81,104,27,existing,1856.3465283037208
84,84,79,105,256,existing,586.499227547891,84,79,105,10,existing,366.3925791082198,84,79,105,319,existing,288.206771545041,84,82,105,419,existing,1174.547254623743,84,81,105,27,existing,1962.0881949145748
