,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant
0,0,77,0,368,existing,71.24366018691816,0,77,0,277,existing,529.6016990301786,0,53,0,284,allocated,140.0724965470182,0,82,0,419,existing,264.3621153233852,0,1,0,23,allocated,884.7995130491564,0,4,0,50,allocated,682.4560897130073,0,81,0,27,existing,1243.8541212673547
1,1,77,1,368,existing,50.79959502001224,1,77,1,277,existing,509.1576338632727,1,53,1,284,allocated,151.2854327614213,1,82,1,419,existing,243.91805015647924,1,1,1,23,allocated,896.5187125589546,1,4,1,50,allocated,701.2467427313263,1,81,1,27,existing,1264.2981864342607
2,2,74,2,252,existing,327.02856094049116,2,74,2,197,allocated,266.8200376187725,2,4,2,50,allocated,895.2417492226791,2,1,2,23,allocated,1034.235930355947,2,82,2,419,existing,1634.0242977589155,2,53,2,284,allocated,1298.456987855497,2,81,2,27,existing,1760.470455419173
3,3,74,3,252,existing,402.61499854527295,3,74,3,197,allocated,342.40647522355437,3,4,3,50,allocated,819.6553116178973,3,1,3,23,allocated,1066.4517810890177,3,82,3,419,existing,1558.437860154134,3,53,3,284,allocated,1222.8705502507153,3,81,3,27,existing,1684.8840178143914
4,4,25,4,145,allocated,999.7642205988525,4,25,4,157,existing,687.6106177873564,4,81,4,27,existing,909.2624941826556,4,4,4,50,allocated,1145.5498675766307,4,1,4,23,allocated,1392.3463370477514,4,53,4,284,allocated,1540.711646262522,4,82,4,419,existing,1876.2789561659404
5,5,25,5,145,allocated,711.3438362897821,5,25,5,157,existing,703.8439898614644,5,81,5,27,existing,619.2293047283233,5,4,5,50,allocated,999.3309234816846,5,53,5,284,allocated,1252.2912619534516,5,1,5,23,allocated,1246.1273929528052,5,82,5,419,existing,1587.8585718568702
6,6,77,6,368,existing,129.88931025054868,6,77,6,277,existing,588.2473490938091,6,53,6,284,allocated,198.71814661064872,6,82,6,419,existing,323.00776538701564,6,4,6,50,allocated,741.1017397766378,6,1,6,23,allocated,943.445163112787,6,81,6,27,existing,1197.8167803518375
7,7,14,9,91,allocated,149.92746405440968,7,14,9,10,existing,94.27221558358637,7,1,9,23,allocated,538.9780849017299,7,4,9,50,allocated,623.4908560546653,7,82,9,419,existing,1181.9251327694533,7,53,9,284,allocated,840.4360418649833,7,81,9,27,existing,1957.2700009577238
8,8,14,10,91,allocated,244.19967963799604,8,14,10,10,existing,0.0,8,1,10,23,allocated,633.2503004853162,8,4,10,50,allocated,717.7630716382516,8,82,10,419,existing,1276.1973483530396,8,53,10,284,allocated,934.7082574485698,8,81,10,27,existing,2051.54221654131
9,9,41,11,229,allocated,535.9912322240114,9,41,11,311,existing,485.2150836211471,9,53,11,284,allocated,882.9672339630796,9,82,11,419,existing,920.9099203749262,9,1,11,23,allocated,1215.005112201677,9,4,11,50,allocated,1299.5178833546126,9,81,11,27,existing,2055.616160650401
