,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant
0,0,37,0,131,existing,350.15594653835404,0,37,0,0,allocated,0.0,0,37,0,0,allocated,0.0,0,40,0,94,existing,315.01829307521837,0,39,0,68,existing,491.3479162507471,0,38,0,90,existing,650.7453718372628,0,11,0,66,allocated,525.4109265068405,0,4,0,35,allocated,699.2003883158595,0,10,0,62,allocated,904.7542539255044
1,1,37,1,131,existing,336.3945110536635,1,37,1,0,allocated,13.761435484690539,1,37,1,0,allocated,13.761435484690539,1,40,1,94,existing,301.25685759052783,1,39,1,68,existing,497.65831929252397,1,11,1,66,allocated,511.64949102214996,1,38,1,90,existing,664.5068073219534,1,10,1,62,allocated,892.3532339714038,1,4,1,35,allocated,685.438952831169
2,2,8,5,58,allocated,60.021294410189725,2,8,5,153,allocated,262.29507933373566,2,8,5,58,allocated,60.021294410189725,2,4,5,35,allocated,279.629281268243,2,10,5,62,allocated,336.5962606923659,2,40,5,94,existing,396.5220476405496,2,11,5,66,allocated,360.4501179156643,2,39,5,68,existing,549.3526384396578,2,38,5,90,existing,880.7561511872399
3,3,8,8,58,allocated,98.1523696439142,3,8,8,153,allocated,281.9373506650398,3,8,8,59,allocated,59.62426227454353,3,4,8,35,allocated,297.6955440355559,3,10,8,62,allocated,374.72733592609035,3,40,8,94,existing,437.74229730319973,3,11,8,66,allocated,401.6703675783144,3,39,8,68,existing,590.5728881023078,3,38,8,90,existing,921.9764008498901
4,4,1,9,3,allocated,115.99397327446682,4,1,9,153,allocated,185.87030880081105,4,1,9,194,allocated,77.01978137480435,4,4,9,35,allocated,201.6285021713271,4,10,9,62,allocated,470.79437779031906,4,11,9,66,allocated,497.7374094425432,4,40,9,94,existing,533.8093391674286,4,39,9,68,existing,686.6399299665367,4,38,9,90,existing,1018.0434427141188
5,5,1,15,3,allocated,85.18057754025426,5,1,15,153,allocated,186.63282350305195,5,1,15,3,allocated,85.18057754025426,5,4,15,35,allocated,169.2986215685446,5,40,15,94,existing,567.2091649566632,5,10,15,62,allocated,581.7319787696294,5,11,15,66,allocated,609.9804927210137,5,38,15,90,existing,1120.6289990329344,5,39,15,68,existing,780.4972045809186
6,6,8,18,58,allocated,32.629422547857516,6,8,18,153,allocated,354.9457962917829,6,8,18,58,allocated,32.629422547857516,6,10,18,62,allocated,243.94554373431862,6,4,18,35,allocated,372.2799982262903,6,40,18,94,existing,489.17276459859687,6,11,18,66,allocated,453.10083487371156,6,39,18,68,existing,642.003355397705,6,38,18,90,existing,963.015169431923
7,7,8,19,58,allocated,128.61146961759098,7,8,19,153,allocated,315.43161348791796,7,8,19,99,allocated,34.608303756460614,7,4,19,35,allocated,331.189806858434,7,10,19,62,allocated,339.9275908040521,7,40,19,94,existing,585.1548116683302,7,11,19,66,allocated,549.082881943445,7,39,19,68,existing,737.9854024674385,7,38,19,90,existing,1058.9972165016566
8,8,25,25,162,allocated,132.82925102011956,8,25,25,66,existing,261.47101235856803,8,25,25,22,existing,73.96817895967682,8,39,25,68,existing,34.739304585730494,8,40,25,94,existing,247.40641494307306,8,11,25,66,allocated,261.47101235856803,8,38,25,90,existing,306.8649586545454,8,4,25,35,allocated,645.3169583311917,8,10,25,62,allocated,448.14564226048776
9,9,36,40,51,existing,243.42810248251487,9,36,40,66,existing,91.28868229598069,9,36,40,66,allocated,91.28868229598069,9,11,40,66,allocated,91.28868229598069,9,40,40,94,existing,135.6693056662384,9,39,40,68,existing,209.06336255707504,9,10,40,62,allocated,471.9924252452346,9,4,40,35,allocated,532.5927077289087,9,38,40,90,existing,549.4803272558759
