,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare
0,0,49,0,23,existing,65.18764880092692,0,49,0,228,existing,106.77816425334652,0,49,0,199,existing,459.88515988373547,0,49,0,242,existing,978.1097396126299
1,1,49,1,23,existing,228.79179361612992,1,49,1,228,existing,266.60773199442554,1,49,1,249,existing,488.0465511550352,1,49,1,242,existing,814.5055947974269
2,2,43,2,168,existing,268.312438913514,2,43,2,242,existing,248.2932743583096,2,43,2,249,existing,153.76563550624087,2,43,2,242,existing,248.2932743583096
3,3,43,3,168,existing,178.0876593298326,3,43,3,242,existing,158.06849477462822,3,43,3,249,existing,241.51305935842703,3,43,3,242,existing,158.06849477462822
4,4,48,4,176,existing,380.87228692813176,4,48,4,259,existing,38.0424836769589,4,48,4,249,existing,274.1877751968055,4,48,4,242,existing,567.5068223915994
5,5,53,5,155,existing,300.91491096770983,5,53,5,259,existing,143.83553422560158,5,53,5,249,existing,168.3947246481628,5,53,5,242,existing,461.7137718429567
6,6,52,6,186,existing,245.83470075765578,6,52,6,161,existing,222.05161082012614,6,52,6,202,existing,110.2078552691563,6,52,6,30,existing,480.32869679387744
7,7,52,7,186,existing,294.02620410818344,7,52,7,161,existing,270.2431141706538,7,52,7,202,existing,158.39935861968394,7,52,7,30,existing,528.5202001444051
8,8,44,10,150,existing,178.31774811916725,8,44,10,44,existing,281.4710750212884,8,44,10,202,existing,771.0590654441219,8,44,10,30,existing,196.30192505620593
9,9,44,11,150,existing,194.26957725028484,9,44,11,44,existing,211.31551493880698,9,44,11,202,existing,716.6829170367582,9,44,11,30,existing,126.14636497372453
10,10,52,12,186,existing,123.76920944595821,10,52,12,13,existing,64.50939876779275,10,52,12,202,existing,432.24558559771106,10,52,12,242,existing,235.37302407487775
11,11,52,13,186,existing,59.259810678165465,11,52,13,13,existing,0.0,11,52,13,202,existing,367.7361868299183,11,52,13,242,existing,299.88242284267045
12,12,42,16,15,existing,47.741251867597576,12,42,16,15,existing,47.741251867597576,12,42,16,249,existing,472.2072648132628,12,42,16,242,existing,146.84126550848487
13,13,44,17,150,existing,739.8912440143913,13,44,17,44,existing,843.0445709165124,13,44,17,249,existing,1167.6499168755195,13,44,17,30,existing,757.87542095143
14,14,44,18,150,existing,791.2443647670195,14,44,18,44,existing,894.3976916691407,14,44,18,249,existing,1219.003037628148,14,44,18,30,existing,809.2285417040582
15,15,46,19,55,existing,286.9687755699156,15,46,19,54,existing,304.13677553608176,15,46,19,57,existing,692.8843793767653,15,46,19,30,existing,1318.131466822619
16,16,46,20,55,existing,432.88390544160904,16,46,20,54,existing,450.0519054077752,16,46,20,57,existing,838.7995092484589,16,46,20,30,existing,1172.2163369509256
17,17,46,21,55,existing,476.2736010051709,17,46,21,54,existing,493.4416009713371,17,46,21,57,existing,563.079328285051,17,46,21,30,existing,868.0255585080606
18,18,46,22,55,existing,615.0761055933485,18,46,22,54,existing,632.2441055595148,18,46,22,57,existing,701.8818328732286,18,46,22,30,existing,928.7646492368356
19,19,49,23,23,existing,0.0,19,49,23,228,existing,171.96581305427344,19,49,23,199,existing,525.0728086846624,19,49,23,242,existing,1043.2973884135567
20,20,54,24,47,existing,143.42731054671813,20,54,24,13,existing,106.576337438193,20,54,24,202,existing,380.3364236108649,20,54,24,242,existing,277.97171905815964
21,21,54,25,47,existing,236.71829333392517,21,54,25,13,existing,228.04999817881418,21,54,25,202,existing,258.8627628702437,21,54,25,242,existing,399.44537979878083
22,22,57,26,82,existing,215.20071663722695,22,57,26,161,existing,390.23513682169005,22,57,26,249,existing,304.44511750697274,22,57,26,242,existing,400.8982808089805
