,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant,8_assign_from_var_id_restaurant,8_assign_to_var_id_restaurant,8_assign_from_node_id_restaurant,8_assign_to_node_id_restaurant,8_assign_type_restaurant,8_dist_restaurant
0,0,67,2,584,existing,554.629878698989,0,67,2,353,existing,668.9798975886247,0,70,2,101,existing,840.4546881066937,0,21,2,332,allocated,968.9241396734446,0,72,2,12,existing,1470.3765544512485,0,74,2,308,existing,1488.3301537348011,0,73,2,498,existing,2005.3595643331466,0,17,2,314,allocated,1916.9578064355997,0,69,2,331,existing,1494.3653934106064,0,71,2,164,existing,1551.5087878432382,0,49,2,687,allocated,2050.716524383748
1,1,66,4,570,existing,493.6301258043151,1,66,4,327,existing,730.6540047685332,1,21,4,332,allocated,465.5017365133655,1,71,4,164,existing,891.9139523877161,1,72,4,12,existing,971.5133276671282,1,69,4,331,existing,912.4323791961256,1,70,4,101,existing,1470.276487132695,1,74,4,308,existing,988.2112697033399,1,17,4,314,allocated,1137.6924482652507,1,49,4,687,allocated,1271.4511662133991,1,73,4,498,existing,1505.2406803016852
2,2,66,5,570,existing,524.5529320935628,2,66,5,327,existing,701.600473692277,2,21,5,332,allocated,496.4245428026132,2,69,5,331,existing,881.5095729068778,2,71,5,164,existing,922.8367586769639,2,72,5,12,existing,1002.436133956376,2,74,5,308,existing,1019.1340759925877,2,70,5,101,existing,1501.1992934219427,2,17,5,314,allocated,1106.769641976003,2,49,5,687,allocated,1240.5283599241513,2,73,5,498,existing,1536.163486590933
3,3,68,11,642,existing,651.2902200781691,3,68,11,276,existing,548.3089256339244,3,70,11,101,existing,968.4278483795615,3,21,11,332,allocated,1081.1544518487701,3,69,11,331,existing,1537.4794397757512,3,72,11,12,existing,1587.166043002533,3,74,11,308,existing,1605.1196422860855,3,17,11,314,allocated,2029.1881186109254,3,71,11,164,existing,1668.2982763945229,3,73,11,498,existing,2122.1490528844306,3,49,11,687,allocated,2162.9468365590737
4,4,54,16,419,existing,426.8144316223465,4,54,16,498,allocated,628.2326569992028,4,71,16,164,existing,286.5682940553802,4,74,16,308,existing,351.7849460662956,4,72,16,12,existing,367.70052744737,4,73,16,498,existing,628.2326569992028,4,17,16,314,allocated,1159.165351981833,4,21,16,332,allocated,873.7121186011327,4,70,16,101,existing,1485.4429557221358,4,49,16,687,allocated,1080.8713174306129,4,69,16,331,existing,1596.2115790681955
5,5,57,17,498,existing,508.23484586151517,5,57,17,498,allocated,508.23484586151517,5,71,17,164,existing,406.5661051930679,5,74,17,308,existing,471.78275720398335,5,73,17,498,existing,508.23484586151517,5,72,17,12,existing,487.69833858505774,5,70,17,101,existing,1605.4407668598235,5,21,17,332,allocated,993.7099297388205,5,49,17,687,allocated,960.8735062929252,5,17,17,314,allocated,1073.0341227016304,5,69,17,331,existing,1716.2093902058832
6,6,61,18,162,existing,555.0564046138884,6,61,18,568,existing,259.1874363556987,6,49,18,687,allocated,530.690310031273,6,17,18,314,allocated,664.4490279794213,6,71,18,164,existing,824.6713826298767,6,74,18,308,existing,889.8880346407921,6,21,18,332,allocated,1205.8800391602974,6,72,18,12,existing,905.8036160218664,6,73,18,498,existing,1182.4482407472772,6,69,18,331,existing,1428.964689649739,6,70,18,101,existing,1851.8096361725861
7,7,61,19,162,existing,502.7759038358338,7,61,19,568,existing,206.9069355776441,7,49,19,687,allocated,478.40980925321844,7,17,19,314,allocated,612.1685272013667,7,74,19,308,existing,837.6075338627375,7,71,19,164,existing,772.3908818518221,7,72,19,12,existing,853.5231152438118,7,21,19,332,allocated,1153.5995383822428,7,73,19,498,existing,1130.1677399692226,7,69,19,331,existing,1376.6841888716845,7,70,19,101,existing,1799.5291353945317
8,8,46,20,611,allocated,493.1692789281422,8,46,20,529,existing,628.9463957738208,8,73,20,498,existing,1345.2011953986676,8,74,20,308,existing,1862.230605997013,8,49,20,687,allocated,1890.7378325498887,8,72,20,12,existing,1880.1842052805657,8,69,20,331,existing,2789.012212168355,8,71,20,164,existing,1961.3164386725555,8,17,20,314,allocated,2024.496550498037,8,21,20,332,allocated,2386.1957964343283,8,70,20,101,existing,2997.9266335553316
9,9,46,21,611,allocated,612.111879766715,9,46,21,529,existing,747.8889966123936,9,73,21,498,existing,1464.1437962372404,9,74,21,308,existing,1981.173206835586,9,49,21,687,allocated,2009.6804333884616,9,72,21,12,existing,1999.1268061191386,9,69,21,331,existing,2907.9548130069275,9,71,21,164,existing,2080.2590395111283,9,17,21,314,allocated,2143.43915133661,9,21,21,332,allocated,2505.138397272901,9,70,21,101,existing,3116.869234393904
