,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school
0,0,0,0,0,allocated,0.0,0,0,0,94,existing,315.01829307521837,0,0,0,104,allocated,152.06228823190662
1,1,0,1,0,allocated,13.761435484690539,1,0,1,94,existing,301.25685759052783,1,0,1,104,allocated,138.30085274721608
2,2,8,5,58,allocated,60.021294410189725,2,8,5,58,allocated,60.021294410189725,2,8,5,59,allocated,98.54940177956038
3,3,8,8,58,allocated,98.1523696439142,3,8,8,58,allocated,98.1523696439142,3,8,8,59,allocated,59.62426227454353
4,4,30,9,194,allocated,77.01978137480435,4,30,9,3,allocated,115.99397327446682,4,30,9,59,allocated,155.69130413877227
5,5,4,15,35,allocated,169.2986215685446,5,4,15,3,allocated,85.18057754025426,5,4,15,160,allocated,188.17649328332854
6,6,8,18,58,allocated,32.629422547857516,6,8,18,58,allocated,32.629422547857516,6,8,18,59,allocated,71.15752991722817
7,7,8,19,58,allocated,128.61146961759098,7,8,19,58,allocated,128.61146961759098,7,8,19,59,allocated,93.68901705504618
8,8,5,25,43,allocated,161.96117060244734,8,5,25,68,existing,34.739304585730494,8,5,25,162,allocated,132.82925102011956
9,9,11,40,66,allocated,91.28868229598069,9,11,40,94,existing,135.6693056662384,9,11,40,66,existing,91.28868229598069
10,10,36,41,51,existing,164.7750644120543,10,36,41,94,existing,57.016267595777805,10,36,41,66,existing,169.9417203664413
11,11,5,43,43,allocated,0.0,11,5,43,141,allocated,15.795881946449251,11,5,43,162,allocated,31.027738270034614
12,12,34,48,77,existing,80.58698939001877,12,34,48,81,allocated,147.96930758561834,12,34,48,49,allocated,40.00676653332515
13,13,34,49,77,existing,120.59375592334392,13,34,49,81,allocated,187.97607411894347,13,34,49,49,allocated,0.0
14,14,36,50,51,existing,90.43499242060011,14,36,50,94,existing,17.52085051631375,14,36,50,104,allocated,145.43515432699797
15,15,31,53,134,existing,128.0118479189468,15,31,53,62,allocated,114.20832573831731,15,31,53,185,allocated,165.75369723132206
16,16,31,54,134,existing,176.2963468554048,16,31,54,62,allocated,67.25738150148369,16,31,54,185,allocated,208.12104276647486
17,17,8,58,58,allocated,0.0,17,8,58,58,allocated,0.0,17,8,58,59,allocated,38.528107369370666
18,18,32,60,72,existing,144.89845612901874,18,32,60,56,allocated,129.80996347940476,18,32,60,185,allocated,221.52283641555303
19,19,33,64,136,existing,202.32823367639867,19,33,64,68,existing,196.48936053604513,19,33,64,71,allocated,128.84917996828986
20,20,5,67,43,allocated,125.65120957809057,20,5,67,141,allocated,138.23659461179383,20,5,67,162,allocated,153.4684509353792
21,21,33,70,136,existing,18.638129480385487,21,33,70,90,existing,89.21652054398437,21,33,70,71,allocated,54.84092422772332
22,22,34,78,77,existing,60.95947266280334,22,34,78,153,allocated,142.92579993377217,22,34,78,49,allocated,181.55322858614727
23,23,33,90,136,existing,70.57839106359889,23,33,90,90,existing,0.0,23,33,90,71,allocated,144.0574447717077
24,24,21,91,149,allocated,69.88237384241742,24,21,91,90,existing,119.66034414244314,24,21,91,162,allocated,178.0531769351852
25,25,11,95,66,allocated,109.48173097888179,25,11,95,94,existing,227.14693240922983,25,11,95,66,existing,109.48173097888179
26,26,4,97,35,allocated,175.12866992548578,26,4,97,3,allocated,160.33299146343828,26,4,97,160,allocated,194.00654164026975
27,27,4,98,35,allocated,218.43547048187338,27,4,98,3,allocated,123.44374305193367,27,4,98,160,allocated,237.31334219665732
28,28,4,106,35,allocated,45.1751887092787,28,4,106,153,allocated,27.84098677477135,28,4,106,160,allocated,160.28942645474064
29,29,31,109,134,existing,136.82642297270698,29,31,109,62,allocated,245.86538832662814,29,31,109,185,allocated,212.56062849514922
30,30,34,113,77,existing,149.2212478238325,30,34,113,94,existing,146.1964326059232,30,34,113,49,allocated,269.81500374717643
31,31,34,115,77,existing,120.04868105601108,31,34,115,94,existing,178.5613331266313,31,34,115,49,allocated,240.642436979355
32,32,8,116,58,allocated,140.24762310428082,32,8,116,58,allocated,140.24762310428082,32,8,116,59,allocated,178.7757304736515
33,33,31,119,134,existing,63.893113879755866,33,31,119,62,allocated,172.932079233677,33,31,119,185,allocated,139.6273194021981
34,34,31,120,134,existing,95.41962219398884,34,31,120,62,allocated,146.80055146327527,34,31,120,185,allocated,171.15382771643107
35,35,31,126,134,existing,64.37982046792791,35,31,126,62,allocated,44.659144885993214,35,31,126,185,allocated,96.20451637899797
36,36,32,127,72,existing,150.29134873360897,36,32,127,56,allocated,77.04586958693596,36,32,127,185,allocated,253.60456280580516
37,37,30,128,194,allocated,76.31167419986694,37,30,128,3,allocated,191.6717895723525,37,30,128,59,allocated,231.36912043665797
38,38,30,130,194,allocated,26.220217860832832,38,30,130,3,allocated,166.79353678843836,38,30,130,59,allocated,206.4908676527438
39,39,37,132,131,existing,71.10359770127997,39,37,132,81,allocated,132.3127969040209,39,37,132,104,allocated,275.5505167269868
40,40,32,137,72,existing,152.7048956771301,40,32,137,90,existing,223.69126547725648,40,32,137,71,allocated,188.54054299581355
41,41,32,138,72,existing,205.72413834724904,41,32,138,90,existing,276.7105081473754,41,32,138,71,allocated,135.52130032569463
42,42,4,143,35,allocated,110.70835874653542,42,4,143,153,allocated,93.37415681202808,42,4,143,160,allocated,225.82259649199736
