,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant
0,0,42,0,342,existing,1089.7741974090652,0,42,0,29,existing,271.590001634348,0,42,0,269,allocated,78.67682830209704,0,46,0,173,existing,1090.7194758142398,0,45,0,517,existing,1916.0784106010042,0,44,0,47,existing,3113.762394120326
1,1,42,2,342,existing,926.7453475547227,1,42,2,67,existing,643.4771492234347,1,42,2,269,allocated,593.2960745885139,1,46,2,173,existing,955.3138333121584,1,45,2,517,existing,1647.1263483071732,1,44,2,47,existing,2978.3567516182447
2,2,42,3,342,existing,1038.9325167478833,2,42,3,67,existing,755.6643184165953,2,42,3,269,allocated,705.4832437816744,2,46,3,173,existing,1067.5010025053189,2,45,3,517,existing,1548.470628266864,2,44,3,47,existing,3090.543920811405
3,3,42,4,342,existing,1039.98539230389,3,42,4,29,existing,617.394775339088,3,42,4,269,allocated,452.0539404342785,3,46,4,173,existing,1040.9306707090645,3,45,4,517,existing,1775.237952936363,3,44,4,47,existing,3063.9735890151505
4,4,42,5,342,existing,934.8689799332528,4,42,5,67,existing,521.8822414004468,4,42,5,269,allocated,468.7003056910715,4,46,5,173,existing,935.8142583384274,4,45,5,517,existing,1670.1215405657258,4,44,5,47,existing,2958.8571766445134
5,5,42,6,342,existing,1166.2288069799633,5,42,6,29,existing,361.1281934693236,5,42,6,269,allocated,168.2150201370726,5,46,6,173,existing,1167.174085385138,5,45,6,517,existing,1992.5330201719023,5,44,6,47,existing,3190.217003691224
6,6,42,7,342,existing,1257.379638549919,6,42,7,29,existing,452.2790250392793,6,42,7,269,allocated,259.36585170702836,6,46,7,173,existing,1258.3249169550936,6,45,7,517,existing,2083.6838517418582,6,44,7,47,existing,3281.3678352611796
7,7,41,8,47,existing,705.5279985866018,7,41,8,137,existing,660.8121003954325,7,41,8,54,allocated,416.0336089849084,7,44,8,47,existing,705.5279985866018,7,46,8,173,existing,1745.7349273860877,7,45,8,517,existing,3546.5335192818393
8,8,41,9,47,existing,657.4143808794645,8,41,9,224,existing,651.9555909890481,8,41,9,54,allocated,464.1472266920457,8,44,9,47,existing,657.4143808794645,8,46,9,173,existing,1793.8485450932249,8,45,9,517,existing,3594.6471369889764
9,9,41,10,47,existing,386.2437322245614,9,41,10,224,existing,380.78494233414517,9,41,10,223,allocated,368.59151798928644,9,44,10,47,existing,386.2437322245614,9,46,10,173,existing,2247.2620893009635,9,45,10,517,existing,4048.060681196715
10,10,41,11,47,existing,485.4440322133697,10,41,11,224,existing,479.98524232295347,10,41,11,223,allocated,467.79181797809474,10,44,11,47,existing,485.4440322133697,10,46,11,173,existing,2346.4623892897716,10,45,11,517,existing,4147.260981185524
11,11,41,12,47,existing,1167.4684932394543,11,41,12,137,existing,336.7831526323841,11,41,12,137,allocated,336.7831526323841,11,44,12,47,existing,1167.4684932394543,11,46,12,173,existing,1668.920864698503,11,45,12,517,existing,3469.7194565942546
12,12,41,13,47,existing,1036.2779925197115,12,41,13,137,existing,205.5926519126412,12,41,13,137,allocated,205.5926519126412,12,44,13,47,existing,1036.2779925197115,12,46,13,173,existing,1800.111365418246,12,45,13,517,existing,3600.9099573139974
13,13,41,15,47,existing,618.8550204983453,13,41,15,224,existing,613.3962306079289,13,41,15,54,allocated,502.7065870731649,13,44,15,47,existing,618.8550204983453,13,46,15,173,existing,1832.407905474344,13,45,15,517,existing,3633.206497370096
