,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant
0,0,22,0,269,allocated,78.67682830209704,0,22,0,29,existing,271.590001634348,0,22,0,269,allocated,78.67682830209704,0,5,0,67,allocated,338.249362547649,0,46,0,173,existing,1090.7194758142398,0,33,0,422,allocated,1206.824826004353,0,45,0,517,existing,1916.0784106010042,0,44,0,47,existing,3113.762394120326,0,3,0,54,allocated,2420.4207942154194
1,1,22,2,269,allocated,593.2960745885139,1,22,2,67,existing,643.4771492234347,1,22,2,269,allocated,593.2960745885139,1,5,2,67,allocated,643.4771492234347,1,46,2,173,existing,955.3138333121584,1,45,2,517,existing,1647.1263483071732,1,33,2,422,allocated,1071.4191835022718,1,3,2,54,allocated,2285.0151517133377,1,44,2,47,existing,2978.3567516182447
2,2,22,3,269,allocated,705.4832437816744,2,22,3,67,existing,755.6643184165953,2,22,3,269,allocated,705.4832437816744,2,5,3,67,allocated,755.6643184165953,2,46,3,173,existing,1067.5010025053189,2,33,3,422,allocated,1183.6063526954324,2,45,3,517,existing,1548.470628266864,2,44,3,47,existing,3090.543920811405,2,3,3,54,allocated,2397.2023209064982
3,3,22,4,269,allocated,452.0539404342785,3,22,4,29,existing,617.394775339088,3,22,4,269,allocated,452.0539404342785,3,5,4,67,allocated,626.9986537710838,3,46,4,173,existing,1040.9306707090645,3,45,4,517,existing,1775.237952936363,3,33,4,422,allocated,1157.0360208991779,3,44,4,47,existing,3063.9735890151505,3,3,4,54,allocated,2370.631989110244
4,4,22,5,269,allocated,468.7003056910715,4,22,5,67,existing,521.8822414004468,4,22,5,269,allocated,468.7003056910715,4,5,5,67,allocated,521.8822414004468,4,46,5,173,existing,935.8142583384274,4,33,5,422,allocated,1051.9196085285407,4,45,5,517,existing,1670.1215405657258,4,44,5,47,existing,2958.8571766445134,4,3,5,54,allocated,2265.515576739607
5,5,22,6,269,allocated,168.2150201370726,5,22,6,29,existing,361.1281934693236,5,22,6,269,allocated,168.2150201370726,5,5,6,67,allocated,414.7039721185472,5,46,6,173,existing,1167.174085385138,5,45,6,517,existing,1992.5330201719023,5,33,6,422,allocated,1283.2794355752512,5,44,6,47,existing,3190.217003691224,5,3,6,54,allocated,2496.8754037863173
6,6,22,7,269,allocated,259.36585170702836,6,22,7,29,existing,452.2790250392793,6,22,7,269,allocated,259.36585170702836,6,5,7,67,allocated,505.8548036885029,6,46,7,173,existing,1258.3249169550936,6,45,7,517,existing,2083.6838517418582,6,33,7,422,allocated,1374.430267145207,6,3,7,54,allocated,2588.026235356273,6,44,7,47,existing,3281.3678352611796
7,7,14,8,138,allocated,585.1217169825532,7,14,8,137,existing,660.8121003954325,7,14,8,54,allocated,416.0336089849084,7,3,8,54,allocated,416.0336089849084,7,44,8,47,existing,705.5279985866018,7,33,8,422,allocated,1629.629577195974,7,46,8,173,existing,1745.7349273860877,7,45,8,517,existing,3546.5335192818393,7,5,8,67,allocated,2589.2566932121445
8,8,14,9,138,allocated,633.2353346896905,8,14,9,224,existing,651.9555909890481,8,14,9,54,allocated,464.1472266920457,8,3,9,54,allocated,464.1472266920457,8,44,9,47,existing,657.4143808794645,8,46,9,173,existing,1793.8485450932249,8,33,9,422,allocated,1677.7431949031113,8,5,9,67,allocated,2637.370310919281,8,45,9,517,existing,3594.6471369889764
9,9,41,10,47,existing,386.2437322245614,9,41,10,224,existing,380.78494233414517,9,41,10,223,allocated,368.59151798928644,9,44,10,47,existing,386.2437322245614,9,3,10,54,allocated,917.560770899784,9,33,10,422,allocated,2131.1567391108497,9,46,10,173,existing,2247.2620893009635,9,5,10,67,allocated,3090.7838551270197,9,45,10,517,existing,4048.060681196715
