,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant,8_assign_from_var_id_restaurant,8_assign_to_var_id_restaurant,8_assign_from_node_id_restaurant,8_assign_to_node_id_restaurant,8_assign_type_restaurant,8_dist_restaurant,9_assign_from_var_id_restaurant,9_assign_to_var_id_restaurant,9_assign_from_node_id_restaurant,9_assign_to_node_id_restaurant,9_assign_type_restaurant,9_dist_restaurant
0,0,92,22,124,existing,58.691359995527684,0,92,22,81,existing,384.1011734318715,0,92,22,22,allocated,0.0,0,6,22,76,allocated,288.90044099014847,0,94,22,94,existing,410.85907152520286,0,95,22,447,existing,487.70003562129676,0,109,22,239,existing,444.03566693219267,0,0,22,20,allocated,951.8023283229502,0,93,22,195,existing,532.5899755381283,0,2,22,54,allocated,733.3022338496894,0,96,22,491,existing,1344.9024260891833,0,98,22,491,existing,1344.9024260891833,0,97,22,491,existing,1344.9024260891833
1,1,92,23,124,existing,280.93748840656406,1,92,23,540,existing,199.92861257906543,1,92,23,196,existing,65.92947700640018,1,93,23,195,existing,310.34384712709203,1,95,23,447,existing,431.7170953728617,1,109,23,239,existing,530.3527230461827,1,6,23,76,allocated,504.60407251377075,1,97,23,491,existing,1122.656297678147,1,100,23,347,existing,1139.901401226316,1,2,23,54,allocated,949.0058653733117,1,94,23,94,existing,633.1051999362392,1,98,23,491,existing,1122.656297678147,1,96,23,491,existing,1122.656297678147
2,2,31,27,231,allocated,570.2590036638021,2,31,27,231,existing,570.2590036638021,2,31,27,418,allocated,80.42552038955023,2,2,27,54,allocated,703.2753904089705,2,94,27,94,existing,708.9049861558025,2,6,27,76,allocated,896.662623900498,2,109,27,239,existing,1063.625608215074,2,96,27,491,existing,2040.9756757010027,2,0,27,20,allocated,1395.6839088114207,2,95,27,447,existing,1107.289976904178,2,93,27,195,existing,1228.6632251499477,2,98,27,491,existing,2040.9756757010027,2,97,27,491,existing,2040.9756757010027
3,3,31,28,231,allocated,589.0561133008453,3,31,28,231,existing,589.0561133008453,3,31,28,418,allocated,61.62841075250718,3,94,28,94,existing,690.1078765187594,3,2,28,54,allocated,722.0725000460134,3,6,28,76,allocated,915.4597335375411,3,109,28,239,existing,1044.828498578031,3,95,28,447,existing,1088.492867267135,3,96,28,491,existing,2022.1785660639596,3,0,28,20,allocated,1414.4810184484638,3,93,28,195,existing,1209.8661155129046,3,98,28,491,existing,2022.1785660639596,3,97,28,491,existing,2022.1785660639596
4,4,90,29,379,existing,616.3801430380493,4,90,29,477,allocated,409.25958682914586,4,90,29,261,allocated,163.34012842697652,4,106,29,379,existing,616.3801430380493,4,107,29,379,existing,616.3801430380493,4,2,29,54,allocated,1673.3312924054928,4,0,29,20,allocated,1287.4159064323242,4,109,29,239,existing,2416.2242684319226,4,94,29,94,existing,2340.074010330192,4,95,29,447,existing,2459.888637121027,4,6,29,76,allocated,1683.2881605095818,4,93,29,195,existing,2498.236080150444,4,97,29,491,existing,3294.634507890317
5,5,90,30,379,existing,532.3067279888535,5,90,30,477,allocated,325.18617177995003,5,90,30,261,allocated,82.702830215691,5,106,30,379,existing,532.3067279888535,5,107,30,379,existing,532.3067279888535,5,2,30,54,allocated,1589.2578773562968,5,0,30,20,allocated,1203.3424913831284,5,109,30,239,existing,2332.150853382727,5,95,30,447,existing,2375.815222071831,5,94,30,94,existing,2256.000595280996,5,6,30,76,allocated,1599.2147454603858,5,93,30,195,existing,2414.1626651012484,5,97,30,491,existing,3210.5610928411206
6,6,31,32,231,allocated,94.36311018125447,6,31,32,231,existing,94.36311018125447,6,31,32,231,allocated,94.36311018125447,6,2,32,54,allocated,806.2229504401785,6,6,32,76,allocated,999.6101839317062,6,109,32,239,existing,1429.402092916064,6,94,32,94,existing,1074.6814708567924,6,93,32,195,existing,1540.1468598548995,6,95,32,447,existing,1473.0664616051681,6,0,32,20,allocated,1498.6314688426287,6,107,32,379,existing,2281.018267692628,6,96,32,491,existing,2344.474310307656,6,106,32,379,existing,2281.018267692628
7,7,89,34,284,existing,97.79513810479105,7,89,34,430,allocated,812.5570374320648,7,89,34,279,allocated,164.18075802488787,7,105,34,71,existing,245.68511789017148,7,104,34,285,existing,563.8187972144993,7,108,34,457,existing,663.2618449716887,7,102,34,457,existing,663.2618449716887,7,100,34,347,existing,981.0506178485913,7,103,34,457,existing,663.2618449716887,7,99,34,347,existing,981.0506178485913,7,101,34,457,existing,663.2618449716887,7,98,34,491,existing,998.2957213967604,7,96,34,491,existing,998.2957213967604
8,8,31,38,231,allocated,601.8300151817455,8,31,38,231,existing,601.8300151817455,8,31,38,418,allocated,48.85450887160701,8,94,38,94,existing,677.3339746378592,8,2,38,54,allocated,734.8464019269136,8,109,38,239,existing,1032.0545966971308,8,6,38,76,allocated,928.2336354184412,8,93,38,195,existing,1197.0922136320046,8,95,38,447,existing,1075.718965386235,8,0,38,20,allocated,1427.2549203293638,8,98,38,491,existing,2009.4046641830596,8,96,38,491,existing,2009.4046641830596,8,97,38,491,existing,2009.4046641830596
9,9,74,39,478,allocated,287.58880686556046,9,74,39,320,existing,203.9211493062041,9,74,39,478,allocated,287.58880686556046,9,2,39,54,allocated,587.9261146783012,9,0,39,20,allocated,758.2453072082585,9,6,39,76,allocated,871.7722310822987,9,107,39,379,existing,1377.1341419710252,9,106,39,379,existing,1377.1341419710252,9,95,39,447,existing,1622.9867000287297,9,94,39,94,existing,1501.8169307764229,9,109,39,239,existing,1579.3223313396256,9,97,39,491,existing,2465.661593510904,9,93,39,195,existing,1661.3341430581472
