,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant,8_assign_from_var_id_restaurant,8_assign_to_var_id_restaurant,8_assign_from_node_id_restaurant,8_assign_to_node_id_restaurant,8_assign_type_restaurant,8_dist_restaurant
0,0,4,2,41,allocated,128.3120688199266,0,4,2,35,existing,235.29705533074252,0,4,2,41,allocated,128.3120688199266,0,3,2,35,allocated,235.29705533074252,0,12,2,126,allocated,476.29570860799566,0,92,2,281,existing,948.7922703560524,0,59,2,291,allocated,752.1026053173086,0,88,2,336,existing,1337.3012593640804,0,93,2,147,existing,1614.4161431729513,0,90,2,241,existing,1642.4445144589822,0,91,2,241,existing,1642.4445144589822,0,89,2,253,existing,2132.0719054188685
1,1,4,3,41,allocated,216.31362385250736,1,4,3,35,existing,323.2986103633233,1,4,3,41,allocated,216.31362385250736,1,3,3,35,allocated,323.2986103633233,1,12,3,126,allocated,482.5405839127493,1,92,3,281,existing,985.654166615293,1,59,3,291,allocated,840.1041603498894,1,93,3,147,existing,1526.4145881403706,1,91,3,241,existing,1554.4429594264016,1,88,3,336,existing,1249.2997043314995,1,90,3,241,existing,1554.4429594264016,1,89,3,253,existing,2044.0703503862874
2,2,58,4,289,allocated,195.1752520017032,2,58,4,289,allocated,195.1752520017032,2,58,4,394,allocated,85.54451229032202,2,92,4,281,existing,467.629982580337,2,59,4,291,allocated,518.0696981464248,2,3,4,35,allocated,1034.875248132991,2,12,4,126,allocated,970.7435652828807,2,93,4,147,existing,2378.0840947469014,2,88,4,336,existing,2100.9692109380303,2,90,4,241,existing,2406.1124660329324,2,91,4,241,existing,2406.1124660329324,2,89,4,253,existing,2895.739856992818
3,3,58,5,289,allocated,126.27369039121169,3,58,5,289,allocated,126.27369039121169,3,58,5,289,allocated,126.27369039121169,3,92,5,281,existing,398.7284209698455,3,59,5,291,allocated,449.16813653593334,3,3,5,35,allocated,965.9736865224995,3,12,5,126,allocated,901.8420036723892,3,91,5,241,existing,2337.2109044224408,3,88,5,336,existing,2032.0676493275391,3,93,5,147,existing,2309.18253313641,3,90,5,241,existing,2337.2109044224408,3,89,5,253,existing,2826.838295382327
4,4,58,6,289,allocated,572.1234325637193,4,58,6,220,existing,375.9941252415341,4,58,6,10,allocated,178.22996111678003,4,59,6,291,allocated,559.3676184589583,4,92,6,281,existing,844.5781631423531,4,3,6,35,allocated,1076.1731684455244,4,12,6,126,allocated,1347.6917458448968,4,88,6,336,existing,2477.9173915000465,4,93,6,147,existing,2755.0322753089176,4,91,6,241,existing,2783.0606465949486,4,90,6,241,existing,2783.0606465949486,4,89,6,253,existing,3272.6880375548344
5,5,58,7,289,allocated,513.0114658329715,5,58,7,220,existing,435.1060919722819,5,58,7,10,allocated,119.11799438603221,5,59,7,291,allocated,618.4795851897061,5,92,7,281,existing,785.4661964116053,5,3,7,35,allocated,1135.2851351762722,5,12,7,126,allocated,1288.579779114149,5,91,7,241,existing,2723.9486798642006,5,90,7,241,existing,2723.9486798642006,5,93,7,147,existing,2695.9203085781696,5,88,7,336,existing,2418.8054247692985,5,89,7,253,existing,3213.5760708240864
6,6,23,8,163,allocated,620.9022257463309,6,23,8,220,existing,242.46364212750254,6,23,8,11,allocated,93.927499731818,6,59,8,291,allocated,425.83713534492676,6,3,8,35,allocated,942.6426853314929,6,12,8,126,allocated,1228.1607091975707,6,92,8,281,existing,978.1086462563846,6,91,8,241,existing,2767.8142101532203,6,93,8,147,existing,2739.7858388671893,6,90,8,241,existing,2767.8142101532203,6,88,8,336,existing,2462.670955058318,6,89,8,253,existing,3257.441601113106
7,7,84,9,353,existing,656.0398630697124,7,84,9,220,existing,567.3586916436742,7,84,9,10,allocated,35.56071904099364,7,59,9,291,allocated,750.7321848610984,7,92,9,281,existing,940.1449098386311,7,3,9,35,allocated,1267.5377348476645,7,12,9,126,allocated,1443.2584925411747,7,88,9,336,existing,2573.4841381963247,7,93,9,147,existing,2850.599022005196,7,90,9,241,existing,2878.627393291227,7,91,9,241,existing,2878.627393291227,7,89,9,253,existing,3368.2547842511126
8,8,58,10,289,allocated,632.1294602190037,8,58,10,220,existing,554.2240863583141,8,58,10,10,allocated,0.0,8,59,10,291,allocated,737.5975795757383,8,92,10,281,existing,904.5841907976375,8,12,10,126,allocated,1407.697773500181,8,3,10,35,allocated,1254.4031295623045,8,90,10,241,existing,2843.066674250233,8,91,10,241,existing,2843.066674250233,8,93,10,147,existing,2815.038302964202,8,88,10,336,existing,2537.923419155331,8,89,10,253,existing,3332.694065210119
9,9,23,11,163,allocated,714.8297254781489,9,23,11,220,existing,336.39114185932056,9,23,11,11,allocated,0.0,9,59,11,291,allocated,519.7646350767448,9,3,11,35,allocated,1036.5701850633109,9,12,11,126,allocated,1322.0882089293887,9,92,11,281,existing,1072.0361459882026,9,93,11,147,existing,2833.7133385990073,9,91,11,241,existing,2861.7417098850383,9,88,11,336,existing,2556.598454790136,9,90,11,241,existing,2861.7417098850383,9,89,11,253,existing,3351.369100844924
