,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant
0,0,20,9,73,allocated,315.9135980012948,0,20,9,130,allocated,506.09632852506786,0,20,9,9,allocated,0.0,0,76,9,41,existing,471.6783082283702,0,39,9,130,allocated,506.09632852506786,0,40,9,131,allocated,697.6758433742874,0,75,9,136,existing,565.4087480930253,0,55,9,183,allocated,1566.4245190141855,0,72,9,160,existing,785.2546359417192,0,74,9,170,existing,720.6534019156661,0,73,9,159,existing,740.1208305168024
1,1,70,10,136,existing,439.7448464831599,1,70,10,130,allocated,631.7602301349333,1,70,10,9,allocated,125.66390160986543,1,75,10,136,existing,439.7448464831599,1,74,10,170,existing,594.9895003058007,1,73,10,159,existing,614.4569289069369,1,76,10,41,existing,597.3422098382357,1,39,10,130,allocated,631.7602301349333,1,72,10,160,existing,659.5907343318538,1,40,10,131,allocated,823.3397449841528,1,55,10,183,allocated,1549.474959054436
2,2,20,14,73,allocated,266.3333489852223,2,20,14,130,allocated,289.324762518245,2,20,14,191,allocated,111.90549628841859,2,76,14,41,existing,183.59928642175367,2,39,14,130,allocated,289.324762518245,2,75,14,136,existing,879.1161222091189,2,40,14,131,allocated,480.90427736746454,2,55,14,183,allocated,1349.6529530073628,2,74,14,170,existing,913.8509951468534,2,73,14,159,existing,901.9140729576213,2,72,14,160,existing,947.0478783825383
3,3,20,16,73,allocated,206.22015716508548,3,20,16,130,allocated,508.88074460804285,3,20,16,114,allocated,142.7570108798461,3,76,16,41,existing,208.19944036932407,3,39,16,130,allocated,508.88074460804285,3,75,16,136,existing,1087.5425032594055,3,40,16,131,allocated,700.4602594572624,3,73,16,159,existing,1121.4700550474192,3,74,16,170,existing,1133.406977236651,3,72,16,160,existing,1166.6038604723362,3,55,16,183,allocated,1569.2089350971605
4,4,20,17,73,allocated,248.64919222387698,4,20,17,130,allocated,466.45170954925135,4,20,17,114,allocated,100.32797582105461,4,76,17,41,existing,165.7704053105326,4,39,17,130,allocated,466.45170954925135,4,40,17,131,allocated,658.0312243984708,4,73,17,159,existing,1079.0410199886278,4,74,17,170,existing,1090.9779421778596,4,55,17,183,allocated,1526.779900038369,4,75,17,136,existing,1129.971538318197,4,72,17,160,existing,1124.1748254135446
5,5,20,41,73,allocated,319.5630025437603,5,20,41,130,allocated,300.6813042387187,5,20,41,114,allocated,65.44242948947799,5,76,41,41,existing,0.0,5,39,41,130,allocated,300.6813042387187,5,73,41,159,existing,913.2706146780952,5,40,41,131,allocated,492.2608190879383,5,55,41,183,allocated,1361.0094947278365,5,72,41,160,existing,958.404420103012,5,74,41,170,existing,925.207536867327,5,75,41,136,existing,1037.0870563213955
6,6,20,42,73,allocated,354.08213696618765,6,20,42,130,allocated,266.1621698162914,6,20,42,47,allocated,60.593974242978476,6,76,42,41,existing,34.519134422427335,6,39,42,130,allocated,266.1621698162914,6,40,42,131,allocated,457.74168466551095,6,73,42,159,existing,878.7514802556677,6,75,42,136,existing,1002.5679218989683,6,55,42,183,allocated,1326.4903603054092,6,72,42,160,existing,923.8852856805847,6,74,42,170,existing,890.6884024448998
7,7,9,52,48,allocated,188.0848772875214,7,9,52,54,existing,491.1118027231047,7,9,52,48,allocated,188.0848772875214,7,40,52,131,allocated,388.02400277145756,7,55,52,183,allocated,480.72467286844073,7,39,52,130,allocated,579.603517620677,7,73,52,159,existing,646.327148658713,7,76,52,41,existing,880.2848218593957,7,72,52,160,existing,691.4609540836298,7,74,52,170,existing,666.6035642875779,7,75,52,136,existing,823.1214264360844
8,8,9,55,48,allocated,172.6724603427208,8,9,55,54,existing,130.35446509286248,8,9,55,55,allocated,0.0,8,55,55,183,allocated,292.9423449800561,8,72,55,160,existing,644.3098272087022,8,74,55,170,existing,709.7200482624842,8,73,55,159,existing,689.4436326336191,8,40,55,131,allocated,748.7813404016997,8,76,55,41,existing,1241.042159489638,8,39,55,130,allocated,940.3608552509193,8,75,55,136,existing,866.2379104109907
9,9,9,57,48,allocated,219.8714619361166,9,9,57,54,existing,211.93322380759932,9,9,57,56,allocated,119.36910172261084,9,55,57,183,allocated,376.03042685221124,9,72,57,160,existing,540.7603417534622,9,73,57,159,existing,585.8941471783791,9,74,57,170,existing,606.1705628072441,9,75,57,136,existing,762.6884249557506,9,40,57,131,allocated,754.9925071171166,9,76,57,41,existing,1247.253326205055,9,39,57,130,allocated,946.5720219663361
10,10,9,58,48,allocated,343.48157591131917,10,9,58,54,existing,162.6535492766759,10,9,58,58,allocated,0.0,10,55,58,183,allocated,463.7514605486545,10,72,58,160,existing,676.6089113925157,10,74,58,170,existing,742.0191324462976,10,73,58,159,existing,721.7427168174327,10,39,58,130,allocated,1082.4205916053897,10,40,58,131,allocated,890.8410767561702,10,76,58,41,existing,1383.1018958441084,10,75,58,136,existing,898.5369945948041
11,11,68,61,226,existing,463.6307268076887,11,68,61,225,existing,143.12157589975396,11,68,61,61,allocated,0.0,11,72,61,160,existing,568.4645795001693,11,73,61,159,existing,613.5983849250861,11,55,61,183,allocated,618.3520081108911,11,74,61,170,existing,633.8748005539512,11,76,61,41,existing,1274.957563951762,11,40,61,131,allocated,782.6967448638237,11,39,61,130,allocated,974.2762597130433,11,75,61,136,existing,790.3926627024578
12,12,70,65,136,existing,469.4793326255207,12,70,65,130,allocated,350.3168656162973,12,70,65,66,allocated,84.56885400345372,12,39,65,130,allocated,350.3168656162973,12,75,65,136,existing,469.4793326255207,12,40,65,131,allocated,541.8963804655169,12,76,65,41,existing,609.3089913478384,12,55,65,183,allocated,1401.2077142279502,12,74,65,170,existing,624.7239864481616,12,73,65,159,existing,644.1914150492978,12,72,65,160,existing,689.3252204742147
13,13,70,66,136,existing,554.0481866289745,13,70,66,130,allocated,265.74801161284364,13,70,66,66,allocated,0.0,13,39,66,130,allocated,265.74801161284364,13,40,66,131,allocated,457.3275264620632,13,76,66,41,existing,524.7401373443847,13,75,66,136,existing,554.0481866289745,13,74,66,170,existing,709.2928404516152,13,55,66,183,allocated,1316.6388602244965,13,72,66,160,existing,773.8940744776684,13,73,66,159,existing,728.7602690527515
14,14,70,67,136,existing,255.27966752451195,14,70,67,192,existing,508.43656250491756,14,70,67,67,allocated,0.0,14,75,67,136,existing,255.27966752451195,14,74,67,170,existing,410.52432134715275,14,72,67,160,existing,475.1255553732059,14,73,67,159,existing,429.991749948289,14,55,67,183,allocated,1365.0097800957883,14,76,67,41,existing,781.8073887968835,14,39,67,130,allocated,522.8495817409093,14,40,67,131,allocated,705.3530705527145
15,15,71,72,170,existing,424.3738649695928,15,71,72,130,allocated,209.47372383664103,15,71,72,131,allocated,17.894208987421475,15,40,72,131,allocated,17.894208987421475,15,39,72,130,allocated,209.47372383664103,15,73,72,159,existing,404.09744934072774,15,74,72,170,existing,424.3738649695928,15,75,72,136,existing,580.8917271180992,15,55,72,183,allocated,850.8544666524767,15,72,72,160,existing,449.2312547656446,15,76,72,41,existing,510.1550280753597
16,16,20,73,73,allocated,0.0,16,20,73,130,allocated,555.6581115034674,16,20,73,73,allocated,0.0,16,76,73,41,existing,319.5630025437603,16,39,73,130,allocated,555.6581115034674,16,75,73,136,existing,881.3223460943201,16,40,73,131,allocated,747.2376263526869,16,55,73,183,allocated,1615.9863019925851,16,73,73,159,existing,1056.0344285180972,16,74,73,170,existing,1036.5669999169609,16,72,73,160,existing,1101.168233943014
17,17,20,74,73,allocated,70.28540225573715,17,20,74,130,allocated,485.3727092477302,17,20,74,73,allocated,70.28540225573715,17,76,74,41,existing,252.91058423092127,17,39,74,130,allocated,485.3727092477302,17,40,74,131,allocated,676.9522240969497,17,75,74,136,existing,811.036943838583,17,74,74,170,existing,966.2815976612238,17,55,74,183,allocated,1545.700899736848,17,72,74,160,existing,1030.8828316872768,17,73,74,159,existing,985.7490262623601
18,18,9,75,48,allocated,266.77244826362323,18,9,75,192,existing,432.3525862016932,18,9,75,48,allocated,266.77244826362323,18,40,75,131,allocated,399.39115539734667,18,55,75,183,allocated,559.4122438445426,18,73,75,159,existing,567.6395776826112,18,74,75,170,existing,587.9159933114761,18,76,75,41,existing,891.6519744852849,18,75,75,136,existing,744.4338554599826,18,39,75,130,allocated,590.9706702465662,18,72,75,160,existing,612.7733831075279
