,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant
0,0,20,0,75,existing,252.66130917974002,0,20,0,141,allocated,448.09623316839793,0,20,0,182,allocated,115.4623816862466,0,16,0,182,allocated,115.4623816862466,0,4,0,58,allocated,200.6280145049371,0,29,0,12,existing,533.3424653390435,0,13,0,142,allocated,413.31045169422674,0,26,0,80,existing,714.2380146116507,0,28,0,79,existing,634.3395520097752,0,27,0,80,existing,714.2380146116507
1,1,19,7,28,existing,62.49551666648289,1,19,7,155,existing,68.50002289145286,1,19,7,81,allocated,53.2132546101546,1,13,7,142,allocated,582.3779180349318,1,4,7,58,allocated,717.215807948506,1,16,7,182,allocated,802.3814407671965,1,29,7,12,existing,1220.9989074127434,1,28,7,79,existing,1321.9959940834751,1,27,7,80,existing,1423.820014177711,1,26,7,80,existing,1423.820014177711
2,2,17,9,127,existing,124.02550310125956,2,17,9,127,allocated,124.02550310125956,2,17,9,127,allocated,124.02550310125956,2,13,9,142,allocated,565.6974075103287,2,4,9,58,allocated,778.3798446996184,2,29,9,12,existing,1508.616351192192,2,16,9,182,allocated,863.5454775183089,2,27,9,80,existing,1666.2678070379795,2,28,9,79,existing,1609.6134378629238,2,26,9,80,existing,1666.2678070379795
3,3,22,15,143,existing,117.23833280234798,3,22,15,113,allocated,533.4802225447603,3,22,15,113,allocated,533.4802225447603,3,4,15,58,allocated,833.3337778951927,3,16,15,182,allocated,918.4994107138832,3,13,15,142,allocated,1046.0162150844822,3,29,15,12,existing,1567.3042577391734,3,28,15,79,existing,1668.3013444099051,3,26,15,80,existing,1585.453391647771,3,27,15,80,existing,1585.453391647771
4,4,22,16,143,existing,210.74548360487594,4,22,16,113,allocated,468.14862640822355,4,22,16,113,allocated,468.14862640822355,4,4,16,58,allocated,768.002181758656,4,16,16,182,allocated,853.1678145773465,4,13,16,142,allocated,980.6846189479455,4,26,16,80,existing,1491.946240845243,4,29,16,12,existing,1501.9726616026367,4,27,16,80,existing,1491.946240845243,4,28,16,79,existing,1593.049819871244
5,5,23,17,79,existing,41.739416498032284,5,23,17,141,allocated,325.5059439712213,5,23,17,79,existing,41.739416498032284,5,28,17,79,existing,41.739416498032284,5,29,17,12,existing,143.28269940038746,5,27,17,80,existing,143.56343659226806,5,26,17,80,existing,143.56343659226806,5,4,17,58,allocated,793.8901668367046,5,13,17,142,allocated,1006.5726040259942,5,16,17,182,allocated,708.7245340180141
6,6,25,19,80,existing,42.154586270377784,6,25,19,141,allocated,223.9871951728749,6,25,19,19,allocated,0.0,6,27,19,80,existing,42.154586270377784,6,26,19,80,existing,42.154586270377784,6,28,19,79,existing,143.97860636461357,6,29,19,12,existing,245.57014556134595,6,13,19,142,allocated,1058.415813257273,6,4,19,58,allocated,845.7333760679834,6,16,19,182,allocated,760.5677432492929
7,7,21,20,185,existing,336.9134397392044,7,21,20,141,allocated,253.8928944401781,7,21,20,141,allocated,253.8928944401781,7,29,20,12,existing,309.3772083792432,7,28,20,79,existing,410.3742950499749,7,16,20,182,allocated,434.43779671136554,7,27,20,80,existing,512.1983151442107,7,13,20,142,allocated,652.2579709745401,7,26,20,80,existing,512.1983151442107,7,4,20,58,allocated,519.603429530056
8,8,23,21,79,existing,249.60892166553964,8,23,21,141,allocated,412.64820180745363,8,23,21,53,allocated,168.6750751762485,8,29,21,12,existing,148.61183499480796,8,28,21,79,existing,249.60892166553964,8,26,21,80,existing,351.4329417597754,8,27,21,80,existing,351.4329417597754,8,13,21,142,allocated,813.0233443589752,8,16,21,182,allocated,593.1931040786411,8,4,21,58,allocated,678.3587368973316
9,9,22,22,143,existing,286.28383029759095,9,22,22,113,allocated,509.7586486114277,9,22,22,113,allocated,509.7586486114277,9,4,22,58,allocated,809.6122039618601,9,16,22,182,allocated,894.7778367805506,9,13,22,142,allocated,1022.2946411511497,9,29,22,12,existing,1543.5826838058408,9,28,22,79,existing,1644.5797704765725,9,27,22,80,existing,1583.9086333226219,9,26,22,80,existing,1583.9086333226219
10,10,22,23,143,existing,137.76436600758745,10,22,23,113,allocated,361.2391843214242,10,22,23,113,allocated,361.2391843214242,10,4,23,58,allocated,661.0927396718566,10,16,23,182,allocated,746.2583724905471,10,29,23,12,existing,1395.0632195158373,10,13,23,142,allocated,873.7751768611462,10,26,23,80,existing,1435.3891690326182,10,28,23,79,existing,1496.060306186569,10,27,23,80,existing,1435.3891690326182
11,11,24,24,25,existing,49.3228677907984,11,24,24,141,allocated,222.25808905313613,11,24,24,25,allocated,49.3228677907984,11,27,24,80,existing,141.59870459009142,11,26,24,80,existing,141.59870459009142,11,28,24,79,existing,243.4227246843272,11,29,24,12,existing,345.01426388105955,11,13,24,142,allocated,1056.6867071375343,11,16,24,182,allocated,758.8386371295542,11,4,24,58,allocated,844.0042699482447
12,12,21,26,185,existing,328.53863892610104,12,21,26,34,existing,334.4285061025644,12,21,26,81,allocated,374.5092486249281,12,13,26,142,allocated,496.6886316919362,12,4,26,58,allocated,577.1911530025253,12,16,26,182,allocated,662.3567858212159,12,29,26,12,existing,806.9574930912316,12,26,26,80,existing,1009.7785998561991,12,28,26,79,existing,907.9545797619633,12,27,26,80,existing,1009.7785998561991
13,13,21,27,185,existing,83.93589697665848,13,21,27,34,existing,89.82576415312188,13,21,27,58,allocated,332.5884110530828,13,4,27,58,allocated,332.5884110530828,13,16,27,182,allocated,417.7540438717733,13,29,27,12,existing,562.3547511417892,13,13,27,142,allocated,434.61906336614743,13,28,27,79,existing,663.3518378125209,13,27,27,80,existing,765.1758579067566,13,26,27,80,existing,765.1758579067566
14,14,19,28,28,existing,0.0,14,19,28,155,existing,108.8209623976636,14,19,28,81,allocated,115.33891215113836,14,13,28,142,allocated,617.4812346720014,14,4,28,58,allocated,756.6773818560343,14,29,28,12,existing,1260.9070073669693,14,16,28,182,allocated,841.8430146747248,14,28,28,79,existing,1361.904094037701,14,26,28,80,existing,1463.7281141319368,14,27,28,80,existing,1463.7281141319368
15,15,19,29,28,existing,95.16960655498036,15,19,29,155,existing,13.65135584268324,15,19,29,81,allocated,20.16930559615799,15,13,29,142,allocated,522.311628117021,15,4,29,58,allocated,661.507775301054,15,16,29,182,allocated,746.6734081197445,15,29,29,12,existing,1165.737400811989,15,27,29,80,existing,1368.5585075769563,15,28,29,79,existing,1266.7344874827206,15,26,29,80,existing,1368.5585075769563
16,16,19,30,28,existing,108.68077700693743,16,19,30,155,existing,21.944903425499177,16,19,30,81,allocated,6.65813514420092,16,13,30,142,allocated,535.822798568978,16,4,30,58,allocated,670.6606884825524,16,16,30,182,allocated,755.8263213012428,16,29,30,12,existing,1174.4437879467898,16,27,30,80,existing,1377.2648947117573,16,28,30,79,existing,1275.4408746175216,16,26,30,80,existing,1377.2648947117573
17,17,20,31,75,existing,160.0328282738009,17,20,31,155,existing,341.0701367774856,17,20,31,142,allocated,179.9137009786584,17,13,31,142,allocated,179.9137009786584,17,4,31,58,allocated,312.05399313930945,17,16,31,182,allocated,397.219625958,17,29,31,12,existing,839.1850826451781,17,26,31,80,existing,1042.0061894101455,17,27,31,80,existing,1042.0061894101455,17,28,31,79,existing,940.1821693159097
18,18,20,32,75,existing,12.963153739371034,18,20,32,34,existing,262.47334797236437,18,20,32,58,allocated,164.9843186048796,18,4,32,58,allocated,164.9843186048796,18,16,32,182,allocated,250.14995142357014,18,13,32,142,allocated,261.97147954690496,18,29,32,12,existing,692.1154081107481,18,27,32,80,existing,894.9365148757156,18,26,32,80,existing,894.9365148757156,18,28,32,79,existing,793.1124947814799
19,19,19,33,28,existing,153.81525779548627,19,19,33,155,existing,72.29700708318914,19,19,33,81,allocated,78.8149568366639,19,13,33,142,allocated,463.66597687651506,19,4,33,58,allocated,602.8621240605481,19,16,33,182,allocated,688.0277568792386,19,29,33,12,existing,1107.0917495714832,19,26,33,80,existing,1309.9128563364507,19,27,33,80,existing,1309.9128563364507,19,28,33,79,existing,1208.088836242215
20,20,20,35,75,existing,299.120174382739,20,20,35,141,allocated,467.57703159317043,20,20,35,182,allocated,69.00351648324758,20,16,35,182,allocated,69.00351648324758,20,4,35,58,allocated,154.1691493019381,20,13,35,142,allocated,366.85158649122775,20,29,35,12,existing,579.8013305420427,20,28,35,79,existing,680.7984172127744,20,26,35,80,existing,733.7188130364232,20,27,35,80,existing,733.7188130364232
21,21,19,36,28,existing,14.086935429871227,21,19,36,155,existing,116.90860412806452,21,19,36,81,allocated,101.62183584676627,21,13,36,142,allocated,630.7864992715433,21,4,36,58,allocated,765.6243891851177,21,16,36,182,allocated,850.7900220038082,21,29,36,12,existing,1269.4074886493552,21,26,36,80,existing,1472.2285954143226,21,27,36,80,existing,1472.2285954143226,21,28,36,79,existing,1370.404575320087
22,22,20,38,75,existing,217.78435610036615,22,20,38,34,existing,380.82094949888494,22,20,38,182,allocated,273.23027388041083,22,16,38,182,allocated,273.23027388041083,22,4,38,58,allocated,358.3959066991014,22,13,38,142,allocated,492.71898938664214,22,29,38,12,existing,461.36789827101086,22,26,38,80,existing,664.1890050359783,22,28,38,79,existing,562.3649849417425,22,27,38,80,existing,664.1890050359783
23,23,15,42,160,allocated,320.2493042310796,23,15,42,141,allocated,141.1140013604135,23,15,42,141,allocated,141.1140013604135,23,16,42,182,allocated,395.46654671600453,23,27,42,80,existing,407.2557828036662,23,26,42,80,existing,407.2557828036662,23,4,42,58,allocated,480.63217953469507,23,13,42,142,allocated,693.3146167239847,23,28,42,79,existing,508.35936182966714,23,29,42,12,existing,608.682981520877
24,24,6,48,70,allocated,266.45221131810354,24,6,48,180,existing,334.23253757106755,24,6,48,70,allocated,266.45221131810354,24,4,48,58,allocated,654.761751258822,24,16,48,182,allocated,739.9273840775124,24,13,48,142,allocated,867.4441884481115,24,27,48,80,existing,1013.8071033795409,24,26,48,80,existing,1013.8071033795409,24,28,48,79,existing,1114.9106824055418,24,29,48,12,existing,1215.2343020967517
25,25,20,50,75,existing,284.86356652278147,25,20,50,155,existing,188.48306362713237,25,20,50,81,allocated,203.76983190843063,25,13,50,142,allocated,325.9492149754388,25,4,50,58,allocated,460.23272142992073,25,29,50,12,existing,964.0158208941585,25,16,50,182,allocated,545.3983542486112,25,27,50,80,existing,1166.836927659126,25,26,50,80,existing,1166.836927659126,25,28,50,79,existing,1065.0129075648902
26,26,17,51,127,existing,100.87828099165115,26,17,51,127,allocated,100.87828099165115,26,17,51,127,allocated,100.87828099165115,26,13,51,142,allocated,544.2058883683578,26,4,51,58,allocated,756.8883255576475,26,29,51,12,existing,1487.1248320502211,26,16,51,182,allocated,842.053958376338,26,26,51,80,existing,1644.7762878960086,26,28,51,79,existing,1588.1219187209529,26,27,51,80,existing,1644.7762878960086
27,27,6,55,70,allocated,465.12186034283377,27,6,55,180,existing,532.9021865957978,27,6,55,70,allocated,465.12186034283377,27,4,55,58,allocated,1013.6578910606461,27,16,55,182,allocated,1098.8235238793366,27,27,55,80,existing,1212.4767524042713,27,26,55,80,existing,1212.4767524042713,27,13,55,142,allocated,1226.3403282499357,27,29,55,12,existing,1413.903951121482,27,28,55,79,existing,1313.580331430272
