,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant
0,0,21,0,96,allocated,404.89538600312585,0,21,0,18,allocated,234.89149196169416,0,21,0,18,allocated,234.89149196169416,0,40,0,74,existing,849.0129306205782,0,16,0,74,allocated,849.0129306205782,0,17,0,81,allocated,996.4884157042025,0,17,0,81,allocated,996.4884157042025
1,1,21,1,96,allocated,378.2169525136709,1,21,1,18,allocated,208.21305847223917,1,21,1,18,allocated,208.21305847223917,1,16,1,74,allocated,729.1735002955584,1,40,1,74,existing,729.1735002955584,1,17,1,81,allocated,1116.3278460292224,1,17,1,81,allocated,1116.3278460292224
2,2,0,2,2,allocated,0.0,2,0,2,4,existing,597.6497532175093,2,0,2,2,allocated,0.0,2,40,2,74,existing,737.9626107330207,2,16,2,74,allocated,737.9626107330207,2,17,2,81,allocated,751.9207328279695,2,17,2,81,allocated,751.9207328279695
3,3,0,3,2,allocated,62.003194890871114,3,0,3,4,existing,535.6465583266381,3,0,3,2,allocated,62.003194890871114,3,40,3,74,existing,675.9594158421496,3,16,3,74,allocated,675.9594158421496,3,17,3,81,allocated,689.9175379370984,3,17,3,81,allocated,689.9175379370984
4,4,10,4,47,allocated,257.7211798988263,4,10,4,4,existing,0.0,4,10,4,47,allocated,257.7211798988263,4,17,4,81,allocated,331.1933904390983,4,17,4,81,allocated,331.1933904390983,4,16,4,74,allocated,481.9074081493104,4,40,4,74,existing,481.9074081493104
5,5,10,5,47,allocated,376.154169839098,5,10,5,4,existing,118.43298994027177,5,10,5,47,allocated,376.154169839098,5,17,5,81,allocated,449.62638037937006,5,17,5,81,allocated,449.62638037937006,5,40,5,74,existing,477.04306052187417,5,16,5,74,allocated,477.04306052187417
6,6,38,6,73,existing,390.8307902094615,6,38,6,68,existing,524.0410728163715,6,38,6,74,existing,391.03457146686765,6,16,6,74,allocated,391.03457146686765,6,40,6,74,existing,391.03457146686765,6,17,6,81,allocated,810.2055098203216,6,17,6,81,allocated,810.2055098203216
7,7,38,7,73,existing,471.705696037623,7,38,7,18,allocated,470.2964349141093,7,38,7,18,allocated,470.2964349141093,7,16,7,74,allocated,471.90947729502915,7,40,7,74,existing,471.90947729502915,7,17,7,81,allocated,891.080415648483,7,17,7,81,allocated,891.080415648483
8,8,38,8,73,existing,217.45928625655262,8,38,8,92,allocated,389.0926195068346,8,38,8,74,allocated,326.7370173091809,8,16,8,74,allocated,326.7370173091809,8,40,8,74,existing,326.7370173091809,8,17,8,81,allocated,885.1971623242123,8,17,8,81,allocated,885.1971623242123
9,9,38,9,73,existing,78.35348152973583,9,38,9,92,allocated,249.98681478001777,9,38,9,92,existing,249.98681478001777,9,16,9,74,allocated,467.8304734474647,9,40,9,74,existing,467.8304734474647,9,17,9,81,allocated,1029.9859559556382,9,17,9,81,allocated,1029.9859559556382
