,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant,8_assign_from_var_id_restaurant,8_assign_to_var_id_restaurant,8_assign_from_node_id_restaurant,8_assign_to_node_id_restaurant,8_assign_type_restaurant,8_dist_restaurant,9_assign_from_var_id_restaurant,9_assign_to_var_id_restaurant,9_assign_from_node_id_restaurant,9_assign_to_node_id_restaurant,9_assign_type_restaurant,9_dist_restaurant
0,0,38,0,214,allocated,423.94393462604273,0,38,0,149,existing,231.92972304909432,0,38,0,1,allocated,23.117548180230347,0,0,0,1,allocated,23.117548180230347,0,60,0,42,existing,387.25159491722957,0,61,0,113,existing,411.09733594936773,0,59,0,42,existing,387.25159491722957,0,23,0,137,allocated,549.2363525991129,0,62,0,184,existing,1371.0156850517915,0,63,0,184,existing,1371.0156850517915,0,17,0,106,allocated,959.2988313904,0,64,0,75,existing,1603.3396345167594,0,65,0,73,existing,1643.9139324512448
1,1,38,1,214,allocated,447.0614828062731,1,38,1,149,existing,208.812174868864,1,38,1,1,allocated,0.0,1,0,1,1,allocated,0.0,1,59,1,42,existing,364.13404673699915,1,61,1,113,existing,387.9797877691374,1,60,1,42,existing,364.13404673699915,1,17,1,106,allocated,982.4163795706304,1,63,1,184,existing,1394.1332332320217,1,62,1,184,existing,1394.1332332320217,1,23,1,137,allocated,572.3539007793433,1,64,1,75,existing,1626.4571826969898,1,65,1,73,existing,1667.0314806314752
2,2,55,2,184,existing,377.5943380329476,2,55,2,100,existing,167.70359708452366,2,55,2,3,allocated,74.1793679229672,2,62,2,184,existing,377.5943380329476,2,63,2,184,existing,377.5943380329476,2,64,2,75,existing,392.6452980563054,2,65,2,73,existing,488.25836842118565,2,23,2,137,allocated,694.173940592193,2,0,2,1,allocated,1233.8118846406844,2,60,2,42,existing,1597.9459313776836,2,17,2,106,allocated,832.0326705397584,2,61,2,113,existing,1621.7916724098218,2,59,2,42,existing,1597.9459313776836
3,3,56,3,75,existing,318.46593013333825,3,56,3,100,existing,241.88296500749087,3,56,3,3,allocated,0.0,3,64,3,75,existing,318.46593013333825,3,65,3,73,existing,414.0790004982184,3,62,3,184,existing,451.7737059559148,3,63,3,184,existing,451.7737059559148,3,0,3,1,allocated,1307.9912525636516,3,23,3,137,allocated,768.3533085151603,3,17,3,106,allocated,906.2120384627257,3,60,3,42,existing,1672.1252993006508,3,61,3,113,existing,1695.971040332789,3,59,3,42,existing,1672.1252993006508
4,4,56,4,75,existing,613.7390337929568,4,56,4,95,existing,473.92538145939716,4,56,4,201,allocated,522.3347901692603,4,64,4,75,existing,613.7390337929568,4,65,4,73,existing,624.5041645283526,4,62,4,184,existing,879.4786821283673,4,23,4,137,allocated,835.9365604791927,4,63,4,184,existing,879.4786821283673,4,17,4,106,allocated,959.4559930414977,4,59,4,42,existing,1771.9867979662176,4,0,4,1,allocated,1407.8527512292185,4,60,4,42,existing,1771.9867979662176,4,61,4,113,existing,1795.8325389983556
5,5,57,5,73,existing,650.4371900699408,5,57,5,95,existing,645.4839135688334,5,57,5,201,allocated,350.7762580598241,5,65,5,73,existing,650.4371900699408,5,64,5,75,existing,692.2975501022138,5,63,5,184,existing,964.7550924620809,5,62,5,184,existing,964.7550924620809,5,17,5,106,allocated,1131.0145251509339,5,23,5,137,allocated,1007.495092588629,5,60,5,42,existing,1943.5453300756537,5,0,5,1,allocated,1579.4112833386546,5,61,5,113,existing,1967.391071107792,5,59,5,42,existing,1943.5453300756537
6,6,54,6,165,existing,546.9361801902143,6,54,6,100,existing,406.1925574628981,6,54,6,211,existing,208.351478578896,6,23,6,137,allocated,459.0614282597259,6,63,6,184,existing,612.7466278424873,6,64,6,75,existing,707.1849533555207,6,62,6,184,existing,612.7466278424873,6,17,6,106,allocated,862.2078167603429,6,65,6,73,existing,802.7980237204009,6,0,6,1,allocated,992.6708766950426,6,59,6,42,existing,1356.8049234320417,6,61,6,113,existing,1380.65066446418,6,60,6,42,existing,1356.8049234320417
7,7,38,7,214,allocated,568.236572329942,7,38,7,224,existing,514.7843087135789,7,38,7,137,allocated,243.5200236779105,7,23,7,137,allocated,243.5200236779105,7,17,7,106,allocated,646.6664121785275,7,62,7,184,existing,827.075371058072,7,0,7,1,allocated,777.1294721132272,7,64,7,75,existing,849.3277105837626,7,65,7,73,existing,944.9407809486429,7,59,7,42,existing,1141.2635188502263,7,63,7,184,existing,827.075371058072,7,61,7,113,existing,1165.1092598823645,7,60,7,42,existing,1141.2635188502263
8,8,54,8,165,existing,348.4017076965778,8,54,8,236,allocated,188.4203831791463,8,54,8,236,allocated,188.4203831791463,8,23,8,137,allocated,395.86747868406036,8,63,8,184,existing,683.1359693625409,8,62,8,184,existing,683.1359693625409,8,0,8,1,allocated,721.9374575235172,8,59,8,42,existing,1086.0715042605163,8,60,8,42,existing,1086.0715042605163,8,17,8,106,allocated,838.5028211764782,8,64,8,75,existing,1015.2503491568507,8,61,8,113,existing,1109.9172452926546,8,65,8,73,existing,1110.863419521731
9,9,54,9,165,existing,485.0524229362295,9,54,9,236,allocated,325.071098418798,9,54,9,137,allocated,259.2167634444086,9,23,9,137,allocated,259.2167634444086,9,0,9,1,allocated,585.2867422838655,9,17,9,106,allocated,701.8521059368265,9,62,9,184,existing,819.7866846021925,9,59,9,42,existing,949.4207890208646,9,61,9,113,existing,973.2665300530028,9,63,9,184,existing,819.7866846021925,9,60,9,42,existing,949.4207890208646,9,64,9,75,existing,1151.9010643965025,9,65,9,73,existing,1247.5141347613826
10,10,56,10,75,existing,542.7394362979276,10,56,10,95,existing,228.5951933022265,10,56,10,3,allocated,330.7335238612162,10,64,10,75,existing,542.7394362979276,10,65,10,73,existing,553.5964616807904,10,63,10,184,existing,634.1484939711966,10,23,10,137,allocated,590.606372322022,10,62,10,184,existing,634.1484939711966,10,60,10,42,existing,1526.6566098090468,10,17,10,106,allocated,714.125804884327,10,0,10,1,allocated,1162.5225630720477,10,61,10,113,existing,1550.502350841185,10,59,10,42,existing,1526.6566098090468
11,11,56,11,75,existing,455.66582802995174,11,56,11,95,existing,315.8521756963921,11,56,11,201,allocated,399.68285954327075,11,64,11,75,existing,455.66582802995174,11,65,11,73,existing,466.43095876534755,11,63,11,184,existing,721.4054763653621,11,23,11,137,allocated,677.8633547161876,11,17,11,106,allocated,801.3827872784925,11,60,11,42,existing,1613.9135922032124,11,0,11,1,allocated,1249.7795454662132,11,62,11,184,existing,721.4054763653621,11,61,11,113,existing,1637.7593332353506,11,59,11,42,existing,1613.9135922032124
12,12,38,12,214,allocated,496.0985950334774,12,38,12,214,existing,496.0985950334774,12,38,12,204,allocated,338.0879160635925,12,17,12,106,allocated,362.83022219063974,12,23,12,137,allocated,772.3018834190195,12,0,12,1,allocated,943.1600778397506,12,60,12,42,existing,1167.399732493556,12,62,12,184,existing,1572.4572307633457,12,63,12,184,existing,1572.4572307633457,12,59,12,42,existing,1167.399732493556,12,61,12,113,existing,1191.2454735256943,12,65,12,73,existing,1593.8894926674088,12,64,12,75,existing,1583.0324672845459
13,13,38,13,214,allocated,408.4572976070828,13,38,13,214,existing,408.4572976070828,13,38,13,204,allocated,250.44661863719787,13,17,13,106,allocated,275.18892476424514,13,23,13,137,allocated,684.6605859926249,13,0,13,1,allocated,855.5187804133559,13,59,13,42,existing,1219.652827150355,13,62,13,184,existing,1484.8159333369513,13,60,13,42,existing,1219.652827150355,13,61,13,113,existing,1243.4985681824933,13,63,13,184,existing,1484.8159333369513,13,64,13,75,existing,1495.391169858151,13,65,13,73,existing,1506.248195241014
14,14,35,14,202,allocated,506.76676546402115,14,35,14,202,existing,506.76676546402115,14,35,14,204,allocated,424.960708980895,14,17,14,106,allocated,449.7030151079423,14,23,14,137,allocated,859.174676336322,14,59,14,42,existing,1080.5269395762534,14,0,14,1,allocated,1028.3529802796832,14,61,14,113,existing,1104.3726806083914,14,60,14,42,existing,1080.5269395762534,14,63,14,184,existing,1659.3300236806485,14,62,14,184,existing,1659.3300236806485,14,65,14,73,existing,1680.7622855847112,14,64,14,75,existing,1669.9052602018483
15,15,38,15,214,allocated,542.0501038667123,15,38,15,149,existing,391.17429616657626,15,38,15,180,allocated,110.50929888780908,15,59,15,42,existing,369.68987918669654,15,60,15,42,existing,369.68987918669654,15,61,15,113,existing,393.53562021883465,15,0,15,1,allocated,599.9864710354402,15,23,15,137,allocated,866.7666525187437,15,62,15,184,existing,1931.8995776003937,15,63,15,184,existing,1931.8995776003937,15,17,15,106,allocated,1077.4050006310695,15,65,15,73,existing,1961.8819424001933,15,64,15,75,existing,1951.0249170173304
16,16,35,16,202,allocated,662.8530360144061,16,35,16,202,existing,662.8530360144061,16,35,16,89,allocated,105.32615046517637,16,60,16,42,existing,742.7081122082011,16,59,16,42,existing,742.7081122082011,16,17,16,106,allocated,789.0047745498938,16,61,16,113,existing,766.5538532403393,16,0,16,1,allocated,972.3106147408588,16,63,16,184,existing,1998.6317831225997,16,23,16,137,allocated,1198.4764357782738,16,62,16,184,existing,1998.6317831225997,16,64,16,75,existing,2009.2070196437996,16,65,16,73,existing,2020.0640450266626
17,17,37,17,209,allocated,726.8690686883526,17,37,17,111,allocated,525.5750547208265,17,37,17,111,allocated,525.5750547208265,17,61,17,113,existing,796.5529527456001,17,59,17,42,existing,820.3986937777383,17,0,17,1,allocated,1184.5327405147375,17,60,17,42,existing,820.3986937777383,17,17,17,106,allocated,2166.9491200853677,17,63,17,184,existing,2438.581272304271,17,23,17,137,allocated,1756.8866412940806,17,62,17,184,existing,2438.581272304271,17,64,17,75,existing,2770.695652098581,17,65,17,73,existing,2851.5642211462127
18,18,37,18,209,allocated,663.0186116419721,18,37,18,111,allocated,461.72459767444604,18,37,18,111,allocated,461.72459767444604,18,61,18,113,existing,732.7024956992196,18,59,18,42,existing,756.5482367313577,18,60,18,42,existing,756.5482367313577,18,0,18,1,allocated,1120.6822834683571,18,23,18,137,allocated,1693.0361842477,18,17,18,106,allocated,2103.098663038987,18,63,18,184,existing,2374.7308152578908,18,62,18,184,existing,2374.7308152578908,18,64,18,75,existing,2706.845195052201,18,65,18,73,existing,2787.713764099832
19,19,35,19,202,allocated,592.0034220565892,19,35,19,202,existing,592.0034220565892,19,35,19,89,allocated,348.13760918430114,19,17,19,106,allocated,546.193315830769,19,23,19,137,allocated,955.6649770591488,19,59,19,42,existing,984.0366388534266,19,0,19,1,allocated,962.8855056086508,19,61,19,113,existing,1007.8823798855648,19,60,19,42,existing,984.0366388534266,19,63,19,184,existing,1755.8203244034753,19,62,19,184,existing,1755.8203244034753,19,64,19,75,existing,1766.395560924675,19,65,19,73,existing,1777.252586307538
20,20,35,20,202,allocated,348.0034367845617,20,35,20,202,existing,348.0034367845617,20,35,20,202,allocated,348.0034367845617,20,17,20,106,allocated,790.1933011027967,20,23,20,137,allocated,1199.6649623311766,20,59,20,42,existing,1228.0366241254542,20,0,20,1,allocated,1206.8854908806784,20,63,20,184,existing,1999.8203096755026,20,62,20,184,existing,1999.8203096755026,20,60,20,42,existing,1228.0366241254542,20,61,20,113,existing,1251.8823651575922,20,65,20,73,existing,2021.2525715795655,20,64,20,75,existing,2010.3955461967025
21,21,52,21,148,existing,380.4691068013267,21,52,21,198,existing,124.8009702090614,21,52,21,47,allocated,184.2923358485246,21,0,21,1,allocated,284.16938707864216,21,60,21,42,existing,464.019786652727,21,59,21,42,existing,464.019786652727,21,61,21,113,existing,487.86552768486524,21,23,21,137,allocated,810.2881914975247,21,17,21,106,allocated,1220.3506702888117,21,62,21,184,existing,1632.0675239502034,21,63,21,184,existing,1632.0675239502034,21,64,21,75,existing,1864.3914734151713,21,65,21,73,existing,1904.9657713496567
22,22,52,22,148,existing,468.31492195071166,22,52,22,198,existing,212.64678535844635,22,52,22,47,allocated,96.44652069913967,22,0,22,1,allocated,196.32357192925724,22,60,22,42,existing,376.17397150334205,22,61,22,113,existing,400.01971253548027,22,59,22,42,existing,376.17397150334205,22,23,22,137,allocated,722.4423763481399,22,63,22,184,existing,1544.2217088008183,22,62,22,184,existing,1544.2217088008183,22,17,22,106,allocated,1132.504855139427,22,65,22,73,existing,1817.1199562002719,22,64,22,75,existing,1776.5456582657864
23,23,37,23,209,allocated,842.7424522153738,23,37,23,98,allocated,830.901045432963,23,37,23,24,allocated,369.0549626080267,23,61,23,113,existing,1126.796735329975,23,60,23,42,existing,1150.6424763621133,23,59,23,42,existing,1150.6424763621133,23,0,23,1,allocated,1514.7765230991124,23,23,23,137,allocated,2087.1304238784555,23,62,23,184,existing,2768.825054888646,23,63,23,184,existing,2768.825054888646,23,17,23,106,allocated,2497.1929026697426,23,64,23,75,existing,3100.939434682956,23,65,23,73,existing,3181.808003730587
24,24,35,25,202,allocated,250.37046947014116,24,35,25,202,existing,250.37046947014116,24,35,25,280,allocated,124.40905991588735,24,17,25,106,allocated,1005.890404131204,24,60,25,42,existing,1216.0647569679318,24,59,25,42,existing,1216.0647569679318,24,61,25,113,existing,1239.91049800007,24,63,25,184,existing,2215.51741270391,24,23,25,137,allocated,1415.362065359584,24,0,25,1,allocated,1377.8414943525536,24,62,25,184,existing,2215.51741270391,24,65,25,73,existing,2236.949674607973,24,64,25,75,existing,2226.09264922511
25,25,35,26,202,allocated,132.14908859343834,25,35,26,202,existing,132.14908859343834,25,35,26,202,allocated,132.14908859343834,25,17,26,106,allocated,887.6690232545012,25,0,26,1,allocated,1259.6201134758508,25,59,26,42,existing,1273.4120596291687,25,60,26,42,existing,1273.4120596291687,25,62,26,184,existing,2097.296031827207,25,23,26,137,allocated,1297.1406844828812,25,61,26,113,existing,1297.2578006613069,25,63,26,184,existing,2097.296031827207,25,65,26,73,existing,2118.7282937312702,25,64,26,75,existing,2107.8712683484073
26,26,35,29,202,allocated,382.7282601628677,26,35,29,202,existing,382.7282601628677,26,35,29,280,allocated,97.50237266827212,26,17,29,106,allocated,1148.0743498160703,26,59,29,42,existing,1254.221443709102,26,60,29,42,existing,1254.221443709102,26,61,29,113,existing,1278.0671847412402,26,0,29,1,allocated,1599.7529269367128,26,62,29,184,existing,2357.7013583887765,26,63,29,184,existing,2357.7013583887765,26,23,29,137,allocated,1557.54601104445,26,64,29,75,existing,2368.276594909976,26,65,29,73,existing,2379.133620292839
27,27,35,30,202,allocated,279.2604807054895,27,35,30,202,existing,279.2604807054895,27,35,30,280,allocated,200.9701521256503,27,17,30,106,allocated,1044.6065703586921,27,60,30,42,existing,1357.6892231664801,27,61,30,113,existing,1381.5349641986184,27,59,30,42,existing,1357.6892231664801,27,63,30,184,existing,2254.2335789313984,27,0,30,1,allocated,1555.8901838528643,27,23,30,137,allocated,1454.078231587072,27,62,30,184,existing,2254.2335789313984,27,64,30,75,existing,2264.808815452598,27,65,30,73,existing,2275.665840835461
28,28,52,33,148,existing,326.50535796872003,28,52,33,198,existing,70.83722137645478,28,52,33,228,allocated,133.37008138837118,28,0,33,1,allocated,338.1331359112488,28,59,33,42,existing,517.9835354853336,28,61,33,113,existing,541.8292765174718,28,60,33,42,existing,517.9835354853336,28,23,33,137,allocated,864.2519403301314,28,62,33,184,existing,1686.03127278281,28,63,33,184,existing,1686.03127278281,28,17,33,106,allocated,1274.3144191214185,28,65,33,73,existing,1958.9295201822633,28,64,33,75,existing,1918.3552222477779
29,29,35,34,202,allocated,178.44206196902635,29,35,34,202,existing,178.44206196902635,29,35,34,202,allocated,178.44206196902635,29,17,34,106,allocated,933.9619966300893,29,23,34,137,allocated,1343.4336578584691,29,59,34,42,existing,1459.0375562775796,29,0,34,1,allocated,1445.2456101242615,29,60,34,42,existing,1459.0375562775796,29,61,34,113,existing,1482.8832973097178,29,63,34,184,existing,2143.5890052027953,29,62,34,184,existing,2143.5890052027953,29,65,34,73,existing,2165.0212671068584,29,64,34,75,existing,2154.1642417239955
30,30,35,35,202,allocated,126.22309299498764,30,35,35,202,existing,126.22309299498764,30,35,35,36,allocated,72.92768872725236,30,17,35,106,allocated,906.0098384113415,30,23,35,137,allocated,1315.4814996397213,30,59,35,42,existing,1510.7266108769822,30,60,35,42,existing,1510.7266108769822,30,61,35,113,existing,1534.5723519091202,30,63,35,184,existing,2115.6368469840477,30,62,35,184,existing,2115.6368469840477,30,0,35,1,allocated,1517.9922950642765,30,64,35,75,existing,2126.2120835052474,30,65,35,73,existing,2137.0691088881103
31,31,35,36,202,allocated,199.15078172224,31,35,36,202,existing,199.15078172224,31,35,36,36,allocated,0.0,31,17,36,106,allocated,978.9375271385939,31,23,36,137,allocated,1388.4091883669735,31,60,36,42,existing,1583.6542996042344,31,59,36,42,existing,1583.6542996042344,31,0,36,1,allocated,1590.919983791529,31,63,36,184,existing,2188.5645357113,31,62,36,184,existing,2188.5645357113,31,61,36,113,existing,1607.5000406363727,31,64,36,75,existing,2199.1397722325,31,65,36,73,existing,2209.996797615363
32,32,38,37,214,allocated,446.27996563033133,32,38,37,214,existing,446.27996563033133,32,38,37,116,allocated,293.2250901172273,32,0,37,1,allocated,296.1979348940222,32,23,37,137,allocated,548.305570834252,32,59,37,42,existing,660.3319816310213,32,60,37,42,existing,660.3319816310213,32,63,37,184,existing,1097.9352983379995,32,61,37,113,existing,684.1777226631596,32,17,37,106,allocated,981.6348623946885,32,62,37,184,existing,1097.9352983379995,32,64,37,75,existing,1430.0496781323095,32,65,37,73,existing,1525.6627484971898
33,33,54,38,165,existing,471.697693168565,33,54,38,236,allocated,328.17978656025593,33,54,38,236,allocated,328.17978656025593,33,23,38,137,allocated,402.1284391020946,33,0,38,1,allocated,442.37506662617955,33,59,38,42,existing,806.5091133631786,33,60,38,42,existing,806.5091133631786,33,62,38,184,existing,951.7581666058422,33,61,38,113,existing,830.3548543953168,33,17,38,106,allocated,844.7637815945124,33,63,38,184,existing,951.7581666058422,33,65,38,73,existing,1379.4856167650323,33,64,38,75,existing,1283.8725464001523
34,34,35,39,202,allocated,288.5316545986605,34,35,39,202,existing,288.5316545986605,34,35,39,120,allocated,273.2449283489033,34,17,39,106,allocated,636.348274501871,34,23,39,137,allocated,1045.8199357302508,34,59,39,42,existing,1648.0465239524585,34,0,39,1,allocated,1283.9124772154594,34,63,39,184,existing,1845.975283074577,34,61,39,113,existing,1671.8922649845967,34,60,39,42,existing,1648.0465239524585,34,62,39,184,existing,1845.975283074577,34,64,39,75,existing,1856.550519595777,34,65,39,73,existing,1867.4075449786399
