,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant
0,0,85,2,310,existing,844.7126233493376,0,85,2,35,existing,235.29705533074252,0,85,2,41,allocated,128.3120688199266,0,92,2,281,existing,948.7922703560524,0,88,2,336,existing,1337.3012593640804,0,90,2,241,existing,1642.4445144589822,0,93,2,147,existing,1614.4161431729513,0,91,2,241,existing,1642.4445144589822,0,89,2,253,existing,2132.0719054188685
1,1,85,3,310,existing,814.0636693364978,1,85,3,35,existing,323.2986103633233,1,85,3,41,allocated,216.31362385250736,1,92,3,281,existing,985.654166615293,1,88,3,336,existing,1249.2997043314995,1,93,3,147,existing,1526.4145881403706,1,90,3,241,existing,1554.4429594264016,1,89,3,253,existing,2044.0703503862874,1,91,3,241,existing,1554.4429594264016
2,2,84,4,353,existing,1128.5547903280067,2,84,4,220,existing,667.6727231396682,2,84,4,394,allocated,85.54451229032202,2,92,4,281,existing,467.629982580337,2,88,4,336,existing,2100.9692109380303,2,93,4,147,existing,2378.0840947469014,2,91,4,241,existing,2406.1124660329324,2,89,4,253,existing,2895.739856992818,2,90,4,241,existing,2406.1124660329324
3,3,84,5,353,existing,1197.4563519384983,3,84,5,220,existing,598.7711615291767,3,84,5,289,allocated,126.27369039121169,3,92,5,281,existing,398.7284209698455,3,88,5,336,existing,2032.0676493275391,3,91,5,241,existing,2337.2109044224408,3,93,5,147,existing,2309.18253313641,3,90,5,241,existing,2337.2109044224408,3,89,5,253,existing,2826.838295382327
4,4,84,6,353,existing,869.8305432274861,4,84,6,220,existing,375.9941252415341,4,84,6,10,allocated,178.22996111678003,4,92,6,281,existing,844.5781631423531,4,88,6,336,existing,2477.9173915000465,4,93,6,147,existing,2755.0322753089176,4,91,6,241,existing,2783.0606465949486,4,90,6,241,existing,2783.0606465949486,4,89,6,253,existing,3272.6880375548344
5,5,84,7,353,existing,810.7185764967384,5,84,7,220,existing,435.1060919722819,5,84,7,10,allocated,119.11799438603221,5,92,7,281,existing,785.4661964116053,5,88,7,336,existing,2418.8054247692985,5,93,7,147,existing,2695.9203085781696,5,91,7,241,existing,2723.9486798642006,5,90,7,241,existing,2723.9486798642006,5,89,7,253,existing,3213.5760708240864
6,6,84,8,353,existing,980.934912585884,6,84,8,220,existing,242.46364212750254,6,84,8,11,allocated,93.927499731818,6,92,8,281,existing,978.1086462563846,6,88,8,336,existing,2462.670955058318,6,91,8,241,existing,2767.8142101532203,6,93,8,147,existing,2739.7858388671893,6,90,8,241,existing,2767.8142101532203,6,89,8,253,existing,3257.441601113106
7,7,84,9,353,existing,656.0398630697124,7,84,9,220,existing,567.3586916436742,7,84,9,10,allocated,35.56071904099364,7,92,9,281,existing,940.1449098386311,7,88,9,336,existing,2573.4841381963247,7,91,9,241,existing,2878.627393291227,7,93,9,147,existing,2850.599022005196,7,89,9,253,existing,3368.2547842511126,7,90,9,241,existing,2878.627393291227
8,8,84,10,353,existing,691.6005821107061,8,84,10,220,existing,554.2240863583141,8,84,10,10,allocated,0.0,8,92,10,281,existing,904.5841907976375,8,88,10,336,existing,2537.923419155331,8,90,10,241,existing,2843.066674250233,8,93,10,147,existing,2815.038302964202,8,91,10,241,existing,2843.066674250233,8,89,10,253,existing,3332.694065210119
9,9,84,11,353,existing,887.007412854066,9,84,11,220,existing,336.39114185932056,9,84,11,11,allocated,0.0,9,92,11,281,existing,1072.0361459882026,9,88,11,336,existing,2556.598454790136,9,93,11,147,existing,2833.7133385990073,9,91,11,241,existing,2861.7417098850383,9,90,11,241,existing,2861.7417098850383,9,89,11,253,existing,3351.369100844924
