,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare
0,0,38,0,73,existing,846.1461286956225,0,38,0,74,existing,849.0129306205782,0,38,0,4,existing,842.2174360937424,0,38,0,74,existing,849.0129306205782
1,1,38,1,73,existing,726.3066983706026,1,38,1,74,existing,729.1735002955584,1,38,1,68,existing,862.180001645062,1,38,1,74,existing,729.1735002955584
2,2,37,2,45,existing,774.9074037047624,2,37,2,74,existing,737.9626107330207,2,37,2,4,existing,597.6497532175093,2,37,2,74,existing,737.9626107330207
3,3,37,3,45,existing,712.9042088138913,3,37,3,74,existing,675.9594158421496,3,37,3,4,existing,535.6465583266381,3,37,3,74,existing,675.9594158421496
4,4,37,4,45,existing,444.96261517756864,4,37,4,74,existing,481.9074081493104,4,37,4,4,existing,0.0,4,37,4,74,existing,481.9074081493104
5,5,37,5,45,existing,440.0982675501324,5,37,5,74,existing,477.04306052187417,5,37,5,4,existing,118.43298994027177,5,37,5,74,existing,477.04306052187417
6,6,38,6,73,existing,390.8307902094615,6,38,6,74,existing,391.03457146686765,6,38,6,68,existing,524.0410728163715,6,38,6,74,existing,391.03457146686765
7,7,38,7,73,existing,471.705696037623,7,38,7,74,existing,471.90947729502915,7,38,7,68,existing,604.915978644533,7,38,7,74,existing,471.90947729502915
8,8,38,8,73,existing,217.45928625655262,8,38,8,74,existing,326.7370173091809,8,38,8,68,existing,524.3816730955702,8,38,8,74,existing,326.7370173091809
9,9,38,9,73,existing,78.35348152973583,9,38,9,74,existing,467.8304734474647,9,38,9,68,existing,669.1704667269962,9,38,9,92,existing,249.98681478001777
10,10,38,10,73,existing,881.288680347418,10,38,10,74,existing,884.1554822723738,10,38,10,68,existing,1017.1619836218775,10,38,10,74,existing,884.1554822723738
11,11,38,11,73,existing,564.7230972782704,11,38,11,74,existing,556.7896954083276,11,38,11,4,existing,485.65561282547185,11,38,11,74,existing,556.7896954083276
12,12,38,12,73,existing,643.103655355228,12,38,12,74,existing,637.6171269956963,12,38,12,4,existing,565.9021789777954,12,38,12,74,existing,637.6171269956963
13,13,38,15,73,existing,831.7588782737084,13,38,15,74,existing,834.6256801986642,13,38,15,4,existing,763.0637736227685,13,38,15,74,existing,834.6256801986642
14,14,38,18,73,existing,934.5197568428416,14,38,18,74,existing,937.3865587677974,14,38,18,68,existing,1070.393060117301,14,38,18,74,existing,937.3865587677974
15,15,37,23,45,existing,829.8649043583109,15,37,23,74,existing,866.8096973300528,15,37,23,4,existing,532.7276240513823,15,37,23,74,existing,866.8096973300528
16,16,37,24,45,existing,712.3015169528513,16,37,24,74,existing,749.2463099245932,16,37,24,4,existing,415.1642366459228,16,37,24,74,existing,749.2463099245932
17,17,37,28,45,existing,679.4238431045786,17,37,28,74,existing,716.3686360763204,17,37,28,4,existing,497.5979890706145,17,37,28,74,existing,716.3686360763204
18,18,38,35,73,existing,570.174195918788,18,38,35,74,existing,551.33859676781,18,38,35,4,existing,480.2045141849542,18,38,35,74,existing,551.33859676781
19,19,38,36,73,existing,406.2290543348553,19,38,36,74,existing,375.63630734147387,19,38,36,68,existing,508.64280869097774,19,38,36,74,existing,375.63630734147387
20,20,37,37,45,existing,443.39189474265567,20,37,37,74,existing,406.4471017709139,20,37,37,4,existing,301.1484899504748,20,37,37,74,existing,406.4471017709139
21,21,37,38,45,existing,518.8270961743237,21,37,38,74,existing,481.88230320258197,21,37,38,4,existing,376.58369138214283,21,37,38,74,existing,481.88230320258197
