,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant
0,0,29,0,83,existing,80.05386965803375,0,29,0,128,existing,875.2122051204998,0,29,0,0,allocated,0.0,0,32,0,1,existing,106.47580486763157,0,34,0,84,existing,356.35643088791187,0,31,0,84,existing,356.35643088791187,0,33,0,84,existing,356.35643088791187,0,35,0,56,existing,746.71300035538
1,1,29,2,83,existing,1295.8059847058346,1,29,2,128,existing,1775.5889222162243,1,29,2,127,allocated,423.95993833267687,1,32,2,1,existing,1109.2763101801693,1,33,2,84,existing,1359.1569362004495,1,31,2,84,existing,1359.1569362004495,1,34,2,84,existing,1359.1569362004495,1,35,2,56,existing,1749.5135056679178
2,2,29,4,83,existing,1465.7421698847659,2,29,4,128,existing,1945.5251073951556,2,29,4,154,allocated,370.59094292917985,2,32,4,1,existing,1279.2124953591006,2,33,4,84,existing,1529.0931213793808,2,31,4,84,existing,1529.0931213793808,2,34,4,84,existing,1529.0931213793808,2,35,4,56,existing,1919.449690846849
3,3,29,5,83,existing,1540.9372202378381,3,29,5,128,existing,2020.7201577482276,3,29,5,154,allocated,295.3958925761075,3,32,5,1,existing,1354.4075457121728,3,33,5,84,existing,1604.288171732453,3,31,5,84,existing,1604.288171732453,3,34,5,84,existing,1604.288171732453,3,35,5,56,existing,1994.644741199921
4,4,29,7,83,existing,1483.9905480964471,4,29,7,128,existing,541.7553550955084,4,29,7,92,allocated,762.2998660209415,4,32,7,1,existing,1476.5684146499677,4,33,7,84,existing,1726.449040670248,4,34,7,84,existing,1726.449040670248,4,31,7,84,existing,1726.449040670248,4,35,7,56,existing,1821.872229569307
5,5,30,8,56,existing,561.9548165757989,5,30,8,128,existing,943.3314286892485,5,30,8,148,allocated,210.57490972081493,5,35,8,56,existing,561.9548165757989,5,34,8,84,existing,841.8370090441891,5,33,8,84,existing,841.8370090441891,5,31,8,84,existing,841.8370090441891,5,32,8,1,existing,1091.7176350644695
6,6,30,9,56,existing,623.0309212291702,6,30,9,128,existing,1004.4075333426198,6,30,9,148,allocated,271.65101437418633,6,35,9,56,existing,623.0309212291702,6,34,9,84,existing,902.9131136975606,6,33,9,84,existing,902.9131136975606,6,31,9,84,existing,902.9131136975606,6,32,9,1,existing,1152.793739717841
7,7,29,10,83,existing,886.8182486599322,7,29,10,128,existing,1005.176402730872,7,29,10,175,existing,347.0168604010453,7,32,10,1,existing,700.2885741342668,7,33,10,84,existing,950.1692001545472,7,31,10,84,existing,950.1692001545472,7,34,10,84,existing,950.1692001545472,7,35,10,56,existing,1340.525769622015
8,8,29,11,83,existing,922.7159109168248,8,29,11,128,existing,969.2787404739795,8,29,11,175,existing,382.9145226579378,8,32,11,1,existing,736.1862363911594,8,34,11,84,existing,986.0668624114397,8,31,11,84,existing,986.0668624114397,8,33,11,84,existing,986.0668624114397,8,35,11,56,existing,1376.4234318789076
9,9,30,12,56,existing,563.7606982564023,9,30,12,128,existing,1194.8318418349213,9,30,12,148,allocated,446.54423712177214,9,35,12,56,existing,563.7606982564023,9,34,12,84,existing,843.6428907247928,9,33,12,84,existing,843.6428907247928,9,31,12,84,existing,843.6428907247928,9,32,12,1,existing,1093.523516745073
