,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant
0,0,56,0,126,existing,637.3057785777337,0,56,0,133,existing,800.8812159228114,0,56,0,66,allocated,105.87042501001903,0,67,0,142,existing,530.2393961200236,0,66,0,126,existing,637.3057785777337,0,68,0,124,existing,1168.4627034778032,0,71,0,188,existing,1371.7829873203086,0,72,0,65,existing,1481.1821771266332,0,69,0,118,existing,1416.2778800710953,0,70,0,118,existing,1416.2778800710953
1,1,56,1,126,existing,1017.3252789475123,1,56,1,200,existing,1186.4251489909511,1,56,1,66,allocated,524.7457774138336,1,67,1,142,existing,949.1147485238381,1,66,1,126,existing,1017.3252789475123,1,68,1,124,existing,1548.4822038475816,1,71,1,188,existing,1751.8024876900874,1,72,1,65,existing,1833.4707180573757,1,70,1,118,existing,1796.2973804408737,1,69,1,118,existing,1796.2973804408737
2,2,56,2,126,existing,1115.172826972893,2,56,2,100,existing,1020.4619820676256,2,56,2,69,allocated,210.19739062942722,2,67,2,142,existing,994.5436168377377,2,66,2,126,existing,1115.172826972893,2,72,2,65,existing,1238.2756603246191,2,68,2,124,existing,1646.5503328892232,2,71,2,188,existing,1849.650035715468,2,70,2,118,existing,1894.3655094825153,2,69,2,118,existing,1894.3655094825153
3,3,56,3,126,existing,1275.8480030152898,3,56,3,100,existing,1357.1343157326048,3,56,3,69,allocated,546.8697242944063,3,67,3,142,existing,1207.6374725916157,3,66,3,126,existing,1275.8480030152898,3,68,3,124,existing,1807.004927915359,3,72,3,65,existing,1574.9479939895982,3,71,3,188,existing,2010.325211757865,3,70,3,118,existing,2054.820104508651,3,69,3,118,existing,2054.820104508651
4,4,60,4,118,existing,314.7705143320203,4,60,4,4,existing,0.0,4,60,4,4,allocated,0.0,4,70,4,118,existing,314.7705143320203,4,69,4,118,existing,314.7705143320203,4,71,4,188,existing,591.4489749253584,4,68,4,124,existing,568.6313475561763,4,67,4,142,existing,1291.476693063311,4,72,4,65,existing,1344.7008961090737,4,66,4,126,existing,1095.445317523643
5,5,59,5,118,existing,864.5322759074899,5,59,5,4,existing,549.7617615754696,5,59,5,4,allocated,549.7617615754696,5,69,5,118,existing,864.5322759074899,5,70,5,118,existing,864.5322759074899,5,68,5,124,existing,1118.3931091316458,5,71,5,188,existing,1141.2107365008278,5,66,5,126,existing,1645.2070790991127,5,67,5,142,existing,1841.2384546387805,5,72,5,65,existing,1894.4626576845435
6,6,63,6,188,existing,434.26879067608434,6,63,6,4,existing,157.180184249274,6,63,6,52,allocated,143.4897382751286,6,71,6,188,existing,434.26879067608434,6,69,6,118,existing,444.5698066330035,6,68,6,124,existing,630.7056608902258,6,70,6,118,existing,444.5698066330035,6,66,6,126,existing,1163.5652874885564,6,67,6,142,existing,1359.5966630282242,6,72,6,65,existing,1394.5961522659481
7,7,63,7,188,existing,450.4113472188377,7,63,7,4,existing,142.73483304174903,7,63,7,4,allocated,142.73483304174903,7,71,7,188,existing,450.4113472188377,7,69,7,118,existing,457.5053473737693,7,68,7,124,existing,646.8482174329791,7,70,7,118,existing,457.5053473737693,7,66,7,126,existing,1179.7078440313098,7,72,7,65,existing,1410.7387088087016,7,67,7,142,existing,1375.7392195709776
8,8,54,8,175,existing,889.5732080478866,8,54,8,100,existing,487.6016424772159,8,54,8,71,allocated,275.8395755212153,8,72,8,65,existing,705.4153207342092,8,67,8,142,existing,938.6393012459165,8,68,8,124,existing,1474.9048776288596,8,66,8,126,existing,1059.268511381072,8,69,8,118,existing,1726.8195303658822,8,71,8,188,existing,1657.2165101786927,8,70,8,118,existing,1726.8195303658822
9,9,56,9,126,existing,1028.0123484584108,9,56,9,100,existing,727.1269770904676,9,56,9,71,allocated,36.31424090796361,9,67,9,142,existing,907.3831383232554,9,72,9,65,existing,944.940655347461,9,68,9,124,existing,1560.8719750567413,9,66,9,126,existing,1028.0123484584108,9,71,9,188,existing,1762.4895572009857,9,70,9,118,existing,1808.6871516500335,9,69,9,118,existing,1808.6871516500335
10,10,56,10,126,existing,1062.066593151622,10,56,10,100,existing,968.190170669051,10,56,10,69,allocated,157.92557923085252,10,67,10,142,existing,942.271805439163,10,66,10,126,existing,1062.066593151622,10,72,10,65,existing,1186.0038489260442,10,68,10,124,existing,1593.2235180516914,10,71,10,188,existing,1796.543801894197,10,70,10,118,existing,1841.0386946449835,10,69,10,118,existing,1841.0386946449835
11,11,56,11,126,existing,1328.9123842005329,11,56,11,100,existing,1235.0359617179618,11,56,11,69,allocated,424.77137027976335,11,67,11,142,existing,1209.117596488074,11,66,11,126,existing,1328.9123842005329,11,68,11,124,existing,1860.069309100602,11,72,11,65,existing,1452.8496399749552,11,71,11,188,existing,2063.389592943108,11,70,11,118,existing,2107.884485693894,11,69,11,118,existing,2107.884485693894
12,12,56,12,126,existing,226.61197583641797,12,56,12,133,existing,586.4317677289788,12,56,12,84,allocated,123.96754999746844,12,66,12,126,existing,226.61197583641797,12,67,12,142,existing,422.6433513760858,12,68,12,124,existing,757.7689007364874,12,71,12,188,existing,961.0891845789931,12,69,12,118,existing,1005.5840773297793,12,70,12,118,existing,1005.5840773297793,12,72,12,65,existing,1424.4092226042055
13,13,56,13,126,existing,277.4043418520685,13,56,13,133,existing,637.2241337446294,13,56,13,84,allocated,174.75991601311893,13,66,13,126,existing,277.4043418520685,13,67,13,142,existing,473.4357173917364,13,71,13,188,existing,1011.8815505946437,13,68,13,124,existing,808.5612667521378,13,72,13,65,existing,1475.201588619856,13,69,13,118,existing,1056.3764433454298,13,70,13,118,existing,1056.3764433454298
14,14,56,14,126,existing,134.14265694900618,14,56,14,133,existing,493.96244884156704,14,56,14,84,allocated,31.498231110056636,14,66,14,126,existing,134.14265694900618,14,67,14,142,existing,330.174032488674,14,68,14,124,existing,665.2995818490755,14,71,14,188,existing,868.6198656915814,14,69,14,118,existing,913.1147584423675,14,72,14,65,existing,1331.9399037167937,14,70,14,118,existing,913.1147584423675
15,15,53,17,214,existing,106.76017824792311,15,53,17,4,existing,1091.4021075545638,15,53,17,18,allocated,29.750602161651464,15,70,17,118,existing,808.7663224099996,15,69,17,118,existing,808.7663224099996,15,68,17,124,existing,1062.6271556341555,15,66,17,126,existing,1256.2429320680335,15,71,17,188,existing,1296.6016747686463,15,67,17,142,existing,1452.2743076077013,15,72,17,65,existing,1838.696704187053
16,16,61,19,22,existing,35.70048193531084,16,61,19,133,existing,426.9475664955993,16,61,19,190,allocated,33.939084705131805,16,68,19,124,existing,67.30395170132797,16,71,19,188,existing,249.6155842511612,16,69,19,118,existing,316.9947595006798,16,70,19,118,existing,316.9947595006798,16,66,19,126,existing,484.86162449141386,16,72,19,65,existing,712.9356222763737,16,67,19,142,existing,680.8930000310817
17,17,56,20,126,existing,208.8669249441877,17,56,20,133,existing,150.95286694837316,17,56,20,20,allocated,0.0,17,66,20,126,existing,208.8669249441877,17,68,20,124,existing,337.410298466448,17,71,20,188,existing,525.6102837983874,17,67,20,142,existing,404.89830048385556,17,69,20,118,existing,585.2254750597401,17,72,20,65,existing,988.9303218235998,17,70,20,118,existing,585.2254750597401
18,18,63,21,188,existing,34.54754345563142,18,63,21,75,existing,259.21743197672436,18,63,21,21,allocated,0.0,18,71,21,188,existing,34.54754345563142,18,68,21,124,existing,199.42697567885935,18,70,21,118,existing,453.28780890301533,18,69,21,118,existing,453.28780890301533,18,72,21,65,existing,925.7798181342325,18,66,21,126,existing,699.9296652869436,18,67,21,142,existing,895.9610408266115
19,19,56,25,126,existing,1463.962298670914,19,56,25,100,existing,1369.2514537656466,19,56,25,69,allocated,558.9868623274481,19,67,25,142,existing,1343.3330885357586,19,66,25,126,existing,1463.962298670914,19,68,25,124,existing,1995.339804587244,19,72,25,65,existing,1587.06513202264,19,71,25,188,existing,2198.439507413489,19,70,25,118,existing,2243.154981180536,19,69,25,118,existing,2243.154981180536
20,20,56,28,126,existing,536.9072627781798,20,56,28,133,existing,686.9198724458122,20,56,28,28,allocated,0.0,20,67,28,142,existing,416.2780526430244,20,66,28,126,existing,536.9072627781798,20,68,28,124,existing,1069.7668893765103,20,72,28,65,existing,1118.0894338299113,20,69,28,118,existing,1317.5820659698024,20,70,28,118,existing,1317.5820659698024,20,71,28,188,existing,1271.3844715207547
21,21,56,29,126,existing,496.81210607034126,21,56,29,133,existing,646.8247157379737,21,56,29,28,allocated,40.095156707838484,21,67,29,142,existing,376.1828959351859,21,66,29,126,existing,496.81210607034126,21,68,29,124,existing,1029.671732668672,21,72,29,65,existing,1158.1845905377497,21,71,29,188,existing,1231.2893148129162,21,69,29,118,existing,1277.486909261964,21,70,29,118,existing,1277.486909261964
22,22,56,30,126,existing,571.4523533785917,22,56,30,133,existing,721.4649630462243,22,56,30,28,allocated,58.0088000370101,22,67,30,142,existing,450.8231432434364,22,66,30,126,existing,571.4523533785917,22,68,30,124,existing,1104.3119799769224,22,72,30,65,existing,1176.0982338669214,22,70,30,118,existing,1352.1271565702145,22,69,30,118,existing,1352.1271565702145,22,71,30,188,existing,1305.9295621211668
23,23,56,32,126,existing,751.017251046605,23,56,32,133,existing,914.5926883916826,23,56,32,69,allocated,437.97793384603875,23,67,32,142,existing,643.9508685888948,23,66,32,126,existing,751.017251046605,23,68,32,124,existing,1282.174175946674,23,72,32,65,existing,1466.0562035412304,23,70,32,118,existing,1529.9893525399661,23,71,32,188,existing,1485.49445978918,23,69,32,118,existing,1529.9893525399661
24,24,64,34,189,existing,578.3452546813585,24,64,34,200,existing,840.8302772755817,24,64,34,54,allocated,329.83814883805195,24,70,34,118,existing,607.4181468297885,24,69,34,118,existing,607.4181468297885,24,66,34,126,existing,878.6051990120051,24,68,34,124,existing,861.2789800539445,24,67,34,142,existing,1074.636574551673,24,71,34,188,existing,1095.253499188435,24,72,34,65,existing,1577.047003089628
25,25,64,35,189,existing,840.4886227404085,25,64,35,200,existing,1069.6963090379936,25,64,35,54,allocated,591.981516897102,25,69,35,118,existing,869.5615148888385,25,70,35,118,existing,869.5615148888385,25,66,35,126,existing,1140.748567071055,25,68,35,124,existing,1123.4223481129943,25,71,35,188,existing,1357.396867247485,25,67,35,142,existing,1336.7799426107229,25,72,35,65,existing,1839.190371148678
26,26,63,37,188,existing,137.5593174519299,26,63,37,75,existing,431.3242928842857,26,63,37,37,allocated,0.0,26,71,37,188,existing,137.5593174519299,26,68,37,124,existing,333.99618766607136,26,69,37,118,existing,587.8570208902273,26,70,37,118,existing,587.8570208902273,26,67,37,142,existing,1062.8871898040697,26,72,37,65,existing,1097.8866790417937,26,66,37,126,existing,866.8558142644019
27,27,63,38,188,existing,159.1834338503392,27,63,38,75,existing,134.5815415820166,27,63,38,38,allocated,0.0,27,71,38,188,existing,159.1834338503392,27,68,38,124,existing,324.06286607356714,27,70,38,118,existing,577.9236992977231,27,69,38,118,existing,577.9236992977231,27,66,38,126,existing,824.5655556816514,27,67,38,142,existing,1020.5969312213192,27,72,38,65,existing,814.2492889742421
28,28,56,41,126,existing,556.2588261799009,28,56,41,200,existing,518.4839044434777,28,56,41,54,allocated,7.491776005947825,28,66,41,126,existing,556.2588261799009,28,70,41,118,existing,697.3437472966036,28,67,41,142,existing,752.2902017195688,28,69,41,118,existing,697.3437472966036,28,71,41,188,existing,1185.1790996552502,28,68,41,124,existing,951.2045805207597,28,72,41,65,existing,1666.9726035564433
29,29,56,42,126,existing,590.2367006037939,29,56,42,200,existing,552.4617788673706,29,56,42,54,allocated,41.469650429840804,29,66,42,126,existing,590.2367006037939,29,70,42,118,existing,731.3216217204966,29,69,42,118,existing,731.3216217204966,29,67,42,142,existing,786.2680761434617,29,71,42,188,existing,1219.1569740791433,29,68,42,124,existing,985.1824549446526,29,72,42,65,existing,1700.9504779803362
30,30,56,43,126,existing,671.3837039577523,30,56,43,133,existing,834.95914130283,30,56,43,69,allocated,358.34438675718616,30,67,43,142,existing,564.3173215000422,30,66,43,126,existing,671.3837039577523,30,72,43,65,existing,1386.4226564523779,30,68,43,124,existing,1202.5406288578215,30,69,43,118,existing,1450.3558054511136,30,71,43,188,existing,1405.8609127003274,30,70,43,118,existing,1450.3558054511136
31,31,61,44,22,existing,121.8530323877922,31,61,44,75,existing,320.80416660797715,31,61,44,44,existing,0.0,31,68,44,124,existing,153.45650215380934,31,71,44,188,existing,335.76813470364254,31,69,44,118,existing,407.3173353779653,31,70,44,118,existing,407.3173353779653,31,66,44,126,existing,642.4151388145169,31,67,44,142,existing,838.4465143541847,31,72,44,65,existing,624.5592268862215
32,32,54,46,175,existing,299.1729802975258,32,54,46,133,existing,495.530191830851,32,54,46,152,allocated,407.72488023375945,32,72,46,65,existing,491.85703975658356,32,67,46,142,existing,671.6350640873579,32,68,46,124,existing,831.0985358149738,32,66,46,126,existing,855.3499837234118,32,71,46,188,existing,1013.410168364807,32,70,46,118,existing,1083.0131885519966,32,69,46,118,existing,1083.0131885519966
33,33,54,47,175,existing,403.73545865923984,33,54,47,133,existing,390.9677134691369,33,54,47,204,allocated,363.66319781864865,33,67,47,142,existing,567.0725857256439,33,72,47,65,existing,596.4195181182977,33,68,47,124,existing,879.3308788839581,33,66,47,126,existing,750.7875053616978,33,70,47,118,existing,1127.1460554772502,33,71,47,188,existing,1067.5308642158975,33,69,47,118,existing,1127.1460554772502
34,34,56,49,126,existing,397.23487343866907,34,56,49,200,existing,517.3904268371479,34,56,49,161,existing,148.43001965407743,34,66,49,126,existing,397.23487343866907,34,67,49,142,existing,593.266248978337,34,69,49,118,existing,889.5037069523779,34,70,49,118,existing,889.5037069523779,34,71,49,188,existing,1131.712082181244,34,68,49,124,existing,928.3917983387385,34,72,49,65,existing,1595.0321202064565
35,35,64,50,189,existing,497.0157973873428,35,64,50,200,existing,674.7554101924129,35,64,50,54,allocated,163.76328175488305,35,70,50,118,existing,526.0886895357728,35,69,50,118,existing,526.0886895357728,35,68,50,124,existing,779.9495227599288,35,66,50,126,existing,712.5303319288362,35,71,50,188,existing,1013.9240418944195,35,72,50,65,existing,1495.7175457956123,35,67,50,142,existing,908.561707468504
36,36,64,51,189,existing,454.6430924927662,36,64,51,200,existing,717.1281150869895,36,64,51,54,allocated,206.13598664945965,36,70,51,118,existing,483.7159846411962,36,69,51,118,existing,483.7159846411962,36,66,51,126,existing,754.9030368234128,36,68,51,124,existing,737.5768178653522,36,67,51,142,existing,950.9344123630806,36,71,51,188,existing,971.5513369998429,36,72,51,65,existing,1453.3448409010357
