,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant
0,0,26,2,132,existing,2059.667403595045,0,26,2,121,existing,1096.7723113256957,0,26,2,20,allocated,825.202836966756,0,27,2,131,existing,1890.1692316865224,0,28,2,131,existing,1890.1692316865224
1,1,26,4,132,existing,2257.4348917213783,1,26,4,73,existing,1055.773844970812,1,26,4,20,allocated,607.0441143728799,1,28,4,131,existing,2087.9367198128557,1,27,4,131,existing,2087.9367198128557
2,2,26,5,132,existing,1832.8697361785605,2,26,5,121,existing,1322.2150144037823,2,26,5,93,allocated,342.8027825921196,2,27,5,131,existing,1663.371564270038,2,28,5,131,existing,1663.371564270038
3,3,26,6,132,existing,1925.7210318646642,3,26,6,121,existing,1229.3637187176782,3,26,6,93,allocated,435.6540782782235,3,28,6,131,existing,1756.2228599561417,3,27,6,131,existing,1756.2228599561417
4,4,26,7,132,existing,1324.782978647298,4,26,7,121,existing,82.39683371943602,4,26,7,121,allocated,82.39683371943602,4,28,7,131,existing,1155.2848067387754,4,27,7,131,existing,1155.2848067387754
5,5,26,8,132,existing,1446.9926700358205,5,26,8,72,existing,48.42078524908231,5,26,8,8,allocated,0.0,5,27,8,131,existing,1277.494498127298,5,28,8,131,existing,1277.494498127298
6,6,26,9,132,existing,743.2532885098879,6,26,9,121,existing,499.13285641797427,6,26,9,9,allocated,0.0,6,28,9,131,existing,573.7551166013653,6,27,9,131,existing,573.7551166013653
7,7,26,10,132,existing,892.9009723957288,7,26,10,121,existing,349.4851725321334,7,26,10,9,allocated,149.64768388584085,7,27,10,131,existing,723.4028004872062,7,28,10,131,existing,723.4028004872062
8,8,26,11,132,existing,2251.258655151535,8,26,11,73,existing,762.8499337564019,8,26,11,20,allocated,314.12020315846985,8,28,11,131,existing,2081.7604832430125,8,27,11,131,existing,2081.7604832430125
9,9,26,12,132,existing,2098.067977324943,9,26,12,73,existing,609.6592559298099,9,26,12,20,allocated,160.9295253318779,9,27,12,131,existing,1928.5698054164204,9,28,12,131,existing,1928.5698054164204
10,10,26,13,132,existing,1990.4114987243513,10,26,13,73,existing,793.3736121304728,10,26,13,20,allocated,344.64388153254083,10,28,13,131,existing,1820.9133268158287,10,27,13,131,existing,1820.9133268158287
11,11,26,14,132,existing,1963.206462320085,11,26,14,73,existing,664.225244888939,11,26,14,20,allocated,215.49551429100694,11,27,14,131,existing,1793.7082904115623,11,28,14,131,existing,1793.7082904115623
12,12,26,15,132,existing,1386.782793242223,12,26,15,73,existing,452.9326190013024,12,26,15,15,allocated,0.0,12,28,15,131,existing,1507.2155938347125,12,27,15,131,existing,1507.2155938347125
13,13,26,16,132,existing,1462.1065241922572,13,26,16,73,existing,377.60888805126825,13,26,16,15,allocated,75.32373095003412,13,27,16,131,existing,1582.5393247847467,13,28,16,131,existing,1582.5393247847467
14,14,26,17,132,existing,1243.8851963752913,14,26,17,73,existing,385.6196142149283,14,26,17,17,allocated,0.0,14,28,17,131,existing,1364.3179969677808,14,27,17,131,existing,1364.3179969677808
15,15,26,18,132,existing,1324.0911513605497,15,26,18,73,existing,465.82556920018675,15,26,18,18,allocated,0.0,15,27,18,131,existing,1444.5239519530392,15,28,18,131,existing,1444.5239519530392
16,16,26,19,132,existing,2004.851592487368,16,26,19,73,existing,1040.7127590150812,16,26,19,20,allocated,591.9830284171493,16,28,19,131,existing,1835.3534205788455,16,27,19,131,existing,1835.3534205788455
17,17,26,20,132,existing,1937.1384519930652,17,26,20,73,existing,448.72973059793196,17,26,20,20,allocated,0.0,17,28,20,131,existing,1767.6402800845426,17,27,20,131,existing,1767.6402800845426
18,18,26,21,132,existing,2049.7078289291794,18,26,21,121,existing,1425.5335408867793,18,26,21,93,allocated,559.6408753427386,18,27,21,131,existing,1880.2096570206568,18,28,21,131,existing,1880.2096570206568
19,19,26,22,132,existing,1994.9328077719651,19,26,22,121,existing,1370.7585197295653,19,26,22,93,allocated,504.86585418552454,19,28,22,131,existing,1825.4346358634425,19,27,22,131,existing,1825.4346358634425
20,20,26,23,132,existing,1470.4160203234833,20,26,23,121,existing,446.68335951567667,20,26,23,196,allocated,308.7758601911055,20,27,23,131,existing,1300.9178484149606,20,28,23,131,existing,1300.9178484149606
21,21,26,24,132,existing,1552.7190517522713,21,26,24,121,existing,528.9863909444648,21,26,24,196,allocated,391.0788916198936,21,28,24,131,existing,1383.2208798437487,21,27,24,131,existing,1383.2208798437487
22,22,26,25,132,existing,1632.8381969559778,22,26,25,121,existing,609.105536148171,22,26,25,20,allocated,345.06096326851434,22,27,25,131,existing,1463.3400250474551,22,28,25,131,existing,1463.3400250474551
23,23,26,26,132,existing,1534.0345496105406,23,26,26,121,existing,510.3018888027342,23,26,26,20,allocated,442.23653469430997,23,28,26,131,existing,1364.536377702018,23,27,26,131,existing,1364.536377702018
24,24,26,27,132,existing,1617.4321828280545,24,26,27,73,existing,445.22874889695106,24,26,27,20,allocated,358.83890147679597,24,27,27,131,existing,1447.9340109195318,24,28,27,131,existing,1447.9340109195318
25,25,26,28,132,existing,1862.8050541267849,25,26,28,73,existing,563.8238366956391,25,26,28,20,allocated,115.09410609770705,25,28,28,131,existing,1693.3068822182622,25,27,28,131,existing,1693.3068822182622
26,26,26,29,132,existing,1308.392362762916,26,26,29,121,existing,284.65970195510937,26,26,29,121,allocated,284.65970195510937,26,27,29,131,existing,1138.8941908543934,26,28,29,131,existing,1138.8941908543934
27,27,26,30,132,existing,2489.4239972941314,27,26,30,73,existing,1218.1862471406,27,26,30,20,allocated,769.4565165426682,27,27,30,131,existing,2319.9258253856087,27,28,30,131,existing,2319.9258253856087
28,28,26,31,132,existing,2300.335224202915,28,26,31,73,existing,1039.398661202813,28,26,31,20,allocated,590.6689306048809,28,27,31,131,existing,2130.8370522943924,28,28,31,131,existing,2130.8370522943924
29,29,26,32,132,existing,1571.652762168918,29,26,32,121,existing,1276.0684928004193,29,26,32,93,allocated,81.58580858247714,29,28,32,131,existing,1402.1545902603953,29,27,32,131,existing,1402.1545902603953
30,30,26,33,132,existing,1656.7535519098076,30,26,33,121,existing,1190.9677030595299,30,26,33,93,allocated,166.6865983233667,30,27,33,131,existing,1487.2553800012852,30,28,33,131,existing,1487.2553800012852
31,31,26,34,132,existing,1671.8578111475963,31,26,34,121,existing,899.0847820644549,31,26,34,93,allocated,464.92616847145433,31,28,34,131,existing,1502.3596392390739,31,27,34,131,existing,1502.3596392390739
32,32,26,35,132,existing,1578.4714278439012,32,26,35,121,existing,805.6983987607597,32,26,35,189,allocated,435.4301610336905,32,27,35,131,existing,1408.9732559353788,32,28,35,131,existing,1408.9732559353788
