,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant,3_assign_from_var_id_restaurant,3_assign_to_var_id_restaurant,3_assign_from_node_id_restaurant,3_assign_to_node_id_restaurant,3_assign_type_restaurant,3_dist_restaurant,4_assign_from_var_id_restaurant,4_assign_to_var_id_restaurant,4_assign_from_node_id_restaurant,4_assign_to_node_id_restaurant,4_assign_type_restaurant,4_dist_restaurant,5_assign_from_var_id_restaurant,5_assign_to_var_id_restaurant,5_assign_from_node_id_restaurant,5_assign_to_node_id_restaurant,5_assign_type_restaurant,5_dist_restaurant,6_assign_from_var_id_restaurant,6_assign_to_var_id_restaurant,6_assign_from_node_id_restaurant,6_assign_to_node_id_restaurant,6_assign_type_restaurant,6_dist_restaurant,7_assign_from_var_id_restaurant,7_assign_to_var_id_restaurant,7_assign_from_node_id_restaurant,7_assign_to_node_id_restaurant,7_assign_type_restaurant,7_dist_restaurant,8_assign_from_var_id_restaurant,8_assign_to_var_id_restaurant,8_assign_from_node_id_restaurant,8_assign_to_node_id_restaurant,8_assign_type_restaurant,8_dist_restaurant,9_assign_from_var_id_restaurant,9_assign_to_var_id_restaurant,9_assign_from_node_id_restaurant,9_assign_to_node_id_restaurant,9_assign_type_restaurant,9_dist_restaurant
0,0,102,0,132,existing,331.8889663030756,0,102,0,10,allocated,324.3131009312889,0,102,0,0,allocated,0.0,0,7,0,10,allocated,324.3131009312889,0,112,0,132,existing,331.8889663030756,0,110,0,126,existing,539.8779051861563,0,114,0,136,existing,356.9719201612072,0,105,0,61,existing,946.1976910988373,0,107,0,29,existing,973.4758910426633,0,56,0,90,allocated,663.9876512849605,0,106,0,29,existing,973.4758910426633,0,115,0,110,existing,1204.1428987553695,0,116,0,29,existing,973.4758910426633
1,1,102,1,132,existing,155.28505100329156,1,102,1,10,allocated,160.00516027360368,1,102,1,1,allocated,0.0,1,112,1,132,existing,155.28505100329156,1,7,1,10,allocated,160.00516027360368,1,110,1,126,existing,363.27398988637236,1,114,1,136,existing,180.36800486142317,1,105,1,61,existing,769.5937757990532,1,56,1,90,allocated,499.6797106272754,1,107,1,29,existing,796.8719757428793,1,116,1,29,existing,796.8719757428793,1,113,1,17,existing,1122.414487108797,1,106,1,29,existing,796.8719757428793
2,2,42,6,67,allocated,72.51197709200868,2,42,6,65,allocated,200.82529738918333,2,42,6,67,allocated,72.51197709200868,2,15,6,18,allocated,188.46368231537343,2,111,6,122,existing,466.645085028202,2,108,6,74,existing,1013.6416412192839,2,109,6,74,existing,1013.6416412192839,2,106,6,29,existing,1498.9917041516549,2,105,6,61,existing,1526.269904095481,2,116,6,29,existing,1498.9917041516549,2,107,6,29,existing,1498.9917041516549,2,113,6,17,existing,1824.5342155175724,2,115,6,110,existing,1592.1471758586115
3,3,16,10,22,allocated,118.82696772693194,3,16,10,10,allocated,0.0,3,16,10,10,allocated,0.0,3,7,10,10,allocated,0.0,3,112,10,132,existing,315.2902112768952,3,56,10,90,allocated,339.67455035367175,3,114,10,136,existing,340.37316513502685,3,105,10,61,existing,778.6721810102629,3,106,10,29,existing,797.1966311550176,3,110,10,126,existing,523.279150159976,3,116,10,29,existing,797.1966311550176,3,113,10,17,existing,1122.4121940849184,3,107,10,29,existing,797.1966311550176
4,4,79,15,138,allocated,558.254198507174,4,79,15,15,allocated,0.0,4,79,15,15,allocated,0.0,4,113,15,17,existing,61.27390622317153,4,106,15,29,existing,264.2686051427461,4,116,15,29,existing,264.2686051427461,4,107,15,29,existing,264.2686051427461,4,110,15,126,existing,1016.0761005280988,4,105,15,61,existing,291.5468050865722,4,114,15,136,existing,880.7725760242022,4,112,15,132,existing,905.8555298823338,4,56,15,90,allocated,1162.8101526681116,4,7,15,10,allocated,1061.138287861747
5,5,42,18,67,allocated,115.95170522336474,5,42,18,65,allocated,133.52538039505697,5,42,18,18,allocated,0.0,5,15,18,18,allocated,0.0,5,111,18,122,existing,399.3451680340756,5,108,18,74,existing,946.3417242251575,5,109,18,74,existing,946.3417242251575,5,106,18,29,existing,1687.4553864670283,5,116,18,29,existing,1687.4553864670283,5,115,18,110,existing,1524.847258864485,5,107,18,29,existing,1687.4553864670283,5,113,18,17,existing,2012.997897832946,5,105,18,61,existing,1714.7335864108545
6,6,42,19,67,allocated,37.98083076944413,6,42,19,65,allocated,175.7426551017129,6,42,19,67,allocated,37.98083076944413,6,15,19,18,allocated,77.97087445392062,6,111,19,122,existing,441.5624427407315,6,109,19,74,existing,988.5589989318134,6,108,19,74,existing,988.5589989318134,6,115,19,110,existing,1567.064533571141,6,106,19,29,existing,1609.4845120131079,6,116,19,29,existing,1609.4845120131079,6,107,19,29,existing,1609.4845120131079,6,113,19,17,existing,1935.0270233790254,6,105,19,61,existing,1636.762711956934
7,7,16,22,22,allocated,0.0,7,16,22,10,allocated,118.82696772693194,7,16,22,22,allocated,0.0,7,7,22,10,allocated,118.82696772693194,7,56,22,90,allocated,263.382097362901,7,112,22,132,existing,434.1171790038271,7,114,22,136,existing,414.67610793999324,7,105,22,61,existing,659.845213283331,7,116,22,29,existing,678.3696634280857,7,106,22,29,existing,678.3696634280857,7,110,22,126,existing,598.0385059480202,7,107,22,29,existing,678.3696634280857,7,113,22,17,existing,1003.5852263579866
8,8,79,43,138,allocated,23.3593640042467,8,79,43,42,existing,63.232258911213535,8,79,43,43,allocated,0.0,8,105,43,61,existing,299.14745565993667,8,116,43,29,existing,317.6719058046914,8,106,43,29,existing,317.6719058046914,8,107,43,29,existing,317.6719058046914,8,56,43,90,allocated,596.747559896874,8,114,43,136,existing,733.2117402478892,8,7,43,10,allocated,479.52472535032626,8,113,43,17,existing,642.8874687345922,8,110,43,126,existing,916.5741382559161,8,112,43,132,existing,758.2946941060209
9,9,102,51,132,existing,227.7679007625485,9,102,51,10,allocated,428.43416647181596,9,102,51,51,allocated,0.0,9,112,51,132,existing,227.7679007625485,9,114,51,136,existing,252.8508546206801,9,110,51,126,existing,435.75683964562927,9,7,51,10,allocated,428.43416647181596,9,56,51,90,allocated,768.1087168254877,9,116,51,29,existing,869.3548255021362,9,107,51,29,existing,869.3548255021362,9,105,51,61,existing,842.0766255583102,9,115,51,110,existing,1100.0218332148424,9,106,51,29,existing,869.3548255021362
