,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare,0_assign_from_var_id_restaurant,0_assign_to_var_id_restaurant,0_assign_from_node_id_restaurant,0_assign_to_node_id_restaurant,0_assign_type_restaurant,0_dist_restaurant,1_assign_from_var_id_restaurant,1_assign_to_var_id_restaurant,1_assign_from_node_id_restaurant,1_assign_to_node_id_restaurant,1_assign_type_restaurant,1_dist_restaurant,2_assign_from_var_id_restaurant,2_assign_to_var_id_restaurant,2_assign_from_node_id_restaurant,2_assign_to_node_id_restaurant,2_assign_type_restaurant,2_dist_restaurant
0,0,37,0,131,existing,350.15594653835404,0,37,0,66,existing,525.4109265068405,0,37,0,0,allocated,0.0,0,40,0,94,existing,315.01829307521837,0,39,0,68,existing,491.3479162507471,0,38,0,90,existing,650.7453718372628
1,1,37,1,131,existing,336.3945110536635,1,37,1,66,existing,511.64949102214996,1,37,1,0,allocated,13.761435484690539,1,40,1,94,existing,301.25685759052783,1,39,1,68,existing,497.65831929252397,1,38,1,90,existing,664.5068073219534
2,2,31,5,134,existing,280.9186660199199,2,31,5,66,existing,360.4501179156643,2,31,5,58,allocated,60.021294410189725,2,40,5,94,existing,396.5220476405496,2,39,5,68,existing,549.3526384396578,2,38,5,90,existing,880.7561511872399
3,3,31,8,134,existing,322.1389156825701,3,31,8,66,existing,401.6703675783144,3,31,8,59,allocated,59.62426227454353,3,40,8,94,existing,437.74229730319973,3,39,8,68,existing,590.5728881023078,3,38,8,90,existing,921.9764008498901
4,4,34,9,77,existing,389.75558139738655,4,34,9,66,existing,497.7374094425432,4,34,9,194,allocated,77.01978137480435,4,40,9,94,existing,533.8093391674286,4,39,9,68,existing,686.6399299665367,4,38,9,90,existing,1018.0434427141188
5,5,34,15,77,existing,390.5180960996274,5,34,15,66,existing,609.9804927210137,5,34,15,3,allocated,85.18057754025426,5,40,15,94,existing,567.2091649566632,5,39,15,68,existing,780.4972045809186,5,38,15,90,existing,1120.6289990329344
6,6,31,18,134,existing,352.98450908823975,6,31,18,66,existing,453.10083487371156,6,31,18,58,allocated,32.629422547857516,6,40,18,94,existing,489.17276459859687,6,39,18,68,existing,642.003355397705,6,38,18,90,existing,963.015169431923
7,7,31,19,134,existing,448.96655615797323,7,31,19,66,existing,549.082881943445,7,31,19,99,allocated,34.608303756460614,7,40,19,94,existing,585.1548116683302,7,39,19,68,existing,737.9854024674385,7,38,19,90,existing,1058.9972165016566
8,8,33,25,136,existing,236.50741976302453,8,33,25,66,existing,261.47101235856803,8,33,25,22,existing,73.96817895967682,8,39,25,68,existing,34.739304585730494,8,40,25,94,existing,247.40641494307306,8,38,25,90,existing,306.8649586545454
9,9,36,40,51,existing,243.42810248251487,9,36,40,66,existing,91.28868229598069,9,36,40,66,allocated,91.28868229598069,9,40,40,94,existing,135.6693056662384,9,39,40,68,existing,209.06336255707504,9,38,40,90,existing,549.4803272558759
10,10,36,41,51,existing,164.7750644120543,10,36,41,66,existing,169.9417203664413,10,36,41,150,existing,64.27581545970384,10,40,41,94,existing,57.016267595777805,10,39,41,68,existing,157.25891335392583,10,38,41,90,existing,497.67587805272666
11,11,33,43,136,existing,393.63961092549624,11,33,43,66,existing,391.70923091876864,11,33,43,43,allocated,0.0,11,39,43,68,existing,164.9775231459311,11,38,43,90,existing,326.8454406599561,11,40,43,94,existing,375.5431736203751
12,12,34,48,77,existing,80.58698939001877,12,34,48,66,existing,486.90536163818217,12,34,48,49,allocated,40.00676653332515,12,40,48,94,existing,259.94737367596304,12,39,48,68,existing,474.22255462566665,12,38,48,90,existing,813.3672077522342
13,13,34,49,77,existing,120.59375592334392,13,34,49,66,existing,526.9121281715073,13,34,49,49,allocated,0.0,13,40,49,94,existing,299.9541402092882,13,39,49,68,existing,514.2293211589918,13,38,49,90,existing,853.3739742855594
14,14,36,50,51,existing,90.43499242060011,14,36,50,66,existing,244.28179235789548,14,36,50,150,existing,137.3075227340475,14,40,50,94,existing,17.52085051631375,14,39,50,68,existing,230.2906206282695,14,38,50,90,existing,535.8989835599574
15,15,31,53,134,existing,128.0118479189468,15,31,53,66,existing,399.6766255142795,15,31,53,62,allocated,114.20832573831731,15,39,53,68,existing,432.3792202397829,15,38,53,90,existing,604.8612999592871,15,40,53,94,existing,626.6346134764987
16,16,31,54,134,existing,176.2963468554048,16,31,54,66,existing,447.96112445073754,16,31,54,62,allocated,67.25738150148369,16,39,54,68,existing,480.66371917624093,16,40,54,94,existing,674.9191124129567,16,38,54,90,existing,786.327007199088
17,17,31,58,134,existing,340.93996043010964,17,31,58,66,existing,420.47141232585403,17,31,58,58,allocated,0.0,17,40,58,94,existing,456.54334205073934,17,39,58,68,existing,609.3739328498475,17,38,58,90,existing,940.7774455974296
18,18,32,60,72,existing,144.89845612901874,18,32,60,66,existing,417.45340848844353,18,32,60,56,allocated,129.80996347940476,18,39,60,68,existing,450.15600321394686,18,38,60,90,existing,521.2946172834053,18,40,60,94,existing,644.4113964506626
19,19,33,64,136,existing,202.32823367639867,19,33,64,66,existing,293.9449490784432,19,33,64,71,allocated,128.84917996828986,19,39,64,68,existing,196.48936053604513,19,38,64,90,existing,272.90662473999754,19,40,64,94,existing,410.76454148574874
20,20,33,67,136,existing,517.912151162117,20,33,67,66,existing,517.3604404968593,20,33,67,43,allocated,125.65120957809057,20,39,67,68,existing,290.6287327240217,20,38,67,90,existing,450.02618831053746,20,40,67,94,existing,501.19438319846574
21,21,33,70,136,existing,18.638129480385487,21,33,70,66,existing,473.94728251626964,21,33,70,70,existing,0.0,21,38,70,90,existing,89.21652054398437,21,39,70,68,existing,252.17307946674825,21,40,70,94,existing,466.44826041645194
22,22,34,78,77,existing,60.95947266280334,22,34,78,66,existing,367.9480203096893,22,34,78,77,existing,60.95947266280334,22,40,78,94,existing,237.65054151983904,22,39,78,68,existing,450.93858114409437,22,38,78,90,existing,791.0703755961101
23,23,33,90,136,existing,70.57839106359889,23,33,90,66,existing,563.163803060254,23,33,90,140,existing,60.3915831768677,23,38,90,90,existing,0.0,23,39,90,68,existing,340.7527237189286,23,40,90,94,existing,553.4198340762712
24,24,33,91,136,existing,186.45451440798325,24,33,91,66,existing,447.82408734932307,24,33,91,24,allocated,68.63103365288083,24,38,91,90,existing,119.66034414244314,24,39,91,68,existing,221.09237957648548,24,40,91,94,existing,433.75948993382804
25,25,36,95,51,existing,334.9057292255063,25,36,95,66,existing,109.48173097888179,25,36,95,66,allocated,109.48173097888179,25,40,95,94,existing,227.14693240922983,25,39,95,68,existing,227.25641123997616,25,38,95,90,existing,567.673375938777
26,26,34,97,77,existing,396.34814445656866,26,34,97,66,existing,632.9697360294626,26,34,97,3,allocated,160.33299146343828,26,40,97,94,existing,573.0392133136044,26,39,97,68,existing,786.3272529378597,26,38,97,90,existing,1126.4590473898756
27,27,34,98,77,existing,439.6549450129562,27,34,98,66,existing,659.1173416343424,27,34,98,3,allocated,123.44374305193367,27,40,98,94,existing,616.346013869992,27,39,98,68,existing,829.6340534942474,27,38,98,90,existing,1169.7658479462632
28,28,34,106,77,existing,176.04428582180415,28,34,106,66,existing,412.6658773946982,28,34,106,153,allocated,27.84098677477135,28,40,106,94,existing,352.7353546788398,28,39,106,68,existing,566.0233943030952,28,38,106,90,existing,906.155188755111
29,29,31,109,134,existing,136.82642297270698,29,31,109,66,existing,232.0516414459267,29,31,109,185,allocated,212.56062849514922,29,39,109,68,existing,264.7542361714301,29,40,109,94,existing,459.0096294081458,29,38,109,90,existing,484.5369011343209
30,30,34,113,77,existing,149.2212478238325,30,34,113,66,existing,276.49391139577347,30,34,113,77,existing,149.2212478238325,30,40,113,94,existing,146.1964326059232,30,39,113,68,existing,359.48447223017854,30,38,113,90,existing,699.6162666821944
31,31,34,115,77,existing,120.04868105601108,31,34,115,66,existing,308.85881191648156,31,34,115,77,existing,120.04868105601108,31,40,115,94,existing,178.5613331266313,31,39,115,68,existing,391.84937275088663,31,38,115,90,existing,731.9811672029025
32,32,31,116,134,existing,200.69233732582884,32,31,116,66,existing,280.2237892215732,32,31,116,58,allocated,140.24762310428082,32,40,116,94,existing,316.2957189464585,32,39,116,68,existing,469.1263097455667,32,38,116,90,existing,800.5298224931488
