,assign_from_var_id_grocery,assign_to_var_id_grocery,assign_from_node_id_grocery,assign_to_node_id_grocery,assign_type_grocery,dist_grocery,assign_from_var_id_restaurant,assign_to_var_id_restaurant,assign_from_node_id_restaurant,assign_to_node_id_restaurant,assign_type_restaurant,dist_restaurant,assign_from_var_id_school,assign_to_var_id_school,assign_from_node_id_school,assign_to_node_id_school,assign_type_school,dist_school,assign_from_var_id_healthcare,assign_to_var_id_healthcare,assign_from_node_id_healthcare,assign_to_node_id_healthcare,assign_type_healthcare,dist_healthcare
0,0,90,7,289,existing,34.69821596022684,0,90,7,148,existing,733.6003822487284,0,90,7,170,existing,372.72471497053533,0,90,7,170,existing,372.72471497053533
1,1,91,10,297,existing,279.7408529986378,1,91,10,148,existing,289.92183791746555,1,91,10,65,existing,306.0803879372539,1,91,10,199,existing,191.38817628410848
2,2,91,11,297,existing,108.32623409044801,2,91,11,148,existing,118.50721900927576,2,91,11,65,existing,475.3799314948629,2,91,11,148,existing,118.50721900927576
3,3,91,20,297,existing,170.99159910084154,3,91,20,399,existing,285.59848971369377,3,91,20,65,existing,196.06209830357335,3,91,20,199,existing,301.406465917789
4,4,92,21,250,existing,171.1913395092755,4,92,21,399,existing,189.70340861171883,4,92,21,65,existing,100.1670172015984,4,92,21,148,existing,297.4175447936607
5,5,96,25,148,existing,611.0752704007791,5,96,25,128,existing,219.77050438262555,5,96,25,65,existing,995.6470533538013,5,96,25,148,existing,611.0752704007791
6,6,98,32,397,existing,139.13824554999866,6,98,32,171,existing,220.42338107561295,6,98,32,86,existing,528.3071720488799,6,98,32,33,existing,139.41787798990399
7,7,92,34,250,existing,18.15870146361322,7,92,34,148,existing,108.06750382077199,7,92,34,65,existing,289.51705817448715,7,92,34,148,existing,108.06750382077199
8,8,92,35,250,existing,377.0552401013402,8,92,35,148,existing,405.10968680028566,8,92,35,170,existing,355.7158715262083,8,92,35,170,existing,355.7158715262083
9,9,90,50,289,existing,448.99766635657943,9,90,50,362,existing,518.8665445237936,9,90,50,170,existing,787.0241653668879,9,90,50,33,existing,514.5966255110691
